State	Region	CountyIndex	UrbanIndicator	Population	LandArea	PopulationDensity	PercentMaleDivorce	PercentFemaleDivorce	MedianIncome	IncomeCategory	PercentCollegeGraduates	MedianHouseAge	RobberiesPerPopulation	AssaultsPerPopulation	BurglariesPerPopulation	LarceniesPerPopulation	EducationSpending	EducationSpendingP2	TestScore	RegionNew
Illinois	NC	1	1	30987	7	4426.714286	6.27	9.16	48758	38101-50800	19.88	42	27.15	117.64	464.53	2310.57	12076.2265	12832.06795	1675.070862	North Central
Illinois	NC	2	1	11663	5.4	2159.814815	5.53	6.77	53665	>50800	32.89	37	15.21	53.23	349.81	1528.52	11997.01572	12735.38179	1656.257029	North Central
Illinois	NC	3	1	37093	12.4	2991.370968	4.91	7.87	59020	>50800	46.21	54	10.61	53.04	379.21	1943.78	12195.07184	12831.67355	1684.396377	North Central
Illinois	NC	4	1	36427	8.3	4388.795181	5.62	9.42	56011	>50800	47.44	38	4.98	29.88	174.32	1324.8	12308.89898	12876.42623	1633.947073	North Central
Illinois	NC	5	1	99581	34.7	2869.769452	9.34	12.13	35039	25401-38100	18.61	57	284.93	467.69	1373.09	3685.31	12094.73855	12934.55714	1679.750452	North Central
Illinois	NC	6	1	14579	9	1619.888889	7.99	10.37	32733	25401-38100	33.78	59	45.95	157.54	577.66	2599.45	12411.96621	13608.89564	1641.955607	North Central
Illinois	NC	7	1	75460	16.8	4491.666667	5.79	8.48	51331	>50800	39.55	48	25.95	54.5	504.73	1869.7	12520.36284	12944.50199	1631.502614	North Central
Illinois	NC	8	1	139426	46.6	2991.974249	11.15	14.27	28282	25401-38100	18.72	62	542.39	824.79	2817.74	5875.84	12558.51695	13094.96319	1662.492788	North Central
Illinois	NC	9	1	37840	7.5	5045.333333	10.99	13.94	30138	25401-38100	10.44	52	340.55	431.54	1245.22	4887.31	12446.78357	13021.5632	1635.708022	North Central
Illinois	NC	10	1	2783726	233	11947.32189	11.03	14.73	26301	25401-38100	19.45	71	1279.69	1445.66	1660.84	4411.72	12509.98153	13343.11202	1709.972053	North Central
Illinois	NC	11	1	73233	8	9154.125	6.9	11.65	41115	38101-50800	57.99	78	299.77	293.08	1775.87	5156.31	12527.28033	12732.61346	1575.23628	North Central
Illinois	NC	12	1	29771	6.4	4651.71875	13.56	18.64	23201	12701-25400	7.96	62	1188.25	613.5	2712.3	4426.86	12399.76723	13011.48024	1605.937611	North Central
