username,submission_week,function_summaries
abbott34,10,"['LinearRegression', 'LinearRegression.fit', 'abs', 'bigquery.Client', 'bigquery_client.query', 'data.corr', 'data.head', 'data.info', 'data.rename', 'dict', 'import', 'len', 'list', 'mean_absolute_error', 'mean_squared_error', 'np.mean', 'pd.DataFrame', 'pd.DataFrame.from_dict', 'pd.DataFrame.from_records', 'pd.Series', 'pd.append', 'pd.concat', 'pd.factorize', 'pd.series', 'plt.bar', 'plt.bar.plot', 'plt.plot', 'pred_id.MAE.append', 'pred_id.MSE.append', 'pred_id.actual.append', 'pred_id.prediction.append', 'pred_id.predictions.append', 'prediction_list_data.head', 'print', 'query_job.to_dataframe', 'query_job.to_dataframe.head', 'range', 'reg.predict', 'relevant_unemployment_df.apply', 'relevant_unemployment_df.astype', 'relevant_unemployment_df.convert_dtypes', 'relevant_unemployment_df.convert_dtypes.info', 'relevant_unemployment_df.drop', 'relevant_unemployment_df.drop_duplicates', 'relevant_unemployment_df.dropna', 'relevant_unemployment_df.dropna.info', 'relevant_unemployment_df.groupby', 'relevant_unemployment_df.groupby.count', 'relevant_unemployment_df.groupby.count.pd.DataFrame.plot', 'relevant_unemployment_df.head', 'relevant_unemployment_df.info', 'relevant_unemployment_df.isna', 'relevant_unemployment_df.isna.sum', 'relevant_unemployment_df.join', 'relevant_unemployment_df.map', 'relevant_unemployment_df.value_counts', 'relevant_unemployment_df.value_counts.plot', 'relevant_unemployment_df.value_counts.plot.bar', 'relevant_unemployment_df.value_counts.values', 'results_df.explode', 'row.append', 'row.concat', 'set', 'temp_df.append', 'temp_df.convert_dtypes', 'temp_df.drop', 'temp_df.head', 'temp_df.head.values', 'temp_df.info', 'temp_df.isna', 'temp_df.isna.temp_df.loc.head', 'temp_df.isnull', 'temp_df.reset_index', 'temp_df.reset_index.info', 'test.head', 'total_claims_avg.append', 'tracts.append', 'type', 'unemployment_data.head', 'wage_data.head', 'wage_data.order_by', 'wage_data.set_index', 'wage_data.sort_values', 'warnings.simplefilter']"
ahhp0521,10,[]
akatti7,10,"['Bigquery.Client', 'bigquery.Client', 'bigquery_client.query', 'data.head', 'import', 'print', 'query_job.to_dataframe']"
amaltom,10,"['bigquery.Client', 'bigquery_client.query', 'covid19_cases_data.head', 'import', 'merged_data.head', 'pd.merge', 'prediction_list.head', 'prediction_list.merge', 'print', 'query_job.to_dataframe', 'query_job2.to_dataframe', 'query_job3.to_dataframe', 'unemployment_data.describe', 'unemployment_data.groupby', 'unemployment_data.groupby.mean', 'unemployment_data.head', 'unemployment_data.value_counts', 'unemplyment_data.value_counts', 'unmeployment_data.groupby', 'unmeployment_data.groupby.mean', 'wage_data.head']"
amoghkokari,10,"['ARIMA', 'LeaveOneOut', 'Mdf.head', 'Mdf.to_csv', 'bigquery.Client', 'bigquery_client.query', 'cdf.head', 'cdf.unique', 'covid19_cases_data.head', 'data.plot', 'data1.drop', 'data1.index.value_counts', 'data1.plot', 'data1.set_index', 'data1.sort_index', 'data1.value_counts', 'df.mean', 'dfp.keys', 'dfp.val', 'dfp.vals', 'dfp.values', 'dfp.valus', 'dict', 'dtf.set_index', 'dtf.sort_index', 'emp_cols.mdf.replace', 'f1_df.plot', 'f1_df.set_index', 'f2_df.describe', 'f2_df.drop_duplicates', 'f2_df.groupby', 'f2_df.groupby.mean', 'f2_df.groupby.set_index', 'f2_df.set_index', 'f2_df.unique', 'f2_df.value_counts', 'f3_df.drop', 'f3_df.drop_duplicates', 'f3_df.np.array.flatten', 'f3_df.value_count', 'f3_df.value_counts', 'f3_df.values_count', 'f_df.drop_duplicates', 'f_df.f_df.groupby.mean', 'f_df.groupby', 'f_df.groupby.mean', 'f_df.nunique', 'f_df.set_index', 'f_df.unique', 'f_df.value_counts', 'fdf.value_counts', 'format', 'import', 'int', 'itertools.product', 'len', 'lgb.Dataset', 'lgb.LightGBMTunerCV', 'lgb.reset_parameter', 'list', 'loo.split', 'max', 'mdf.corr', 'mdf.drop', 'mdf.drop_duplicates', 'mdf.head', 'mdf.nunique', 'mdf.replace', 'mdf.unique', 'mdf.value_counts', 'mod.fit', 'mod.predict', 'n1.to_csv', 'new.columns', 'new.set_index', 'new.to_csv', 'new1.columns', 'new1.drop', 'np.array', 'optuna.create_study', 'optuna.logging.set_verbosity', 'pandas.DataFrame', 'pd.DataFrame.from_dict', 'pd.read_csv', 'pd.to_numeric', 'pdf.drop', 'pdf.head', 'pdf.sort', 'pdf.to_csv', 'pdf.value_counts', 'plt.figure', 'plt.show', 'print', 'query1_job.to_dataframe', 'query_job.to_dataframe', 'range', 'results.predict', 'sm.tsa.statespace.SARIMAX', 'sns.heatmap', 'sorted', 'total_claims.append', 'tuner.run', 'udf.columns', 'udf.corr', 'udf.drop', 'udf.head', 'udf.nunique', 'udf.replace', 'udf.to_csv', 'udf.unique', 'udf.value_counts', 'uu_id.append', 'wdf.head', 'wdf.to_csv', 'week_number.append']"
anamita01,10,"['bigquery.Client', 'bigquery_client.query', 'covid19_cases_data.head', 'data.head', 'import', 'query_job.to_dataframe', 'querydb']"
anamitapowwow,10,"['BIGQUERY.Client', 'bigquery.Client', 'bigquery_client.query', 'covid19_cases_data.head', 'import', 'prediction_data.head', 'print', 'query_job.to_dataframe', 'unemployment_data.head', 'wage_data.head']"
ananyaipsita,10,"['np.cumsum', 'np.linspace', 'np.random.randn']"
anirudhtunga,10,[]
arjun-2dstevens,10,[]
