Instructor,Instructor _Title,Department,Courses,Course_count,Sum_MaxCredits,Sum_Enrollment,Sum_Capacity
"Aguirre, Milton E.",Assistant Professor,School of Engineering Tech,"[('ENGT', 48000), ('ENGT', 48000), ('ENGT', 48100)]",3,9,239,275
"Akdere, Mesut",Professor,Technology Ldrshp & Innovatn,"[('TLI', 45570)]",1,3,16,30
"Alcorn, Brandon M.",Professor,Naval Science,"[('NS', 31100), ('NS', 31100)]",2,6,19,40
"Allison, Christopher S.",Lecturer,Schl of Construction Mgmt Tech,"[('CM', 23301), ('CM', 35000)]",2,12,101,130
"Asunda, Paul A.",Associate Professor,Purdue Polytechnic Inst Admin,"[('TECH', 64600)]",1,3,30,35
"Asunda, Paul A.",Associate Professor,Technology Ldrshp & Innovatn,"[('TLI', 26500), ('OLS', 37500)]",2,6,48,60
"Athinarayanan, Ragu",Professor,School of Engineering Tech,"[('IET', 33400)]",1,3,65,65
"Bal, Siddhant",Student,Computer Graphics Technology,"[('CGT', 34000), ('CGT', 34000), ('CGT', 44200)]",3,9,102,135
"Barlow, Victor M.",Assistant Professor,Computer Information Tech,"[('CNIT', 18000), ('CNIT', 38000)]",2,6,199,229
"Barnes, Donald K.",Assistant Professor of Practice,Schl of Aviation & Transp Tech,"[('AT', 26502), ('AT', 33502), ('AT', 33502), ('AT', 44502), ('AT', 44502)]",5,15,112,120
"Bashant, Amie",Executive Officer,Military Science,"[('MSL', 40100)]",1,4,26,32
"Baxmeyer, Adam W.",Airport Director,Schl of Aviation & Transp Tech,"[('AT', 45100)]",1,3,29,40
"Benhart, Bradley L.",Professor of Practice,Schl of Construction Mgmt Tech,"[('CM', 10000), ('CM', 37200), ('CM', 40000)]",3,12,248,285
"Berry, Frederick C.",Professor,School of Engineering Tech,"[('ENGT', 48000), ('ENGT', 48000), ('ENGT', 48100)]",3,9,239,275
"Besiktepe, Deniz",Assistant Professor,Schl of Construction Mgmt Tech,"[('CM', 20001), ('CM', 40000)]",2,12,170,175
"Bhatt, Smriti",Assistant Professor,Computer Information Tech,"[('CNIT', 27100), ('CNIT', 58100)]",2,6,86,100
"Bhoyar, Srushti",Student,Computer Information Tech,"[('CNIT', 10500)]",1,3,246,290
"Bilotkach, Volodymyr",Associate Professor,Schl of Aviation & Transp Tech,"[('AT', 33800), ('AT', 34001)]",2,6,45,70
"Bittinger, Christopher N.",Clinical Assistant Professor,Technology Ldrshp & Innovatn,"[('OLS', 48700)]",1,3,15,40
"Boowuo, Henrietta",Student,Computer Information Tech,"[('CNIT', 13600)]",1,3,292,300
"Bosman, Lisa B.",Associate Professor,Technology Ldrshp & Innovatn,"[('TLI', 31400), ('TLI', 52000)]",2,6,33,95
