Instructor,Instructor_Title,Department,Courses,Course_count,Sum_MaxCredits,Sum_Enrollment,Sum_Capacity
"Adamo, Nicoletta",Professor and Interim Head of CGT,Computer Graphics Technology,"[('CGT', 54000), ('CGT', 59700)]",2,6.0,6,25
"Aguirre, Milton E.",Assistant Professor,School of Engineering Tech,"[('ENGT', 48000), ('ENGT', 48100), ('ENGT', 48100)]",3,9.0,200,275
"Ahmad, Aanis",Lecturer,Computer Graphics Technology,"[('CGT', 57500)]",1,3.0,16,20
"Alcorn, Brandon M.",Professor of Naval Science,Naval Science,"[('NS', 31000), ('NS', 31000)]",2,6.0,22,44
"Allison, Christopher S.",Lecturer,Schl of Construction Mgmt Tech,"[('CM', 10000), ('CM', 20000), ('CM', 33100), ('CM', 35000), ('CM', 41000)]",5,27.5,305,408
"Athinarayanan, Ragu",Professor,School of Engineering Tech,"[('IET', 33400)]",1,3.0,58,60
"Baigelenov, Ali",Student,Computer Graphics Technology,"[('CGT', 35600), ('CGT', 45600)]",2,6.0,37,80
"Bal, Siddhant",Student,Computer Graphics Technology,"[('CGT', 24100), ('CGT', 24100)]",2,6.0,57,60
"Balakuntala Srinivasa Mur, Mythra Varun",Student,School of Engineering Tech,"[('MFET', 44200)]",1,3.0,12,10
"Barber-Dansby, Andrea F.",Senior Lecturer,School of Engineering Tech,"[('IET', 43540)]",1,3.0,1,0
"Barlow, Victor M.",Assistant Professor,Computer Information Tech,"[('CNIT', 18000), ('CNIT', 38000)]",2,6.0,141,200
"Barnes, Donald K.",Assistant Professor of Practice,Schl of Aviation & Transp Tech,"[('AT', 26502), ('AT', 33502)]",2,6.0,83,108
"Baxmeyer, Adam W.",Airport Director,Schl of Aviation & Transp Tech,"[('AT', 45900)]",1,3.0,20,25
"Benhart, Bradley L.",Professor of Practice,Schl of Construction Mgmt Tech,"[('CM', 10000), ('CM', 20000), ('CM', 30000), ('CM', 40000), ('CM', 41000)]",5,27.5,299,411
"Berry, Frederick C.",Professor,School of Engineering Tech,"[('ENGT', 48000), ('ENGT', 48100), ('ENGT', 48100)]",3,9.0,200,275
"Besiktepe, Deniz",Assistant Professor,Schl of Construction Mgmt Tech,"[('CM', 20000), ('CM', 30000), ('CM', 58100)]",3,21.0,206,201
"Bhatt, Smriti",Assistant Professor,Computer Information Tech,"[('CNIT', 27100), ('CNIT', 58100)]",2,6.0,41,92
"Biggs, Jon D.",Limited Term Lecturer,School of Engineering Tech,"[('IET', 33100)]",1,3.0,24,40
"Bilotkach, Volodymyr",Associate Professor,Schl of Aviation & Transp Tech,"[('AT', 34001), ('AT', 35900), ('AT', 42101), ('AT', 54900)]",4,12.0,165,202
"Bosman, Lisa B.",Associate Professor,Technology Ldrshp & Innovatn,"[('TLI', 31400), ('OLS', 48400)]",2,6.0,86,97
"Briller, Sherylyn H.",Professor,Purdue Polytechnic Inst Admin,"[('TECH', 22000)]",1,3.0,19,40
"Briller, Sherylyn H.",Professor,Technology Ldrshp & Innovatn,"[('TLI', 36700)]",1,3.0,2,40
"Brunswicker, Sabine",Professor,Technology Ldrshp & Innovatn,"[('TLI', 62500)]",1,3.0,5,12
"Byrd, Vetria L.",Associate Professor,Computer Graphics Technology,"[('CGT', 27500), ('CGT', 57500)]",2,6.0,29,50
"Callahan, Kenneth",Professor of Aerospace Studies,Aerospace Studies,"[('AFT', 48100), ('AFT', 48100)]",2,6.0,37,64
"Chang, Soowon",Assistant Professor,Schl of Construction Mgmt Tech,"[('CM', 10000), ('CM', 15000), ('CM', 30000), ('CM', 33000), ('CM', 33100), ('CM', 35000), ('CM', 41000)]",7,39.5,389,524
"Chen, Yingjie",Professor,Computer Graphics Technology,"[('CGT', 37000), ('CGT', 58100)]",2,6.0,22,60
"Chen, Yunfeng",Associate Professor,Schl of Construction Mgmt Tech,"[('CM', 20000), ('CM', 41000), ('CM', 58100)]",3,12.5,128,225
"Cheung, April",Assistant Professor of Practice,School of Engineering Tech,"[('ECET', 17700), ('ECET', 27700), ('ECET', 27900)]",3,9.0,188,207
"Chou, Tzu-Chun",Student,Schl of Aviation & Transp Tech,"[('AT', 49800)]",1,3.0,42,44
"Churchill, Michael D.",Assistant Professor of Military Science,Military Science,"[('MSL', 10200), ('MSL', 10200), ('MSL', 10200)]",3,6.0,38,60
"Condron, James",Assistant Professor of Practice,School of Engineering Tech,"[('ENGT', 48000), ('ENGT', 48100), ('ENGT', 48100)]",3,9.0,200,275
"Cory, Clark A.",Associate Professor,Computer Graphics Technology,"[('CGT', 16400), ('CGT', 36000), ('CGT', 46000), ('CGT', 49000)]",4,11.0,252,335
"Cui, Dixuan",Student,Computer Graphics Technology,"[('CGT', 10301)]",1,3.0,71,75
"Cutter, Jason E.",Assistant Professor,Schl of Aviation & Transp Tech,"[('AT', 10000), ('AT', 35400)]",2,3.0,86,135
"Damarjian, Alex",Professor,Computer Graphics Technology,"[('CGT', 51800)]",1,3.0,20,25
"Davis, John M.",Associate Professor of Practice and Associate Head for Undergraduate Affairs,Schl of Aviation & Transp Tech,"[('AT', 37600), ('AT', 47600)]",2,7.0,77,90
"De Cresce El Debs, Luciana",Assistant Professor,Schl of Construction Mgmt Tech,"[('CM', 33000), ('CM', 33100), ('CM', 40000), ('CM', 41000)]",4,18.5,55,170
"Deadman, Robert C.",Clinical Assistant Professor,Computer Information Tech,"[('CNIT', 24000), ('CNIT', 24200), ('CNIT', 34400), ('CNIT', 34500)]",4,13.0,284,415
"Decker, Patrick",Assistant Professor of Military Science,Military Science,"[('MSL', 30200), ('MSL', 30200)]",2,8.0,29,40
"Deodeshmukh, Rashmi B.",Assistant Professor of Practice,School of Engineering Tech,"[('ECET', 27900), ('ECET', 32700)]",2,6.0,2,0
"Dib, Hazar N.",Associate Professor,Schl of Construction Mgmt Tech,"[('CM', 25000), ('CM', 35000), ('CM', 41000)]",3,18.5,216,301
"Dietz, James E.",Professor,Computer Information Tech,"[('CNIT', 51200), ('CNIT', 58100)]",2,6.0,51,60
"Dillman, Brian G.",Associate Professor,Schl of Aviation & Transp Tech,"[('AT', 35200)]",1,4.0,30,40
"Dittman, Kevin C.",Associate Professor,Computer Information Tech,"[('CNIT', 38101), ('CNIT', 58000)]",2,6.0,21,40
"Dorribo Camba, Jorge",Associate Professor,Computer Graphics Technology,"[('CGT', 30301), ('CGT', 63400)]",2,6.0,21,45
"Dubikovsky, Sergey I.",Associate Professor,Schl of Aviation & Transp Tech,"[('AT', 20501), ('AT', 30802)]",2,6.0,62,71
"Dunlap, Duane D.",Professor and Chair,School of Engineering Tech,"[('MET', 52700)]",1,3.0,20,21
"Dunlop, Steven R.",Limited Term Lecturer,Technology Ldrshp & Innovatn,"[('TLI', 21300), ('TLI', 21300)]",2,6.0,116,144
"Durango-Cogollo, Marvin R.",Student,School of Engineering Tech,"[('MET', 33400)]",1,3.0,33,48
"Dyrenfurth, Michael J.",Associate Professor,Purdue Polytechnic Inst Admin,"[('TECH', 64600)]",1,3.0,33,50
"Ehlers, Shawn G.",Clinical Assistant Professor,Computer Information Tech,"[('CNIT', 51200)]",1,3.0,29,40
"El Breidi, Khalil",Student,Computer Information Tech,"[('CNIT', 17500)]",1,3.0,40,40
"El breidi, Farid Y.",Assistant Professor,School of Engineering Tech,"[('MET', 23000), ('MET', 43200)]",2,6.0,76,89
"Elliott, Stephen J.",Associate Dean for Academic Programs,School of Engineering Tech,"[('IET', 31300)]",1,3.0,50,50
"Elwakil, Emad",Professor and Associate Head for Graduate Programs and Research,Schl of Construction Mgmt Tech,"[('CM', 35000), ('CM', 41000), ('CM', 55000)]",3,12.5,163,236
"Emery, Jonathan M.",Unk,Naval Science,"[('NS', 44000)]",1,3.0,12,40
"Esmaeili, Ahmad",Student,Computer Information Tech,"[('CNIT', 17500)]",1,3.0,40,40
"Ewing, David L.",Lecturer,Computer Graphics Technology,"[('CGT', 11301)]",1,3.0,11,20
"Faezipour, Miad",Associate Professor,School of Engineering Tech,"[('ECET', 22900)]",1,3.0,36,45
"Flores, Abner D.",Senior Lecturer,Schl of Aviation & Transp Tech,"[('AT', 14400), ('AT', 20200), ('AT', 22300)]",3,10.0,124,160
"Forbes, Angus G.",Associate Professor,Computer Graphics Technology,"[('CGT', 27000)]",1,3.0,117,120
"French, Richard M.",Professor,School of Engineering Tech,"[('MET', 21300), ('MET', 49000)]",2,6.0,93,110
"Fuerst, Travis J.",Assistant Professor of Practice,Computer Graphics Technology,"[('CGT', 10301), ('CGT', 16300), ('CGT', 16300)]",3,7.0,614,669
"Gamez-Djokic, Monica",Assistant Professor,Technology Ldrshp & Innovatn,"[('OLS', 48700)]",1,3.0,19,40
"Gan, Dongming",Associate Professor,School of Engineering Tech,"[('MET', 31601), ('MFET', 44200)]",2,6.0,37,35
"Gao, Yi",Associate Professor,Schl of Aviation & Transp Tech,"[('AT', 33800), ('AT', 54700)]",2,6.0,77,90
"Garcia Bravo, Jose M.",Associate Professor,School of Engineering Tech,"[('MET', 33400), ('ECET', 38001)]",2,6.0,121,138
"Garcia, Esteban",Associate Professor,Computer Graphics Technology,"[('CGT', 11800), ('CGT', 50100), ('CGT', 50100), ('CGT', 50100)]",4,7.0,130,172
"Garcia, Jason M.",Instructor ,Military Science,"[('MSL', 10200), ('MSL', 10200), ('MSL', 10200), ('MSL', 20200), ('MSL', 20200), ('MSL', 30200), ('MSL', 30200), ('MSL', 40200)]",8,24.0,145,220
"George, Sarah J.",Associate Professor of Practice,Computer Graphics Technology,"[('CGT', 26000)]",1,3.0,17,50
"Gephart, Raymond F.",Senior Continuing Lecturer,Schl of Aviation & Transp Tech,"[('AT', 35400)]",1,2.0,41,60
"Gilbert, Vicki L.","Recruting, Placement and Internship Coordinator",Schl of Aviation & Transp Tech,"[('AT', 29000)]",1,1.0,24,30
"Giri, Nandhini",Assistant Professor,Computer Graphics Technology,"[('CGT', 20500), ('CGT', 40500), ('CGT', 58100)]",3,3.0,148,320
