seconds_elapsed,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,gyroscope_z,gyroscope_y,gyroscope_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,magnetometer_z,magnetometer_y,magnetometer_x,microphone_dBFS,accelerometer_z,accelerometer_y,accelerometer_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,class
0,10.25354021,0.310739929,0.102939229,0.143034487,-0.047708845,0.12465468,0.121801269,-0.031979528,0.124878517,55.32154846,1.565407276,3.550578117,8.31499958,1.340000033,315,151.1999969,-86.910283,40.4233331,-45.36118361,21.39277877,-2.924514226,-83.77777778,-0.166579906,-0.480915291,-0.032827178,-0.041454466,-0.008134381,0.037242402,0.997828264,-0.012830034,-0.074937051,0.08256912,-104.2559926,75.12564667,-31.64549797,10.23035606,0.343481258,0.124898438,Campus
1,9.761327308,0.457969572,-0.074358691,0.007728996,-0.017343912,-0.00522482,-0.013497946,-0.001599769,-0.005036525,55.32154846,1.565407276,3.550578117,8.31499958,1.340000033,315,151.1999969,-86.910283,40.4233331,-46.23836525,19.56221157,-1.176201974,-50.125,-0.283416336,-0.080747327,-0.062563568,-0.02585922,-2.01E-04,0.026577211,0.999063503,0.001030595,-0.05299125,0.05160411,-105.0981181,73.32236465,-29.9165954,9.761327308,0.457969572,-0.074358691,Campus
2,9.948035268,0.314542925,0.368895428,-0.002922282,0.027467369,0.004335237,-0.024149225,0.043215962,0.004530946,55.32154846,1.565407276,3.550578117,8.31499958,1.340000033,315,151.1999969,-86.910283,40.4233331,-46.02925705,20.53198954,-1.375183967,-50.33333333,-0.038376956,-0.075146726,0.22267698,-0.01855625,-0.007268797,0.019424298,0.999447901,-0.013848354,-0.03901228,0.036805719,-104.8892538,74.29263069,-30.11557745,9.948035268,0.314542925,0.368895428,Campus
3,9.717772572,0.544187108,0.093987981,0.107163665,-0.03846855,-0.038756181,0.085933757,-0.022739234,-0.038570853,55.32154846,1.565407276,3.550578117,8.31499958,1.340000033,315,151.1999969,-86.910283,40.4233331,-46.82128105,18.40321157,-1.297103977,-47.875,-0.218164319,-0.116916888,-0.138743789,-0.015789222,-0.012291812,0.033501612,0.998485484,-0.022611903,-0.066678939,0.03115969,-105.6805461,72.16409653,-30.03652149,9.717772572,0.544187108,0.093987981,Campus
4,9.962639068,0.269215781,-0.03603173,-0.030701006,0.04943415,-0.037759849,-0.051927948,0.065184222,-0.037565623,45,1.5,5.343883991,18.02700043,1.363816977,313.7577209,166.8999939,-86.9103176,40.4233382,-44.59490307,22.09981161,-0.258761994,-47.33333333,0.039042468,0.114695277,0.064208334,4.80E-04,0.004487911,0.008224377,0.999389077,0.00929862,-0.015712596,-8.84E-04,-103.4548995,75.86167252,-28.9996435,9.962639068,0.269215781,-0.03603173,Campus
5,9.834843719,0.458849882,0.198845303,-0.093209065,-0.005921659,0.015650737,-0.114436008,0.009813587,0.015862755,45,1.5,5.353889465,15.66899967,1.274348855,317.9811707,166.8999939,-86.9103165,40.4233468,-45.16354488,24.18881754,-3.180783923,-39.77777778,-0.082883316,-0.086747318,0.119491424,-0.027084513,-0.005150867,0.027362121,0.99866784,-0.008162666,-0.054553414,0.054218818,-104.0231759,77.94811638,-31.92007933,9.834843719,0.458849882,0.198845303,Campus
6,10.10180317,-0.022516926,0.054035974,0.00643739,0.011735316,0.0181962,-0.014789552,0.027480785,0.018390025,45,1.5,5.363905907,13.84599972,1.090743542,335.6897278,166.8999939,-86.9103124,40.4233638,-50.99673107,34.72498135,-9.034587817,-40.25,0.131473569,-0.167221494,0.092369388,-0.04480891,0.001382936,0.008165523,0.99868312,0.003613326,-0.015866531,0.089818497,-109.8567281,88.48501183,-37.77412739,10.10180317,-0.022516926,0.054035974,Campus
7,9.92965058,0.514372656,-0.187043812,-0.017748671,0.034406121,-0.027262765,-0.038975613,0.050148781,-0.0270804,45,1.5,5.373905182,13.44299984,1.171316028,346.1084595,166.8999939,-86.9103106,40.4233784,-61.1582328,23.90663153,-15.07273374,-42.77777778,-3.36E-04,0.085596593,-0.079870809,-0.082100636,0.003510129,0.02220602,0.995921932,0.010791099,-0.0431655,0.164741471,-120.0181076,77.66580849,-43.81337139,9.92965058,0.514372656,-0.187043812,Campus
8,9.973127958,0.239444886,-0.011595318,-0.013324477,-0.033913885,-0.030572017,-0.03455142,-0.01817419,-0.030397062,45,1.5,5.373905182,13.44299984,1.171316028,346.1084595,166.8999939,-86.9103106,40.4233784,-55.53098286,13.5412677,-11.21204377,-40,0.036188815,-0.003786615,-0.003812815,-0.121065903,-0.001039304,0.012213627,0.991988995,8.26E-04,-0.024471035,0.242800199,-114.3911013,67.30129883,-39.95255947,9.973127958,0.239444886,-0.011595318,Campus
9,9.976319318,-0.082738233,-0.015164221,-0.018298729,0.032460897,-0.011914488,-0.039533085,0.048212455,-0.011723226,45,1.5,5.243122101,12.13899994,1.29186964,342.1283569,154.5999908,-86.9103169,40.4233946,-47.07052708,13.85480768,-2.791603932,-36.77777778,0.0555389,-0.073649273,0.1887254,-0.115882006,0.010284117,9.24E-04,0.992824186,0.02054351,9.41E-04,0.23235856,-105.9304021,67.61496071,-31.53126549,9.976319318,-0.082738233,-0.015164221,Campus
10,10.03324473,0.335625319,-0.444498749,0.099587378,-0.045359857,0.014950931,0.078342643,-0.029621644,0.015140709,45,1.5,5.263132095,11.20800018,1.689697385,351.3954163,154.5999908,-86.9103165,40.4234201,-43.51715515,16.4753677,-0.759571983,-34.375,0.120749872,0.126576502,-0.380115031,-0.107671173,0.001979815,0.010809245,0.993760766,0.006519914,-0.021089454,0.215849028,-102.3780061,70.23539894,-29.49972143,10.03324473,0.335625319,-0.444498749,Campus
11,10.06534801,-0.251735299,0.073320456,-0.002732502,0.01445573,-0.012483823,-0.023971305,0.030201357,-0.012274768,45,1.5,5.273110867,10.85000038,2.009584427,0.322970569,154.5999908,-86.9103091,40.4234458,-43.88315498,22.24840754,-1.329189978,-24.11111111,0.144826621,-0.120987383,-0.00774341,-0.055172199,-0.004187463,-0.006181269,0.997960346,-0.009633505,0.011981227,0.110469145,-102.7424199,76.00843872,-30.06885134,10.06534801,-0.251735299,0.073320456,Campus
12,9.820835308,-0.298699186,0.395178729,0.002584241,0.029187231,-0.024878681,-0.018645667,0.044932858,-0.024684455,45,1.5,5.283140182,10.37199974,2.069635391,6.803235054,154.5999908,-86.9102993,40.4234661,-44.58977917,22.57695356,-1.026385974,-16.625,-0.104259667,-0.031830173,0.303977773,-0.033765523,-0.004107373,-0.013685419,0.998998889,-0.009350573,0.027408799,0.067631297,-103.4502641,76.33698479,-29.76641348,9.820835308,-0.298699186,0.395178729,Campus
13,9.773841284,0.037962834,-1.736924979,0.044101095,0.194222741,0.08246438,0.02285636,0.209999502,0.082679362,45,1.5,5.293126106,9.491000175,2.088451624,8.954950333,154.5999908,-86.9102929,40.4234855,-43.65037922,20.55663366,9.638731869,-17,0.033463807,0.073377373,0.178241025,0.005298871,0.097247188,-9.82E-04,0.994345242,0.194830102,0.001074223,-0.010113967,-102.5114739,74.3172747,-19.10153957,9.773841284,0.037962834,-1.736924979,Campus
14,9.894112518,-0.355357394,-0.937800632,-0.102140482,-0.169521976,-0.091965129,-0.123367424,-0.15378821,-0.091782767,45,1.5,19.83735275,8.873000145,2.031344652,8.684417725,166,-86.9102895,40.4235032,-43.48433708,23.89089361,2.733897939,-42.55555556,0.011532621,0.041268937,-0.069770942,-0.042209941,0.045962795,-0.018026243,0.997258979,0.090200038,0.03931417,0.083655225,-102.3444561,77.65129044,-26.00527557,9.894112518,-0.355357394,-0.937800632,Campus
15,9.860915054,-0.489236397,-0.311868424,-0.03695181,0.060026123,0.032434212,-0.058178753,0.075782127,0.032638814,45,1.5,19.84734344,8.487999916,1.849878907,6.517203331,166,-86.9102894,40.4235171,-42.24664722,26.34101952,-2.673385953,-46.75,-0.092807071,0.008601164,-0.028929465,-0.083597508,0.015397928,-0.023826054,0.995717137,0.027172629,0.05018583,0.16706079,-101.1061556,80.10031822,-31.41329132,9.860915054,-0.489236397,-0.311868424,Campus
16,9.679586156,-0.758966178,-0.935152261,0.098356685,-9.40E-05,-0.040174955,0.077119467,0.015651494,-0.039975254,45,1.5,19.85735512,8.039999962,1.594774365,3.018609762,166,-86.9102915,40.423527,-42.8065052,26.85463947,3.122589941,-34.33333333,-0.112216963,-0.11898081,0.174098944,-0.052474205,0.057307451,-0.03074492,0.99614851,0.111372298,0.067492413,0.101516127,-101.6662582,80.61430473,-25.6174375,9.679586156,-0.758966178,-0.935152261,Campus
17,9.623944283,-0.715938919,-1.31583176,-0.081024738,0.064568928,0.019968181,-0.102266509,0.08032345,0.020177234,45,1.5,19.86734581,7.915999889,1.44884479,358.5793762,166,-86.9102949,40.4235376,-41.50147114,25.20556547,5.9740959,-35.625,-0.180312782,0.07233496,0.037083646,-0.011543897,0.068780165,-0.038769914,0.995797927,0.137165341,0.079338807,0.018040844,-100.3622002,78.96584061,-22.76580952,9.623944283,-0.715938919,-1.31583176,Campus
18,10.01105307,-1.453410341,-1.522883515,0.072757545,-0.024958744,0.014405321,0.051500949,-0.009189395,0.014611407,45,1.5,19.87733078,7.637000084,1.214235783,337.0387268,166,-86.9103107,40.4235421,-39.9401152,30.0077294,4.018313932,-30.11111111,0.199023876,-0.157772384,-0.357625929,-0.023251394,0.060071635,-0.063532451,0.995315652,0.118196079,0.130239617,0.039340561,-98.79986832,83.76678482,-24.72281147,10.01105307,-1.453410341,-1.522883515,Campus
19,9.650491849,-0.547175235,-1.008751883,0.052716712,-0.063846884,0.006778623,0.031479392,-0.048079016,0.006981748,45,1.5,5.914306641,6.74849987,1.167893469,324.6212769,154.5999908,-86.91032795,40.4235522,-43.10028103,26.33064955,5.861611876,-33.25,-0.201867784,-0.101940558,0.234071428,0.002119972,0.062428303,-0.022449278,0.997432297,0.125400954,0.044821158,-0.006755349,-101.9600336,80.09092445,-22.87756155,9.650491849,-0.547175235,-1.008751883,Campus
20,10.08883426,-0.424990279,-0.757035071,-0.082984788,-0.010001882,0.049205822,-0.104211729,0.005748191,0.049407461,45,1.5,5.924317837,5.772999763,1.116086483,323.4144897,154.5999908,-86.9103396,40.423562,-44.89465721,26.0856735,2.775865939,-37.55555556,0.193577123,-0.039134151,-0.096539838,-0.013007112,0.032873213,-0.019226169,0.998274147,0.066646715,0.038934252,0.024714225,-103.7544102,79.84460655,-25.9639175,10.08883426,-0.424990279,-0.757035071,Campus
21,9.868943943,-0.223915859,-1.194547682,0.116246309,0.045875815,-0.009162709,0.095007505,0.061618475,-0.008981827,45,1.5,5.924317837,5.772999763,1.116086483,323.4144897,154.5999908,-86.9103396,40.423562,-45.60311096,21.35036549,6.588365879,-43.5,0.063999977,-0.137580598,0.112657961,0.025015155,0.065943561,-0.006427071,0.996973699,0.132877008,0.009143938,-0.05089597,-104.4624976,75.11039642,-22.15300352,9.868943943,-0.223915859,-1.194547682,Campus
22,9.795658371,-0.162964575,-1.624767232,0.076292155,-0.064906968,-0.114975687,0.055059283,-0.049164308,-0.114805184,45,1.5,5.9342556,5.017000198,1.022203565,319.8648071,154.5999908,-86.910348,40.423566,-43.77957718,21.2627696,7.454443874,-45.66666667,-0.032945763,0.104976061,-0.121262736,0.045375434,0.075493768,-0.015734123,0.995297016,0.153307819,0.023902269,-0.093036353,-102.6390858,75.02267868,-21.28729162,9.795658371,-0.162964575,-1.624767232,Campus
