seconds_elapsed,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,microphone_dBFS,magnetometer_z,magnetometer_y,magnetometer_x,gyroscope_z,gyroscope_y,gyroscope_x,accelerometer_z,accelerometer_y,accelerometer_x,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,class
0,45,1.5,1,12.91100025177002,0,0,149.39999389648438,-86.9110037,40.4279893,-0.933643661,0.016334608694337106,-0.005731185,0.3481304697893761,6.697105064951167E-4,0.034760899,2.4261198937892914,9.910241001530698,-0.346077716,-0.013680019,-114.6666667,-57.7297734,-20.54479973,-18.99055095,1.4445713777850206E-4,-9.99E-04,4.416260824261888E-4,0.003196652,-0.001202969,-0.006924183,9.908777032,-0.345391833,-0.012543388,-0.021082485,0.014119652011809317,7.470496647009575E-4,-100.9753317,37.65017537434896,-51.64259913,Classroom
1,45,1.5,1,12.91100025177002,0,0,149.39999389648438,-86.9110037,40.4279893,-0.939577224,0.016431647,-0.005660447,0.34189548017909227,5.993247142364498E-4,0.034755184450774516,2.443605913699252,9.883963371943501,-0.342922845,-0.010085283,-111.625,-57.62962688,-20.52747566,-19.03822166,3.113542418945038E-5,-8.27E-04,-1.94E-04,-0.012940314,0.001292211,-0.004074852,9.883963371943501,-0.342922845,-0.010085283,-0.021195806,0.014291157267843057,1.1119790639710224E-4,-100.8897283,37.67250137329101,-51.67834499,Classroom
2,45,1.5,1,12.91100025177002,0,0,149.39999389648438,-86.9110037,40.4279893,-0.939300307,0.015999213195613867,-0.005242289,0.34268148373631596,0.001117186,0.033655192,2.441930972256707,9.881730339,-0.337509958,-0.013578688,-109,-57.57826469,-20.58261959,-19.07006367,1.9719097898929444E-4,2.6390976973275827E-4,0.003482719,-0.002019604,-0.00465598,-0.002475102,9.881730339,-0.337509958,-0.013578688,-0.021029751,0.015382379492365041,0.003788143,-100.8381222,37.61747924804688,-51.71030895,Classroom
3,45,1.5,1,12.91100025177002,0,0,149.39999389648438,-86.9110037,40.4279893,-0.938852451,0.015043210373847808,-0.004669491,0.34395912058145095,0.001581298,0.031464112,2.4392167526541404,9.918104616,-0.308563773,-0.018564703,-123.625,-57.64060715,-20.69803156,-19.06676975,-1.11E-04,-1.75E-04,2.6835766575724175E-4,0.019583961338672823,0.003111108,-0.002837652,9.918104616,-0.308563773,-0.018564703,-0.02133814,0.014943518413646707,5.737812737527403E-4,-100.901074,37.50182346343994,-51.70689308,Classroom
4,45,1.5,1,12.91100025177002,0,0,149.39999389648438,-86.9110037,40.4279893,-0.938587419,0.014767108304263319,-0.004441209,0.34469665456744075,0.001844253,0.030787014176399962,2.4376456668076005,9.946513759279714,-0.303269944,-0.020562594,-124.4444444,-57.60059082,-20.68522152,-19.00686764,-1.59E-04,-6.82E-05,-7.56E-05,0.014669853506736386,0.00270375,-0.002172048,9.946513759279714,-0.303269944,-0.020562594,-0.021385584,0.015050268379374615,2.2980902407282187E-4,-100.8606921,37.513047218322754,-51.64808884,Classroom
5,45,1.5,1,12.91100025177002,0,0,149.39999389648438,-86.9110037,40.4279893,-0.938477491,0.014644034233993119,-0.004352618,0.3450023019776761,0.001935675,0.030494243,2.4369948512142146,9.948841846906221,-0.302415971,-0.018774455,-131.375,-57.68818687,-20.69046761,-18.97953962,-2.54E-04,-1.51E-04,7.4132084530027745E-6,0.001579044,9.23459101649164E-4,7.411181854391561E-4,9.948841846906221,-0.302415971,-0.018774455,-0.021480473,0.014967240646336843,3.128368107972721E-4,-100.9482882,37.50889942169189,-51.619907,Classroom
6,45,1.5,1,12.91100025177002,0,0,149.39999389648438,-86.9110037,40.4279893,-0.938557909,0.014684323836298823,-0.004497394,0.3447798548392879,0.001684347,0.030670189904501138,2.437471672169213,9.911431544035384,-0.308215305,-0.018843478,-126.8888889,-57.7195409,-20.70461962,-18.95599373,-8.75E-05,-4.24E-04,-1.82E-04,-0.017615633,-0.003483565,-0.001858624,9.911431544035384,-0.308215305,-0.018843478,-0.021314417,0.014694435096987821,1.2305901991655526E-4,-100.9797639,37.495845527648925,-51.5967271,Classroom
7,45,1.5,1,12.91100025177002,0,0,149.39999389648438,-86.9110037,40.4279893,-0.938687366,0.014946292959225988,-0.004571097,0.344415054,0.00171463,0.031213561488876065,2.438244951581492,9.897182113,-0.309423331,-0.019865655,-132,-57.61437675,-20.75122355,-19.01735971,-2.54E-04,-2.22E-04,-3.01E-04,-0.008003503,2.5164039389601034E-4,-0.002995116,9.897182113,-0.309423331,-0.019865655,-0.021480473,0.014896074002518238,4.447905066450244E-6,-100.8748444,37.44826545715332,-51.65821499,Classroom
8,45,1.5,1,12.91100025177002,0,0,149.39999389648438,-86.9110037,40.4279893,-0.938623584,0.015017350023449625,-0.004457695,0.3445872372215234,0.001982346,0.031268497,2.4378734514551255,9.895253774031852,-0.310050577,-0.020214124,-130.1111111,-57.62791889,-20.72304157,-19.00637962,-2.42E-04,-1.75E-04,-7.56E-05,-0.001613978,-2.66E-04,-8.24E-04,9.895253774031852,-0.310050577,-0.020214124,-0.021468612,0.014943518395562775,2.2980902972405108E-4,-100.8874102,37.47705741882324,-51.64638096,Classroom
9,45,1.5,1,12.91100025177002,0,0,149.39999389648438,-86.9110037,40.4279893,-0.938631513,0.015000968410346944,-0.004442882,0.3445665521117357,0.001998177,0.031227572,2.4379175442915697,9.900968792369065,-0.30740221,-0.021282764,-120.1111111,-57.64914669,-20.75976364,-18.9602636,-2.00E-04,-2.58E-04,-1.41E-04,0.001875887,0.001873554,-0.001291476,9.900968792369065,-0.30740221,-0.021282764,-0.021426642,0.014860034418793825,1.6445886397447722E-4,-100.9093703,37.44070133209229,-51.60075279,Classroom
