seconds_elapsed,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,magnetometer_z,magnetometer_y,magnetometer_x,microphone_dBFS,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,accelerometer_z,accelerometer_y,accelerometer_x,gyroscope_z,gyroscope_y,gyroscope_x,class
0,9.729930131863325,1.8884048935694573,-0.565381045,0.9917423274272528,0.097488245,-0.021083618,0.080613374,0.058637533,-0.191128834,-2.973757781,4.932113441,-53.11699158,8.808399847996087,-76.5,9.731339091346378,1.8882717759836287,-0.56395839,-55.69546977,-17.2592933,-26.03201977,0,1.7930141687393188,1.206675649,9.628000259399414,0,0,154.89999389648438,-86.9096653,40.4259559,-0.020424226,0.012526284712247359,0.001014163,0.011312864,0.006260534,0.005730993,4.972922936595308E-4,7.674747701877585E-4,4.033157840753213E-4,Drive
1,9.651046503,2.091341509402377,-0.558639877,0.9915114421288944,0.099270561,-0.020623122,0.081298924,0.05817205,-0.194734029,-2.972284967,5.205495901107788,-52.11107899,8.904779806137086,-49.75,9.651046503,2.091341509402377,-0.558639877,-55.45400085,-16.23124566,-25.95598747,0,1.7930141687393188,1.206675649,9.628000259399414,0,0,154.89999389648438,-86.9096653,40.4259559,-0.020543445,0.012191740479501128,0.00333742,-0.051236467,0.1605954737339205,0.006007469,3.780728987038353E-4,4.32930590621042E-4,0.002726573,Drive
2,9.406885637820345,3.2900759687701475,-0.542476704,0.987104672,0.13574114449035662,-0.016617824,0.08151766,0.057045818,-0.268563138,-2.969105152,4.690777907371521,-50.75931889,8.647725811004639,-19.44444444,9.406885637820345,3.2900759687701475,-0.542476704,-55.96884079,-14.87972969,-26.21352947,0,1.7930141687393188,1.206675649,9.628000259399414,0,0,154.89999389648438,-86.9096653,40.4259559,-0.020157959,0.008857285,0.00287803,-0.133686432,0.6585637032985687,0.002200715,7.635590289003E-4,-0.002901525,0.002267183,Drive
3,9.437783269048895,3.2213752223450003,-0.499202624,0.9816053654383687,0.17210840990821136,-0.010522027,0.081790931,0.051852248,-0.342851005,-2.966354565,3.986471929550171,-52.0371471,8.620153770446777,-22.25,9.437783269048895,3.2213752223450003,-0.499202624,-56.67375675,-16.15719166,-26.23951551,86.92829132080078,3.7416841983795166,1.2166023254394531,8.342000007629395,1.5111356973648071,269.18695068359375,154.89999389648438,-86.910003,40.4259122,-0.019808057,0.00418549,0.001641281,0.047630699,-0.135056873,-0.011834267,0.001113462,-0.00757332,0.001030434,Drive
4,9.791578311364628,1.5212776533608299,-0.475457347,0.9876892028503048,0.1302977353334427,-0.013007623,0.082226924,0.048798544,-0.258253774,-2.96914402,5.166333885192871,-52.70692692,9.409127864837647,-37.66666667,9.791578311364628,1.5212776533608299,-0.475457347,-55.49365097,-16.82697165,-25.45054148,19.707698822021484,3.4807615280151367,1.0388028621673584,7.289000034332275,2.6022331714630127,267.0202331542969,154.89999389648438,-86.9101022,40.4259063,-0.020187612,0.011610545902354732,-0.004170663,0.2132774834493989,-1.01275015,-0.007606288,7.33906245514642E-4,-1.48E-04,-0.004781511,Drive
5,9.819146156311035,1.583243312743994,-0.496007398,0.9923604489530174,0.089016419,-0.017609376,0.08349829,0.05060492,-0.174620526,-2.969278451,5.980683879852295,-51.99591125,9.268705825805664,-34.625,9.819146156311035,1.583243312743994,-0.496007398,-54.680033,-16.11583362,-25.59071957,33.87008285522461,3.9025375843048096,1.0488049983978271,6.612999916,2.794306993484497,267.9967346191406,154.89999389648438,-86.910153,40.4259205,-0.018325418,0.012393379313826055,1.2305906230077436E-4,0.051914576187874505,-0.142098806,-0.004734606,0.002596101,6.34569530058833E-4,-4.88E-04,Drive
6,9.803182426008206,1.3369577023589496,-0.47032323,0.9932617955994838,0.077380757,-0.017295652,0.084397661,0.047988065,-0.151379901,-2.968413642,5.048359875679016,-51.99066521,9.330071840286255,-33.33333333,9.803182426008206,1.3369577023589496,-0.47032323,-55.61186886,-16.11083169,-25.53093954,41.95210647583008,3.8996410369873047,1.0587729215621948,6.164000034332275,2.421109676361084,268.1085205078125,154.89999389648438,-86.9101701,40.4259374,-0.01813564,0.008633407,-0.001822163,-0.003672896,-0.155870071,0.002605703,0.002785879,-0.003125403,-0.002433011,Drive
7,9.870924839,1.0332667052167133,-0.403559411,0.9944011372269936,0.060881774185351956,-0.015660392,0.084840017,0.041784551,-0.118704877,-2.96887738,4.729207901954651,-52.50477299,9.033123846054076,-35.5,9.870924839,1.0332667052167133,-0.403559411,-55.93065514,-16.62493971,-25.82715549,47.64786911010742,3.7609174251556396,1.0688108205795288,5.810999870300293,2.1168808937072754,267.9884338378906,154.89999389648438,-86.9101964,40.4259286,-0.018894751,0.006510268,-3.11E-05,0.0191258,-0.141795558,0.010038605448111746,0.002026767,-0.005248542,-6.42E-04,Drive
8,9.777639583476539,1.5634801827588127,-0.367669975,0.9941900841240744,0.064601876,-0.013363811,0.084669698,0.037822407317682376,-0.126535658,-2.969285115,4.433601918,-52.65153885,8.560129843,-35.55555556,9.777639583476539,1.5634801827588127,-0.367669975,-56.22540691,-16.77146171,-26.30161339,46.76825714111328,3.0009331703186035,1.0787644386291504,4.862999916,1.2908351421356201,268.1352844238281,154.89999389648438,-86.910215,40.4259286,-0.019997834,0.009131574,0.003384865,-0.045118415,0.2992903393449135,-5.40E-04,9.236840403512192E-4,-0.002627236,0.002774018,Drive
9,9.535610189715635,2.888598671237242,-0.470697833,0.9896301489609939,0.11607495917437169,-0.010416743,0.082244299,0.040794484,-0.230124509,-2.970984044,3.417707920074463,-52.08033516,7.972577838897705,-26,9.535610189715635,2.888598671237242,-0.470697833,-57.24313068,-16.20025776,-26.88770147,47.620025634765625,3.0516388416290283,1.3580176830291748,4.173999786376953,0.7382656931877136,268.2025146484375,155,-86.9102287,40.425926,0.004087978,0.017491376457306054,-4.70E-05,-0.104726608,0.6221815049648285,-0.073239688,0.025009496591967315,0.005732567,-6.58E-04,Drive
10,9.494514086,3.174311542973935,-1.000063381,0.7566042490375852,0.1177224022092171,-0.01521973,0.040753926077599915,0.064147779,-0.306590923,-2.625742651,4.971255915164948,-54.88462677,7.264855866,-24.875,9.494514086,3.174311542973935,-1.000063381,-55.68946102,-19.00467161,-27.5953014,41.6469841,1.5805062055587769,1.3679689168930054,4.129000186920166,1.3604103326797485,265.9924621582031,155,-86.9102493,40.4259157,0.1579425645974076,0.034028047,-0.00605658,-0.029109446,0.1527379577599683,-0.388528701,0.17886408367781964,0.022269237,-0.006667427,Drive
11,9.513293674,2.7113584569356974,-1.463527578,-0.981727281,-0.145056195,0.061847065,0.094315661,0.099297294,-0.302301357,2.9651511826561494,6.003009867668152,-61.14115284,4.676381902694702,-16.25,9.513293674,2.7113584569356974,-1.463527578,-54.65673088,-25.26095352,-30.18353127,30.017885208129883,1.8597042560577393,1.3779395818710327,4.013999938964844,2.6402554512023926,257.03594970703125,155,-86.9102801,40.4259017,0.32597893534354794,0.063218243,-0.006661497,0.001428993,-0.269998134,-0.515724539,0.3469004547133029,0.051459433632966095,-0.007272344,Drive
12,9.640043610508002,2.3513431768972897,-1.783953824,-0.950046056,-0.116873359,0.10497695323332999,0.264447207,0.14444276567512346,-0.282572989,2.619189306370263,7.806047825813294,-71.14978867,0.8866959767416119,-24.11111111,9.640043610508002,2.3513431768972897,-1.783953824,-52.85369312,-35.2700774,-33.97272949,4.231421947479248,2.7543601989746094,1.3879425525665283,3.936000108718872,3.5368919372558594,235.5466309,155,-86.9103245,40.4258759,0.38580638430650954,0.095041607,0.007465087,0.085199625,-0.452119021,-0.39387825,0.4067279045442933,0.083282796,0.00685424,Drive
13,9.693663918055021,1.9584131745191722,-1.443280442,-0.902945247,-0.074521461,0.11484667145222135,0.40578463123840036,0.1519331401123584,-0.230065268,2.3145378376673724,7.496777849197388,-79.37942062,-3.706847917,-23.88888889,9.693663918055021,1.9584131745191722,-1.443280442,-53.16332905,-43.49983116,-38.56615128,5.240850925445557,2.6551458835601807,1.3979941606521606,3.9070000648498535,4.183867931365967,209.23162841796875,155,-86.9103615,40.4258355,0.29344390636508905,0.092313551,-0.003672497,0.079338898,-0.335325019,0.030782467,0.314365426,0.080554741,-0.004283344,Drive
14,9.577574692883537,2.809699388383662,-1.09165564,-0.853849462,-0.086209471,0.1279505531764725,0.4965932968172055,0.13854611245463194,-0.277636202,2.1073974729741662,7.813001823425293,-82.15650688,-8.265621848,-23.25,9.577574692883537,2.809699388383662,-1.09165564,-52.84686081,-46.27667316,-43.12541321,6.8781867027282715,2.676060438156128,3.3310461044311523,3.878000020980835,4.380900859832764,189.25941467285156,155,-86.9103805,40.4257873,0.20052395703144443,0.043706715,-0.012710664,0.041071105,0.071721312,0.22220238262009853,0.2214454769798853,0.031947905,-0.013321511,Drive
15,9.538319606225468,2.7594762450283015,-0.313244876,-0.839203699,-0.099334952,0.10589208540696542,0.5239938815820564,0.07672165,-0.281422219,2.0361267918521917,8.148989821150899,-80.73349869,-11.18007978,-15.22222222,9.538319606225468,2.7594762450283015,-0.313244876,-52.51038506,-44.85378704,-46.04072506,8.345139503479004,2.638219118118286,3.341001033782959,3.878000020980835,4.819764137268066,175.0876465,155,-86.9103823,40.425737,0.047456309,0.020031935359618076,-0.00189333,-0.053869136,-0.023113714,0.42733824658162384,0.068377827,0.008273125,-0.002504177,Drive
16,9.518178032,2.9235239839090883,-0.075806596,-0.851022723,-0.119521199,0.084162423,0.504249497,0.023748358998161096,-0.292554594,2.075279007,6.208335872478783,-83.45946648,-10.41111382,-18.625,9.518178032,2.9235239839090883,-0.075806596,-54.45164902,-47.57926723,-45.27127098,8.971181869506836,3.2430386543273926,3.350992202758789,3.878000020980835,5.476025104522705,172.9622039794922,155,-86.9103877,40.4256706,-0.014190452,0.018407647,0.001174706,-0.039648212,0.044402758,0.15030052054386872,0.006731067,0.006648837,5.638590099316878E-4,Drive
17,9.517402728,2.742807802644748,-0.131672036,-0.86810114,-0.121346905,0.076171424,0.47516672559154843,0.017614400936561882,-0.287010393,2.1424972432330973,7.071851878166199,-82.22189842,-10.37561185,-17.33333333,9.517402728,2.742807802644748,-0.131672036,-53.58837692,-46.34182114,-45.23552509,8.206166267,2.922464609146118,3.361003875732422,3.878000020980835,6.641213417053223,176.90419006347656,155,-86.9103967,40.4256013,-0.016392057,0.020447074,-0.004265552,-0.002310114,-0.067490667,0.036044018,0.004529462,0.008688264,-0.0048764,Drive
18,9.653883609956909,2.305179707054953,-0.170360841,-0.883240441,-0.117052945,0.069505167,0.44858396516262905,0.018341185,-0.272528922,2.2042256396951028,7.319267845153808,-82.19749809,-10.71416185,-24.75,9.653883609956909,2.305179707054953,-0.170360841,-53.34059498,-46.31742123,-45.57407494,7.243372917175293,2.8606293201446533,3.3709895610809326,3.881000042,7.752673625946045,177.96063232421875,155,-86.9104017,40.4255251,-0.020602751,0.010709101,0.003183226,0.083163373,-0.37024498,0.005180584,3.187673294112014E-4,-0.001049708,0.002572379,Drive
19,9.708358074854878,1.8796493046492049,-0.148372428,-0.899862782,-0.090908458,0.053231757,0.42314718533488155,0.019217677893641504,-0.210227199,2.2645019489584617,9.438895826339722,-78.95351868,-10.29289573,-18.66666667,9.708358074854878,1.8796493046492049,-0.148372428,-51.22084499,-43.07344105,-45.15268703,7.182537078857422,3.367877721786499,6.789712429046631,3.9560000896453857,8.262453079223633,179.96531677246094,154.89999389648438,-86.9104035,40.4254481,-0.019048946,0.013105046059438977,0.001854781,0.014265787254259425,-0.189216956,0.037928562,0.001872573,0.001346236,0.001243934,Drive
20,9.697747762386616,2.376832138460416,-0.188089665,-0.909716177,-0.092085685,0.050882565,0.40162268714997373,0.019058118818454373,-0.209961993,2.3121098268379288,9.82124382,-79.01366432,-10.38207779,-16.22222222,9.697747762386616,2.376832138460416,-0.188089665,-50.83910709,-43.13358734,-45.24089306,6.787662506103516,3.2476606369018555,6.799692153930664,3.9560000896453857,8.563967705,180.98663330078125,154.89999389648438,-86.9104087,40.4253689,-0.024018752,0.015441685137949268,-4.46E-04,-0.023094011,0.30533607955117825,-0.005685281,-0.003097233,0.003682875,-0.001057122,Drive
21,9.658277224568488,2.259965807488821,-0.211207253,-0.917080979,-0.099799904,0.053288221142245726,0.3822660373831258,0.022008267439250807,-0.225707986,2.354229401616217,9.040687804222108,-78.65181259,-9.745115795,-18,9.658277224568488,2.259965807488821,-0.211207253,-51.61954098,-42.77185722,-44.60527325,5.885359287261963,2.873412609100342,6.809588432312012,3.946000099182129,8.828074455,181.9904022216797,154.89999389648438,-86.9104152,40.4252866,-0.022026084,0.013199934939903579,-3.40E-04,-0.028474539,0.035259367192833166,0.008136549,-0.001104566,0.001441125,-9.50E-04,Drive
