seconds_elapsed,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,microphone_dBFS,magnetometer_z,magnetometer_y,magnetometer_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,accelerometer_z,accelerometer_y,accelerometer_x,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,gyroscope_z,gyroscope_y,gyroscope_x,class
0,-0.03778769,0.018953233059114102,0.004683162,-111.4444444,-122.4414747,44.57473215738932,12.708333117167156,-106.4237735,36.51560216407253,-33.44153626,-0.012569163,0.054302353,-0.061978906,9.787852708395425,1.5009174315960376,0.5542414269664071,45,1.5,1,39.720001220703125,0,0,155.59999084472656,-86.9099061,40.4245665,9.788164752803437,1.5057860874149898,0.5497919729311173,0.15399318830006653,-0.019253873,0.07728853,0.9848310906026099,-0.062419197,-0.14679152,-0.314797044,-0.016255324,0.006889,0.003919603,Garage
1,0.081604449,0.045189354,0.016733063158841387,-86.5,-122.9908819,45.39070938110351,12.860141735076905,-106.9704522,37.350543632507325,-33.27976954,0.1714724198128413,0.20134141838666306,0.1939147042417989,9.947274467320119,1.781761363727375,0.9447932437206935,45,1.5,1,39.720001220703125,0,0,155.59999084472656,-86.9099061,40.4245665,9.947274467320119,1.781761363727375,0.9447932437206935,0.1725214579441015,-0.023333508,0.085154125,0.9806704561687211,-0.07667237,-0.159569701,-0.3544324,0.10313681556020403,0.033125120289714156,0.015953195290368736,Garage
2,-0.137327953,-0.033568429,0.060567285,-74.55555556,-125.0734216,39.74247528076172,12.012607774734498,-109.0537241,31.702065334320068,-34.12766935,-0.34669415,-0.46953197,-0.410654044,9.338508074,1.975447644936279,0.5706997000245162,45,1.5,1,39.720001220703125,0,0,155.59999084472656,-86.9099061,40.4245665,9.338508074,1.975447644936279,0.5706997000245162,0.18168620244391914,-0.026029331,0.1296422704330926,0.9740895368520496,-0.100629816,-0.245647203,-0.381121976,-0.115795587,-0.045632663,0.059768143,Garage
3,0.063978837,0.013306683788948594,-0.043229305,-70.25,-127.4160657,37.536349334716796,12.429725742340088,-111.3960017,29.495939521789552,-33.71018532,0.13318833101142957,0.23056083396800514,-0.312963723,9.862303131992377,2.412595374202265,0.3498690038178008,45,1.5,1,39.720001220703125,0,0,155.59999084472656,-86.9099061,40.4245665,9.862303131992377,2.412595374202265,0.3498690038178008,0.1840492505761026,-0.012306789,0.11561339840437602,0.9757190612913336,-0.068104133,-0.222923041,-0.380502439,0.085511204,0.001242451,-0.044004724,Garage
4,-3.20E-04,-0.051621041,0.013852296277849022,-55.77777778,-128.012524,38.64154727935791,11.091995763778687,-111.99246,30.60150339126587,-35.04803722,0.001907631,-0.412913326,-0.264282596,9.678441992,1.5840195500951948,0.4799932547595162,45,1.5,1,39.720001220703125,0,0,155.59999084472656,-86.9099061,40.4245665,9.678441992,1.5840195500951948,0.4799932547595162,0.19381332860409634,-0.017976255,0.10545590874350187,0.974713462,-0.076926384,-0.199906496,-0.400190498,0.021212116,-0.063685274,0.013035363250963607,Garage
5,0.1317198137895992,0.1438912386746289,-0.111817354,-47.25,-127.8556321,38.65252735,9.579683799743652,-111.835812,30.612727279663087,-36.56010548,-0.127139046,-0.090174992,-0.234704866,9.535528914,1.9759865509508883,0.6655037979371009,45,1.5,1.5128180980682373,48.965999603271484,1.3548481464385986,88.46840668,155,-86.9096182,40.4245724,9.535528914,1.9759865509508883,0.6655037979371009,0.20500685546833736,-0.024006157,0.11210949088518436,0.9705061161747346,-0.092990928,-0.210289711,-0.426522513,0.15327420524017027,0.13179029759395725,-0.112607342,Garage
6,0.009548196,0.027104123,0.060573214,-43.88888889,-130.0256458,45.75756320953369,14.183963737487794,-114.0061919,37.71751922607422,-31.95582531,0.004790741,-0.189787552,-0.085308303,9.841092962,1.2606516436863582,0.13740726257448346,45,1.5,1.5128180980682373,48.965999603271484,1.3548481464385986,88.46840668,155,-86.9096182,40.4245724,9.841092962,1.2606516436863582,0.13740726257448346,0.2620055457052675,0.008227377,0.07358845,0.9618822411426062,-0.022593485,-0.146354557,-0.533399649,0.031080560015008144,0.015036925245121627,0.059768142,Garage
7,-0.116582869,-0.050418621,-0.015096229,-40.22222222,-129.2615602,48.17840915679932,14.911449708938598,-113.2413737,40.13836517333984,-31.22833931,0.1436792808829002,-0.215145486,0.043156497,10.001490449442446,0.9553141131888605,0.3969878673788558,45,1.5,1.5128180980682373,48.965999603271484,1.3548481464385986,88.46840668,155,-86.9096182,40.4245724,10.001490449442446,0.9553141131888605,0.3969878673788558,0.2568082987394148,-0.002098771,0.061711747,0.9642227807091278,-0.035865374,-0.118064213,-0.522613255,-0.095044571,-0.062499163,-0.015905753,Garage
8,-0.039580531,0.019601970056560145,-0.047488925,-43.375,-127.9428616,47.21582924,13.19295771598816,-111.9231638,39.17566322,-32.94670929,0.025048913,-0.072489014,-0.180849542,9.870210471662503,0.9333634472913245,0.45602146998156334,45,1.5,1.5128180980682373,48.965999603271484,1.3548481464385986,88.46840668,155,-86.9096182,40.4245724,9.870210471662503,0.9333634472913245,0.45602146998156334,0.22893346021476302,-0.019888324,0.056864879519036675,0.9711810153664895,-0.064583084,-0.101569701,-0.466285257,-0.018045198,0.007528842,-0.048298448,Garage
9,-0.040648029,0.009090059,0.036910297012847204,-38.66666667,-128.3228911,45.33824924468994,13.009713773727418,-112.3027061,37.29832717895508,-33.1301973,0.17740323705580627,-0.279736267,-0.204706963,10.032498478889465,0.7911471204279223,0.4118789769171809,45,1.5,1.5128180980682373,48.965999603271484,1.3548481464385986,88.46840668,155,-86.9096182,40.4245724,10.032498478889465,0.7911471204279223,0.4118789769171809,0.24572597993809042,-0.016133702,0.060211057,0.9671424337961141,-0.061085884,-0.108642747,-0.500831594,-0.019115664,-0.002980105,0.036093362733649395,Garage
