seconds_elapsed,microphone_dBFS,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,accelerometer_z,accelerometer_y,accelerometer_x,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,magnetometer_z,magnetometer_y,magnetometer_x,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,gyroscope_z,gyroscope_y,gyroscope_x,class
0,-135.5555556,-109.2344188,18.576845755943886,-28.28616881,-0.004779017,-0.001059389,-0.001640434,9.930099941435314,-0.242907105,-0.187423531,9.928487614222936,-0.244153367,-0.188050223,-0.021264088,0.012435694703379192,9.286529132844629E-4,-136.8057381,24.549672615237352,16.42566318046756,45,1.5,1,12.102999687194824,0,0,160.09999084472656,-86.9154839,40.3848642,-0.521914088,0.014331806126202261,-0.005514509,0.8528597146965736,0.018696385977226636,0.024368602132727932,1.0981033402819966,3.193065217188136E-4,-0.001013451,4.8590120356741613E-4,Home
1,-119,-109.0321304,18.614393615722655,-28.39549953,-0.020170119,-0.003064554,-0.004334102,9.893348823473291,-0.249617282,-0.190824702,9.893348823473291,-0.249617282,-0.190824702,-0.021468612,0.012654323790909595,5.026146067640952E-4,-136.6318233,24.55359752655029,16.364469661712647,45,1.5,1,12.102999687194824,0,0,160.09999084472656,-86.9154839,40.3848642,-0.522588526,0.014515337452871127,-0.005685776,0.8524423727711428,0.018811141348724227,0.024867278460449387,1.0996836632200815,6.375347548932994E-5,-7.84E-04,-1.08E-04,Home
2,-148.5,-108.9552702,18.512401504516603,-28.39196135,-0.010505176,-0.003167224,-0.004630073,9.873091105118538,-0.254022515,-0.190894396,9.873091105118538,-0.254022515,-0.190894396,-0.021409306,0.012618740396664559,7.635590663288259E-4,-136.5549635,24.45172758102417,16.368373699188233,45,1.5,1,12.102999687194824,0,0,160.09999084472656,-86.9154839,40.3848642,-0.523222588,0.014666451349203448,-0.005881888,0.8520495243442868,0.018845179977202878,0.025373683,1.1011704264335263,1.2305903517487412E-4,-8.20E-04,1.527118000418888E-4,Home
3,-152.5555556,-108.8747498,18.468359603881837,-28.33742744,0.005089325,-0.001205251,-0.003874641,9.883484904582684,-0.253550044,-0.188940957,9.883484904582684,-0.253550044,-0.188940957,-0.021350001,0.012666185,7.872812939328549E-4,-136.474565,24.408905601501466,16.422785758972168,78.89798736572266,1.7846568822860718,1.0296807289123535,15.41100025177002,0.7335677742958069,49.78915023803711,160.09999084472656,-86.9154811,40.3848815,-0.523369947,0.014667938,-0.005981544,0.8519583078264032,0.018739030524654296,0.025548351349905858,1.1015168000193476,1.823645937301725E-4,-7.72E-04,1.7643403273202407E-4,Home
4,-149.2222222,-108.8288781,18.513377590179445,-28.37463747,0.010315922857488244,0.002089275,-0.002400116,9.905824152011316,-0.248807092,-0.188571267,9.905824152011316,-0.248807092,-0.188571267,-0.021622806,0.013093185014299397,5.737812816644612E-4,-136.4289377,24.45367956161499,16.385087623596192,76.26076508,1.687512993812561,1.0396454334259033,16.437999725341797,0.7752366065979004,30.566591262817383,160.09999084472656,-86.9154773,40.3848868,-0.523172531,0.014644451321835079,-0.005882604,0.8520806344967444,0.018808404435810534,0.025350766545794542,1.101053228656065,-9.04E-05,-3.45E-04,-3.71E-05,Home
5,-148.25,-108.8410782,18.501909732818604,-28.4039175,0.016120763,5.292009960100489E-4,-0.002866326,9.936245492361124,-0.247218653,-0.190197457,9.936245492361124,-0.247218653,-0.190197457,-0.021563501,0.013033879441616027,6.92392398209935E-4,-136.4417473,24.441723499298096,16.356295661926268,63.20654297,1.7293062210083008,1.049660563468933,16.87000084,1.1920570135116577,42.724430084228516,160.09999084472656,-86.9154633,40.3848857,-0.522781322,0.014581765,-0.005712422,0.8523229406875314,0.01889105,0.024986406336131604,1.1001351759271714,-3.11E-05,-4.05E-04,8.154513135787497E-5,Home
6,-145.2222222,-108.8515702,18.540949535369872,-28.40489344,-0.010412938,-0.001667677,-0.002462911,9.916707890704998,-0.247723933,-0.189268205,9.916707890704998,-0.247723933,-0.189268205,-0.021599084,0.012927129457804184,6.923923897330912E-4,-136.4512639,24.48100757598877,16.35507572174072,73.22653198242188,1.885576844215393,1.0596388578414917,18.09399986,0.9789093732833862,41.08734130859375,160.09999084472656,-86.9154516,40.3848876,-0.522491122,0.014495844,-0.005649653,0.8525027430173263,0.018818570753035037,0.024783137,1.099455142484128,-6.67E-05,-5.12E-04,8.154511440418733E-5,Home
7,-145.625,-108.8064304,18.47848554611206,-28.39586552,-0.012244032,0.001319847,-0.001364501,9.888284378,-0.247233172,-0.184621948,9.888284378,-0.247233172,-0.184621948,-0.021567606,0.012369657154732313,6.695825616658952E-4,-136.4058788,24.418543605804444,16.36373773574829,89.98020935058594,2.497218370437622,1.0696407556533813,17.770999908447266,0.672031045,59.19051742553711,160.09999084472656,-86.9154438,40.3848785,-0.522669518,0.014442474921592154,-0.005859459,0.8523928276621379,0.018503054242151287,0.025089125596703246,1.099875351557365,-3.52E-05,-0.001068983,5.8735285934884676E-5,Home
8,-143.5555556,-108.7848363,18.52813959121704,-28.38171352,-0.002576921,-5.11E-04,-0.003633821,9.886475174,-0.247131536,-0.182856369,9.886475174,-0.247131536,-0.182856369,-0.021587223,0.013294823946955713,5.144757146323191E-4,-136.3850163,24.468319549560547,16.37837760925293,90.57337951660156,1.9710149765014648,1.0796425342559814,17.524999618530273,0.4764508306980133,124.73290252685547,160.09999084472656,-86.9154371,40.3848639,-0.52224994,0.014237298024366202,-0.005900457,0.8526531567851316,0.018122529285480676,0.024935567245176694,1.0988938519098226,-5.49E-05,-1.44E-04,-9.64E-05,Home
9,-138.375,-108.8671862,18.513255672454832,-28.41453142,0.002678973,1.7280326884927102E-4,-0.003850005,9.893070091321631,-0.247721028,-0.189407593,9.893070091321631,-0.247721028,-0.189407593,-0.021646528,0.013022018334312924,4.907534960702568E-4,-136.4671234,24.453679580688476,16.345559616088867,90.57337951660156,1.9710149765014648,1.0796425342559814,17.524999618530273,0.4764508306980133,124.73290252685547,160.09999084472656,-86.9154371,40.3848639,-0.522777638,0.014545325,-0.005777765,0.8523253972090564,0.01876071,0.025059642414878874,1.1001272733929088,-1.14E-04,-4.17E-04,-1.20E-04,Home
