seconds_elapsed,microphone_dBFS,gyroscope_z,gyroscope_y,gyroscope_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,magnetometer_z,magnetometer_y,magnetometer_x,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,accelerometer_z,accelerometer_y,accelerometer_x,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,class
0,-89.63636364,0.13799110548787338,0.033589495822440744,0.094010103,-83.17614995,23.577030057492465,-45.11506877,-24.23343219,-30.25998314,-16.31388943,10.035443208655533,1.5163536857509492,0.5721715085151396,-0.943137764,-0.101846653,-0.003710052,0.28723599883012996,-0.067939635,-0.194645839,2.5385605429494102,-0.259016148,-0.499631178,-0.154776416,45,1.5,2.1908376216888428,24.893999099731445,0,0,155,-86.9109957,40.4278613,10.033729553222656,1.5010020403677355,0.538996306,0.11645874004204605,0.049943866294830344,0.094059825,Campus
1,-46.75,-0.009662356,0.12643055613853435,-0.122722476,-85.51370262,23.32676546096802,-44.08799339,-26.65187544,-30.4327774,-15.34869772,10.135212652891585,0.8816070420785075,0.1451403734102411,-0.961664726,-0.053038084,0.013718234894891016,0.26569627138596136,-0.002968572,-0.108776961,2.6015897746225005,0.19628016925552516,-0.168365943,0.1282321464957543,45,1.5,2.1908376216888428,24.893999099731445,0,0,155,-86.9109957,40.4278613,10.135212652891585,0.8816070420785075,0.1451403734102411,-0.031194726,0.14280037261382902,-0.122691341,Campus
2,-56.22222222,-0.010031992,0.012334417874136796,0.08278155,-87.32149857,23.414361553192137,-43.55314499,-28.46162355,-30.34444941,-14.8128737,9.614846326772449,0.8836601073627622,-0.577846341,-0.955764325,-0.044840818,0.044868091,0.28497892962052274,0.060980483710479275,-0.110924308,2.5657928127508898,-0.209728883,-0.243493885,0.019688915,45,1.5,2.1908376216888428,24.893999099731445,0,0,155,-86.9109957,40.4278613,9.614846326772449,0.8836601073627622,-0.577846341,-0.031564357,0.028711289,0.082810918,Campus
3,-45.125,-0.108002837,-0.056610121,0.03735509,-86.63597992,21.68915958404541,-42.17710728,-27.77598343,-32.07062737,-13.43744575,9.631767426,1.2052537294339787,-0.833323714,-0.963585157,-0.065670809,0.051265482,0.2496572850109304,0.067159356,-0.15298268,2.6397058523974373,-0.180671715,-0.311310005,-0.172239147,45,1.5,2.1908376216888428,24.893999099731445,0,0,155,-86.9109957,40.4278613,9.631767426,1.2052537294339787,-0.833323714,-0.129535203,-0.040255129,0.037398086126681274,Campus
4,-47.77777778,0.14002487077875045,0.00561327,-0.031925663,-88.52295425,25.106257572174073,-43.78677513,-29.66259136,-28.65340738,-15.04674765,9.794188985546816,0.8282651105179063,-0.310401952,-0.960201482,-0.045722601,0.028743135,0.2724187999095732,0.030609430832272955,-0.103605798,2.5902310089000222,-0.079767426,-0.199320725,-0.00822617,45,1.5,2.229417562484741,33.323001861572266,0.5518558621406555,212.1203155517578,155,-86.9110336,40.4278154,9.794188985546816,0.8282651105179063,-0.310401952,0.11849250771032954,0.021977157729849654,-0.031896012,Campus
5,-69.25,-0.162860478,-0.030213215,0.032076894531695585,-90.63928749,26.469973487854006,-44.30930119,-31.78026758,-27.28981359,-15.56939572,9.955797417649945,0.874167225,-0.311720323,-0.958938777,-0.047539704,0.026187982,0.2742287578802664,0.025118217023668215,-0.105456124,2.586237379648153,0.086857189,-0.171119388,-0.064308969,45,0.366990328,2.2393717765808105,35.290000915527344,1.072288990020752,146.9347686767578,155,-86.9110442,40.4277695,9.955797417649945,0.874167225,-0.311720323,-0.184392845,-0.013859708,0.032143612527876224,Campus
6,-60.66666667,0.10520064772911442,-0.041629538,0.062500645,-90.68345238,23.654091548919677,-44.34943916,-31.82247927,-30.10581734,-15.60941168,9.721558107779575,1.3051783511775563,-0.076501301,-0.960942219,-0.077808994,0.016957241384305727,0.26253760106933927,-0.008314795,-0.158353478,2.6075485308193467,-0.090606569,-0.272652139,-0.159649539,45,0.23405355215072632,2.2494513988494873,29.441999435424805,1.0732539892196655,155.7430877685547,155,-86.9109912,40.4277453,9.721558107779575,1.3051783511775563,-0.076501301,0.083668285,-0.02528196,0.062531781,Campus
7,-53.625,-0.048365166,-0.067237679,-0.05332311,-90.84546799,24.96546947479248,-46.53311699,-31.98461731,-28.79590336,-17.7926017,9.735358678021477,1.5212108569888814,0.4173965538779581,-0.953678224,-0.080658807,-0.001205909,0.28641691471187813,-0.048715685,-0.153554963,2.554557878994247,-0.030496338,0.007239424,-0.057001082,45,0.20499415695667267,2.259383201599121,24.18199920654297,1.1479369401931763,158.16839599609375,155,-86.9109684,40.4277178,9.735358678021477,1.5212108569888814,0.4173965538779581,-0.069897532,-0.050888618,-0.053290493,Campus
8,-39.22222222,0.11555539750611608,0.020012661299297532,0.021769588,-91.7858445,26.46277547836304,-47.03502495,-32.92511536,-27.29652351,-18.29389971,9.725096184073143,1.4129646707380425,0.4180266946481848,-0.946549846,-0.078623256,0.001892096,0.3097267768626074,-0.045433417,-0.150492745,2.5058033859845503,-0.061752671,-0.069803004,-0.034638291,45,0.24014869332313538,2.269371509552002,20.743000030517578,1.1625916957855225,154.04605102539062,155,-86.910955,40.4276885,9.725096184073143,1.4129646707380425,0.4180266946481848,0.094023031,0.036361721,0.021802205848394558,Campus
9,-31.11111111,-0.072988835,8.332426196362064E-4,-0.056063029,-92.03472435,26.720927448272704,-47.28854115,-33.17497139,-27.03763945,-18.54753756,9.804419461963246,1.5528402632301292,0.4534050424592298,-0.945401543,-0.081071015,0.003468978,0.31233703974381233,-0.044358857,-0.156006197,2.4999872110422374,0.038413533886659496,0.017439846853608068,0.025508897975810522,45,0.24014869332313538,2.269371509552002,20.743000030517578,1.1625916957855225,154.04605102539062,155,-86.910955,40.4276885,9.804419461963246,1.5528402632301292,0.4534050424592298,-0.094521201,0.017180820493009483,-0.056036341,Campus
10,-35.875,-0.147571506,-0.00344862,-0.134761504,-91.85684845,27.774885387420653,-47.61049919,-32.99697344,-25.98660946,-18.87083759,9.861818146937102,0.870244039,0.5823328840564393,-0.963868616,-0.04852384,-0.0236115,0.25619243403661596,-0.072086275,-0.080940876,2.618936853501403,0.022508927,0.071261624,-0.1161644,45,0.22543498873710632,2.4083685874938965,11.947999954223633,1.244579553604126,137.8251190185547,161,-86.9109095,40.4276551,9.861818146937102,0.870244039,0.5823328840564393,-0.169103872,0.012901923135465499,-0.134752608,Campus
11,-49.77777778,0.085330664,0.032598099,0.053355159605136857,-94.05675201,31.59653543,-45.11840523,-35.19712132,-22.16386147,-16.37874372,10.026809687753326,0.12282962363791987,0.10177046646481579,-0.967180586,-0.014491297,-9.01E-04,0.25090934622746247,-0.008628373,-0.02743998,2.6340147027602563,0.11524415474671584,-0.134900351,0.006008513,45,0.21424464881420135,2.418469190597534,8.928999900817871,1.2634623050689697,137.24986267089844,161,-86.9108753,40.427644,10.026809687753326,0.12282962363791987,0.10177046646481579,0.063798297,0.048954416,0.053413895,Campus
12,-41.375,-0.136694866,-0.032674398,-0.007112219,-94.87915474,32.37208946228027,-43.59645519,-36.02013336,-21.38806351,-14.85654973,9.821302793558361,0.5254452652071865,0.4332170550919418,-0.966553906,-0.025063147,-0.003245173,0.25030938340622244,-0.018764901,-0.046730681,2.634450393973045,-0.081512951,0.062085515,0.24774956652551022,45,0.2169588804244995,2.4284143447875977,7.249000072479248,1.249446153640747,138.13328552246094,161,-86.9108575,40.4276347,9.821302793558361,0.5254452652071865,0.4332170550919418,-0.15822723,-0.016323855,-0.007081084,Campus
13,-40.22222222,-0.030288832,0.033700384027821925,-0.005439803,-96.88849403,30.933831272125243,-41.13083511,-38.02837532,-22.82607765,-12.39117373,9.889852491397303,0.3814954925249376,-0.067457851,-0.976383248,-0.016449535,-0.001869234,0.21053035976817308,-0.00991295,-0.031194965,2.7167137108960198,-0.009196693,0.073162996,-0.165360751,45,0.2084418386220932,2.4383223056793213,6.079999923706055,1.2825466394424438,135.26132202148438,161,-86.9108461,40.4276247,9.889852491397303,0.3814954925249376,-0.067457851,-0.051821198,0.050056857337781854,-0.005381979,Campus
14,-35.5,0.025422812,-0.004978702,0.017511449,-97.56559418,28.988785495758055,-41.12888325,-38.70620716,-24.76953756,-12.38946582,10.010873030690314,0.2658588502158239,0.11586314347545498,-0.977508445,-0.021903722,-0.00254677,0.20642379128817215,-0.013986452,-0.041349625,2.7249937566738685,0.099922708,-0.143269893,-0.022585158,45,0.2099577933549881,1.623313307762146,5.487999916,1.296040415763855,139.7225799560547,155.79998779296875,-86.9108355,40.4276156,10.010873030690314,0.2658588502158239,0.11586314347545498,0.003890444,0.011380737,0.017597443647953927,Campus
