seconds_elapsed,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,accelerometer_z,accelerometer_y,accelerometer_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,gyroscope_z,gyroscope_y,gyroscope_x,magnetometer_z,magnetometer_y,magnetometer_x,microphone_dBFS,class
0,-0.170154865,0.003412601,-0.015794114,0.9842446740468344,0.001355771,0.032337618,0.3426168402036031,9.897634494,-0.323947296,-0.018934345,9.895576418899909,-0.322520393,-0.020681866,45,1.5,1,17.44499969482422,0,0,149.39999389648438,-86.9109921,40.4279977,0.014208170572916666,-0.004094487,-0.003907763,-0.021322641,0.012125318199396133,0.00118708,-111.4301056,31.858422426077034,-59.05394231,2.0972421082357567E-4,-0.002535016,5.762325382481019E-4,-70.44203653,34.05645170211792,-10.81590977,-114.25,Classroom
1,-0.164101543,0.002876756,-0.015772411,0.986313076,4.984579988108502E-4,0.03206282,0.32972908540836815,9.876915561342702,-0.319778677,-0.017751608,9.876915561342702,-0.319778677,-0.017751608,45,1.5,1,17.44499969482422,0,0,149.39999389648438,-86.9109921,40.4279977,-0.007177918,-0.002684324,-0.012703181,-0.02144489,0.011847768232081701,0.001819198,-111.4269898,31.883967323303224,-59.05531887,8.74756872699171E-5,-0.002812566,0.001208351,-70.44694717,34.103757514953614,-10.81590975,-118.5,Classroom
2,-0.164289314,0.003028127,-0.015907077,0.986278986,7.464705754850561E-4,0.032378594032846965,0.3301065555558755,9.87556239,-0.324816963,-0.022606947,9.87556239,-0.324816963,-0.022606947,45,1.5,1,17.44499969482422,0,0,149.39999389648438,-86.9109921,40.4279977,-6.09E-04,-0.004685993,-0.015195804,-0.021027242,0.012968757346523209,7.048236819593093E-5,-111.3779456,31.852613353729247,-59.0355547,5.051236825798136E-4,-0.001691577,-5.40E-04,-70.39790268,34.07289134979248,-10.79529181,-113.5555556,Classroom
3,-0.165216866,0.003538377,-0.016064569,0.9861200469211467,0.001671141,0.032858332,0.3319736826188356,9.899089859527292,-0.32335339,-0.028995551,9.899089859527292,-0.32335339,-0.028995551,45,1.5,1,17.44499969482422,0,0,149.39999389648438,-86.9109921,40.4279977,0.014029901,0.001680227,-0.012406992,-0.021350001,0.012630601630555195,6.093645922713054E-4,-111.4825001,31.869937324523924,-58.99675877,1.8236457621136193E-4,-0.002029733,-1.48E-06,-70.50245697,34.089971466064455,-10.75686181,-125.5555556,Classroom
4,-0.16486401,0.003508816,-0.015857975,0.9861825594624269,0.001692712,0.032440368,0.3312569156433772,9.934686012638425,-0.320109723,-0.028135993,9.934686012638425,-0.320109723,-0.028135993,45,1.5,1,17.44499969482422,0,0,149.39999389648438,-86.9109921,40.4279977,0.016593526,0.001866865,-0.011278664,-0.021539778,0.012571296084997723,7.754201696760664E-4,-111.3925856,31.86859535217285,-58.9859008,-7.41E-06,-0.002089038,1.645728971727771E-4,-70.41242088,34.08838523864746,-10.74563776,-124.25,Classroom
5,-0.164531236,0.003447195,-0.015708667,0.9862407463268169,0.001631236,0.032124933759564336,0.33058245465593433,9.936797197582653,-0.319505708,-0.028693544,9.936797197582653,-0.319505708,-0.028693544,0,1.5,1,16.597000122070312,0.029826756566762924,0,149.39999389648438,-86.9109896,40.4279961,0.00137968,-1.01E-04,-0.01241802,-0.021326278,0.012440823823285914,7.516979494186354E-4,-111.3973438,31.909831314086915,-58.99627098,2.0608681398760347E-4,-0.002219511,1.408506763502232E-4,-70.41717903,34.12974346160889,-10.75612974,-132.3333333,Classroom
6,-0.164478266,0.003459301,-0.015894914,0.9862465603837689,0.001595552,0.032496288,0.33047630775322034,9.897381709172176,-0.325953062,-0.028483793,9.897381709172176,-0.325953062,-0.028483793,0,1.5,1,16.597000122070312,0.029826756566762924,0,149.39999389648438,-86.9109896,40.4279961,-0.019118652,-0.003064654,-0.012732759,-0.021397445,0.012440823759992146,7.16114610555645E-4,-111.5493559,31.910319137573243,-58.97711685,1.349201419128521E-4,-0.002219511,1.0526733522674123E-4,-70.5693132,34.13010948181152,-10.73685375,-133.75,Classroom
7,-0.164758111,0.003574168,-0.016092816,0.9861962042965935,0.001747764,0.032925058,0.3310421913572886,9.883298383175749,-0.325856562,-0.028011125,9.883298383175749,-0.325856562,-0.028011125,0,1.5,1,16.597000122070312,0.029826756566762924,0,149.39999389648438,-86.9109896,40.4279961,-0.007833175,-0.003582752,-0.009245123,-0.02155164,0.012772934999570105,8.94031265311992E-4,-111.4772536,31.888237285614014,-59.10192291,-1.93E-05,-0.001887399,2.8318400411116125E-4,-70.49745468,34.10802719116211,-10.86153775,-131.6666667,Classroom
8,-0.165189779,0.003536278,-0.016196917,0.9861224079595029,0.001624152,0.033118697,0.33192003496642253,9.886356205616183,-0.328472985,-0.029521159,9.886356205616183,-0.328472985,-0.029521159,0,1.5,1,16.597000122070312,0.029826756566762924,0,149.39999389648438,-86.9109896,40.4279961,2.780099516933404E-4,0.001666711,-0.015450533,-0.021812585,0.012203601551201483,4.7889240572084355E-4,-111.4692016,31.898973407745363,-59.02603893,-2.80E-04,-0.002456733,-1.32E-04,-70.48903687,34.11888526916504,-10.78601976,-123.25,Classroom
9,-0.165020212,0.003455755,-0.016185218,0.9861512479272861,0.00147481,0.033068816,0.33157848,9.892111769000303,-0.32643444,-0.026129391,9.892111769000303,-0.32643444,-0.026129391,0,1.5,1,16.597000122070312,0.029826756566762924,0,149.39999389648438,-86.9109896,40.4279961,0.002240005,0.001804418,-0.011018827,-0.02197864,0.012144296009599874,7.516979454627749E-4,-111.47152,31.902389183044434,-59.10582706,-4.46E-04,-0.002516038,1.4085065318018342E-4,-70.49135513,34.122423515319824,-10.86605175,-118.8888889,Classroom
