seconds_elapsed,microphone_dBFS,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,gyroscope_z,gyroscope_y,gyroscope_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,magnetometer_z,magnetometer_y,magnetometer_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,accelerometer_z,accelerometer_y,accelerometer_x,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,class
0,-90.63636364,-0.981096964,-0.121311716,0.026302880312247975,0.14845746937321452,0.016087021065376152,-0.248393194,2.8432441106656703,9.627887460920546,2.4353284703360663,-0.152708612,-8.65E-04,-6.25E-04,4.217754827723617E-4,-46.80249642,-10.18139445,-71.77325769,45,1.5,1,37.86199951171875,0,0,160.79998779296875,-86.9157837,40.3841411,43.27705974578858,-6.707254863,-5.866674888,-0.022440599,0.012530406,8.278587759521447E-4,-0.005837045,-0.004894158,0.001358222,9.628419232368469,2.439363032579422,-0.154037958,Drive
1,-33.75,-0.981460371,-0.121337098,0.026043303,0.14606082309218285,0.016172615,-0.248327402,2.8481399364841793,9.596540108467769,2.435062933894037,-0.154560662,-1.26E-04,9.577847447571824E-4,3.1728472434056613E-4,-46.69818321,-10.30228986,-71.67548653,45,1.5,1,37.86199951171875,0,0,160.79998779296875,-86.9157837,40.3841411,43.36184909820557,-6.822971835,-5.735341897,-0.02165839,0.014243712856714587,7.754201696760664E-4,-0.018751987,-0.003224273,9.56987003678257E-4,9.596540108467769,2.435062933894037,-0.154560662,Drive
2,-30.11111111,-0.981855779,-0.121652666,0.026076597,0.14310740542064593,0.01691012,-0.248916802,2.8542426141720374,9.580321765640408,2.433666159805742,-0.157975661,4.4330905103441147E-4,7.442847432261242E-4,6.493958655871379E-4,-46.74259094,-10.28642983,-71.6257106,45,0.35468295216560364,1.0203279256820679,25.898000717163086,1.9411813020706177,12.118465423583984,160.79998779296875,-86.9156287,40.3846911,43.317319259643554,-6.806379833,-5.68556591,-0.021089056,0.014030213,0.001107531,-0.003502022,-0.002680563,0.004102286,9.580321765640408,2.433666159805742,-0.157975661,Drive
3,-28.75,-0.981975341,-0.121600859,0.02597507,0.1423478401401668,0.016916030204122506,-0.248771091,2.8557918326368608,9.616176281160522,2.4394972023454686,-0.159323076,2.653923753685164E-4,7.917291950434446E-4,2.461180680892566E-4,-46.72514511,-10.26251785,-71.68976036,45,0.2545584440231323,1.0303280353546143,20.68400001525879,2.477083683013916,13.919673919677734,160.79998779296875,-86.9156195,40.384717,43.334399185180665,-6.78173584,-5.750103922,-0.021266973,0.014077657264051507,7.042535004269296E-4,0.015260659,2.9537978681545813E-4,0.003100771,9.616176281160522,2.4394972023454686,-0.159323076,Drive
4,-28.66666667,-0.982028818,-0.121405901,0.025983205372558056,0.14214373387179327,0.017042139237656177,-0.248380909,2.856226856268725,9.625014003,2.4400176199582906,-0.158225397,6.37534743590841E-5,0.001064535,1.0378472167926216E-4,-46.68049328,-10.27386384,-71.70696259,45,0.17691805958747864,1.040328025817871,18.19099998474121,1.6406495571136475,0.10400806367397308,160.79998779296875,-86.9156245,40.3847269,43.37978302001953,-6.793203864,-5.766329899,-0.021468612,0.014350462858610361,5.619201591030414E-4,0.005509867,2.8436855205054423E-4,0.005416829,9.625014003,2.4400176199582906,-0.158225397,Drive
5,-27.66666667,-0.982073872,-0.121383437,0.025994059928123234,0.1418494255218691,0.017146658206593644,-0.248334077,2.8568395943317597,9.626560729684181,2.442778626691948,-0.159299844,1.6309027062747086E-5,0.001325479,-8.60E-05,-46.71245716,-10.23884984,-71.71513695,45,0.3324154019355774,1.050328016281128,11.019000053405762,1.5561506748199463,348.1004943847656,160.79998779296875,-86.9156315,40.3847397,43.34781909942627,-6.75818984,-5.775113878,-0.021516056,0.014611407264488415,3.721423761340455E-4,0.002704176,0.001727148,0.00671262,9.626560729684181,2.442778626691948,-0.159299844,Drive
6,-27.875,-0.982108934,-0.12139834,0.026058636605739594,0.1415818430555677,0.017342280704998277,-0.248377572,2.8574082828262477,9.625422413,2.440963677989626,-0.159416001,9.933681039645979E-5,0.001183146,8.895828216833975E-6,-46.6493829,-10.28020784,-71.75405449,45,0.16278821229934692,1.0603280067443848,10.470999717712402,0.7119705080986023,335.67364501953125,160.79998779296875,-86.9156347,40.3847391,43.410527267456054,-6.800279827,-5.813787885,-0.021433028,0.014469073976851205,4.6703126507549033E-4,-0.002042622,-7.25E-04,0.006703771,9.625422413,2.440963677989626,-0.159416001,Drive
7,-28.11111111,-0.982082429,-0.121374034,0.026027473015258613,0.14179205402587225,0.017231913,-0.248323861,2.8569670556818396,9.622773976001925,2.4397817815391765,-0.160229096,1.6309027062747086E-5,0.001100118,-1.48E-05,-46.71245701,-10.2952138,-71.7699147,45,0.16278821229934692,1.0703279972076416,9.079000473022461,0.6133727431297302,321.4833984,160.79998779296875,-86.91564,40.3847423,43.34794124603272,-6.815163841,-5.829891906,-0.021516056,0.014386046162435731,4.4330904877391977E-4,-2.22E-04,4.8379296237982593E-4,0.005729195,9.622773976001925,2.4397817815391765,-0.160229096,Drive
8,-28,-0.982075974,-0.121462844,0.026157608058733437,0.1417368222028017,0.017484098941517565,-0.248537309,2.8571087557535906,9.624051751442327,2.445215007633839,-0.161832054,2.1144712697535468E-4,0.00148013,1.1747062559991788E-4,-46.76552715,-10.21444984,-71.8828862,45,0.2475883662700653,1.0803279876708984,8.286999702453613,0.7037097811698914,345.27520751953125,160.79998779296875,-86.9156404,40.3847497,43.29462723,-6.734521856,-5.94274189,-0.021320918,0.014766057980103562,5.756060597307694E-4,-5.50E-05,0.001520968,0.006549503,9.624051751442327,2.445215007633839,-0.161832054,Drive
9,-28,-0.98201835,-0.121466039,0.026218676,0.14212145591245115,0.017507535,-0.248568,2.8563280475949777,9.607092894396736,2.438614421677821,-0.161344198,-5.49E-05,0.001005229,-8.60E-05,-46.70257507,-10.23616585,-71.85031273,45,0.16970562934875488,1.0903279781341553,7.301000118255615,0.3588055372238159,356.38690185546875,160.79998779296875,-86.9156394,40.3847509,43.35672531,-6.756481857,-5.910533857,-0.021587223,0.014291157,3.72142379524783E-4,-0.010904377,-0.002872736,0.007057728,9.607092894396736,2.438614421677821,-0.161344198,Drive
