seconds_elapsed,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,accelerometer_z,accelerometer_y,accelerometer_x,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,magnetometer_z,magnetometer_y,magnetometer_x,microphone_dBFS,gyroscope_z,gyroscope_y,gyroscope_x,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,class
0,-0.885492863,-0.017705215,0.002660403,0.4643078519974226,-0.01173681,-0.03383264,2.175520028597043,-0.021218904,0.011453386310389951,0.001133282,-141.7247047,-25.6017787,-31.53810845,0.007426486,8.562976195488447E-4,-0.003375654,9.920040557259007,0.33694721091734736,0.1127775091873972,9.918877625,0.3366051570132927,0.11307194764599388,-92.6745956,-67.46646215,-4.659936603,-90.125,3.1659766469468797E-4,-0.001702178,3.724678408172799E-4,,1.5,3.544828414916992,64.55999755859375,0,0,155.6999969482422,-86.9107487,40.4250478,Garage
1,-0.885471239,-0.017923218,0.002557574,0.46434135807370674,-0.012123021,-0.034122785,2.175432328,-0.021373723,0.011610546,9.651979639475206E-4,-141.7294711,-25.55802343,-31.5879954,0.005215339,-8.28E-04,-0.008024185,9.932516838740376,0.33821270622096017,0.112093868,9.932516838740376,0.33821270622096017,0.112093868,-92.64936043,-67.43830444,-4.707979937,-70.875,1.586423706471269E-4,-0.00152267,2.0163890100943232E-4,,1.5,3.544828414916992,64.55999755859375,0,0,155.6999969482422,-86.9107487,40.4250478,Garage
2,-0.885442849,-0.017952941,0.002560332,0.4643943344171231,-0.012147827,-0.034177269,2.175311329273077,-0.021367906,0.011606098081056889,0.001115971,-141.690553,-25.57376146,-31.58396936,-0.005570375,-0.002434926,-0.008184996,9.912415939627342,0.33677236489879275,0.11214904226724384,9.912415939627342,0.33677236489879275,0.11214904226724384,-92.61093002,-67.45501862,-4.703221927,-68.44444444,1.6445887740701437E-4,-0.001527118,3.5241188015788794E-4,,1.5,3.544828414916992,64.55999755859375,0,0,155.6999969482422,-86.9107487,40.4250478,Garage
3,-0.885440758,-0.017921197,0.002578775,0.46439940084531467,-0.012085832,-0.034138124,2.175301720795122,-0.021527917,0.011918934912068172,5.856423912280538E-4,-141.6299194,-25.34501156,-31.57701542,0.006864511,-2.08E-04,-0.008255395,9.931384262529392,0.33888641144465476,0.11157697214952951,9.931384262529392,0.33888641144465476,0.11157697214952951,-92.55005226,-67.22431717,-4.696877933,-64.75,4.4479163689086735E-6,-0.001214281,-1.78E-04,,1.5,3.544828414916992,64.55999755859375,0,0,155.6999969482422,-86.9107487,40.4250478,Garage
4,-0.885465548,-0.017783616,0.002636405,0.4643570919638699,-0.011854113,-0.03394858,2.175404770860394,-0.021646528,0.012001963,9.058924031317306E-4,-141.6654208,-25.55326548,-31.60373341,-0.009493124,-0.002075023,-0.006941604,9.911867068,0.33502711543759095,0.11059835370521522,9.911867068,0.33502711543759095,0.11059835370521522,-92.58531075,-67.43305893,-4.724449944,-61.55555556,-1.14E-04,-0.001131254,1.4233334188901105E-4,,1.5,3.544828414916992,64.55999755859375,0,0,155.6999969482422,-86.9107487,40.4250478,Garage
5,-0.884689061,-0.018150962,0.002946989,0.4658048158710443,-0.011707363,-0.034872583,2.1721157888764315,-0.021456751,0.012369657120694525,0.001925948,-141.7009227,-25.52581539,-31.52882538,0.007227564,-7.50E-04,6.821833333922821E-4,9.930306897580046,0.345527655,0.1168446653269376,9.930306897580046,0.345527655,0.1168446653269376,-92.62081245,-67.40609688,-4.649175916,-52.125,7.561457035972656E-5,-7.64E-04,0.001162389,45,1.5,3.544828414916992,64.55999755859375,0,0,155.6999969482422,-86.9107487,40.4250478,Garage
6,-0.884285411,-0.018430185,0.003064716,0.46657176040908666,-0.011785972,-0.035462611,2.1703773285578754,-0.021527917,0.011918934912068172,8.110034944109835E-4,-141.556597,-25.58034939,-31.55285934,-0.023791137,0.001324592,-0.011886366,9.884687066078186,0.35273426728179824,0.10495345810732733,9.884687066078186,0.35273426728179824,0.10495345810732733,-92.47685242,-67.46111877,-4.673819871,-60.44444444,4.447913543294066E-6,-0.001214281,4.7444447296337016E-5,45,1.5,3.544828414916992,64.55999755859375,0,0,155.6999969482422,-86.9107487,40.4250478,Garage
7,-0.884612982,-0.018266275,0.002938296,0.46595872171874186,-0.011831733,-0.035062597,2.1717692023342097,-0.021563501,0.012156157094298058,6.212257227444461E-4,-141.6440703,-25.55424158,-31.52431143,-0.003800318,-0.003386416,-0.006289265,9.874066853,0.3434571672990484,0.11044735027459061,9.874066853,0.3434571672990484,0.11044735027459061,-92.5638385,-67.43379082,-4.644295902,-61.88888889,-3.11E-05,-9.77E-04,-1.42E-04,45,1.5,3.544828414916992,64.55999755859375,0,0,155.6999969482422,-86.9107487,40.4250478,Garage
8,-0.884724122,-0.018281366,0.002857017,0.4657475826809707,-0.011981317,-0.035016387,2.172244122884806,-0.021539778,0.011847768268249566,6.68670170605906E-4,-141.6383369,-25.57559147,-31.53663345,-0.004613719,0.00146574,-0.006340124,9.871604326859261,0.34748198714071105,0.11182961207859725,9.871604326859261,0.34748198714071105,0.11182961207859725,-92.55786018,-67.45562912,-4.65588593,-63,-7.41E-06,-0.001285448,-9.49E-05,45,1.5,3.544828414916992,64.55999755859375,0,0,155.6999969482422,-86.9107487,40.4250478,Garage
9,-0.884561696,-0.018431181,0.002882877,0.46604985866731813,-0.012087425,-0.035301498,2.1715541464611166,-0.021456751,0.011895213,9.889201825095829E-4,-141.6028358,-25.57717749,-31.58079737,0.023516072,0.001406822,-0.006578846,9.910862330094124,0.3508505242542156,0.11281984559829952,9.910862330094124,0.3508505242542156,0.11281984559829952,-92.52284607,-67.45697105,-4.700903897,-55.22222222,7.561458787853712E-5,-0.001238004,2.2536112465760082E-4,45,1.5,3.544828414916992,64.55999755859375,0,0,155.6999969482422,-86.9107487,40.4250478,Garage
