seconds_elapsed,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,accelerometer_z,accelerometer_y,accelerometer_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,microphone_dBFS,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,magnetometer_z,magnetometer_y,magnetometer_x,gyroscope_z,gyroscope_y,gyroscope_x,class
0,45,1.5,1,11.47700023651123,0,0,160.6999969482422,-86.915597,40.3848549,1.4587928508890085E-4,0.008464537,-0.00149115,-0.996882587,0.012766191,0.009453315,0.077283041,0.020828444382240033,0.023993898825398808,2.9866027749817947,9.928452491760254,-0.23301772,-0.209936953,-99.38304739,-11.61181187,-34.85650854,-0.021021571,0.011864128362002044,0.001142706,-138,9.928558858235677,-0.229451751,-0.208913357,-51.22339333,-61.40327644,-8.631499847,-1.00E-04,-0.003407053,9.899938334550324E-4,Home
1,45,1.5,1,11.47700023651123,0,0,160.6999969482422,-86.915597,40.3848549,-0.01853167,-0.004920945,-0.013784975,-0.996898197,0.012372820339735273,0.00921509,0.077174721,0.020289612,0.023248618631397638,2.9868352899273622,9.894289711146678,-0.234996091,-0.214450921,-99.27017822,-11.58621778,-34.96336922,-0.020958584,0.012855962737693984,0.00173617,-132.875,9.894289711146678,-0.234996091,-0.214450921,-51.09042683,-61.38576283,-8.743861837,-3.71E-05,-0.002415219,0.001583458,Home
2,45,1.5,1,11.47700023651123,0,0,160.6999969482422,-86.915597,40.3848549,-0.011001348,-0.005248782,-0.015528963,-0.996898337,0.012175639679368872,0.009203157,0.07720587,0.020235952240629837,0.022856656,2.9867777801476993,9.87260325,-0.231647882,-0.215891262,-99.30665672,-11.43932978,-34.84917721,-0.020992,0.012075980570024023,0.001068983,-134.6666667,9.87260325,-0.231647882,-0.215891262,-51.12727104,-61.23924091,-8.62942585,-7.05E-05,-0.003195201,9.162708906492648E-4,Home
3,45,0.28319603204727173,1.0266627073287964,9.142000198364258,1.0617969036102295,146.59869384765625,160.6999969482422,-86.9155514,40.3848022,0.002107278,-0.004781958,-0.01765631,-0.996912255,0.012263126246341802,0.009205088,0.077011892,0.020248899200153582,0.023034754272514175,2.9871648260690633,9.878201984664768,-0.232231569,-0.217633608,-99.24236244,-11.43652382,-34.81489525,-0.021136501,0.012179879372198027,8.465868457066782E-4,-118,9.878201984664768,-0.232231569,-0.217633608,-51.06212296,-61.23643494,-8.594533834,-2.15E-04,-0.003091302,6.938750417089289E-4,Home
4,45,0.191049725,1.0367224216461182,7.552999973297119,1.7268203496932983,77.64102935791016,160.6999969482422,-86.9155258,40.3848104,0.017209803016440383,-5.35E-04,-0.016087405,-0.996923011,0.012154152870033552,0.009126902,0.076899074,0.020073502659074312,0.022831784308101368,2.9873955203491507,9.910708381134329,-0.226406323,-0.214683235,-99.20539612,-11.44481975,-34.91456936,-0.021243251,0.012500129368843383,6.093646001830263E-4,-118.2222222,9.910708381134329,-0.226406323,-0.214683235,-51.02515686,-61.2449749,-8.693475828,-3.22E-04,-0.002771052,4.5665280522724376E-4,Home
5,45,0.14866068959236145,1.0467549562454224,6.835000038146973,1.9277441501617432,83.94565582,160.6999969482422,-86.9155016,40.3848113,0.013400485,-0.003229302,-0.016732302,-0.996919763,0.011951382913925116,0.009194975,0.076964818,0.020179423,0.022415633,2.9872668854241233,9.939410691122406,-0.225715192,-0.217029595,-99.28603821,-11.45982574,-34.88309341,-0.021029751,0.012488268261540283,7.635590522007529E-4,-153,9.939410691122406,-0.225715192,-0.217029595,-51.10555508,-61.25949299,-8.663829823,-1.08E-04,-0.002782913,6.108472589403391E-4,Home
6,45,0.15556348860263824,1.0566915273666382,5.006000042,1.0316952466964722,75.58737182617188,160.6999969482422,-86.9154968,40.3848139,-0.014619855,-0.005857045,-0.017115837,-0.996922153,0.011992630512607329,0.009163107,0.07693109,0.020121455843587523,0.022503472,2.9873343069576523,9.913777699837318,-0.229276699,-0.217102639,-99.24382622,-11.49923172,-34.87565117,-0.021480473,0.012381518268686475,3.24697924881848E-4,-148.7777778,9.913777699837318,-0.229276699,-0.217102639,-51.06431904,-61.29938667,-8.654801788,-5.59E-04,-0.002889663,1.7198611240725495E-4,Home
7,45,0.14866068959236145,1.0667427778244019,4.784999847412109,0.24742981791496277,35.19320297241211,160.6999969482422,-86.9155018,40.3848155,-0.012853002,-0.002770602,-0.013813875,-0.996923482,0.012340470407049633,0.009128433,0.07686315,0.020104521,0.023203807367572507,2.987463138635876,9.885868322502063,-0.232397091,-0.212406569,-99.26114967,-11.52643777,-34.90529728,-0.021219528,0.012595018263436059,5.975034940101713E-4,-151.75,9.885868322502063,-0.232397091,-0.212406569,-51.08176476,-61.32659275,-8.685789804,-2.98E-04,-0.002676163,4.4479169340315953E-4,Home
8,45,0.12041594833135605,1.0766841173171997,4.204999923706055,0.7915510535240173,179.701416,160.6999969482422,-86.9155028,40.3848025,-0.003456755,-0.002786649,-0.014499025,-0.996928331,0.012393908285834258,0.009081905,0.076797211,0.020018431258577746,0.023318858,2.9875952410466464,9.881663331707705,-0.233326342,-0.212383337,-99.25138969,-11.54571374,-34.86820938,-0.02133814,0.012571296021703956,7.042535100340192E-4,-91.55555556,9.881663331707705,-0.233326342,-0.212383337,-51.071273,-61.34538082,-8.649311848,-4.17E-04,-0.002699886,5.515416998199178E-4,Home
9,45,0.12041594833135605,1.0866918563842773,4.171999931335449,0.9559049010276794,359.87481689453125,160.6999969482422,-86.9155029,40.3848215,0.001362273,-0.003229018,-0.015623767,-0.996930358,0.012405670998455251,0.009058219,0.07677175,0.019972408,0.023346469186029388,2.987646595945636,9.886634928508869,-0.234017474,-0.213196432,-99.24565613,-11.54534772,-34.94836349,-0.021219528,0.012618740459958326,6.449479520438438E-4,-104.4444444,9.886634928508869,-0.234017474,-0.213196432,-51.0661488,-61.34501484,-8.728123856,-2.98E-04,-0.002652441,4.922361406994965E-4,Home
