seconds_elapsed,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,gyroscope_z,gyroscope_y,gyroscope_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,magnetometer_z,magnetometer_y,magnetometer_x,accelerometer_z,accelerometer_y,accelerometer_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,microphone_dBFS,class
0,9.616916199525198,0.4574964714702219,0.26492410015392426,-0.382472612,0.23590451272097057,-0.056045235,-112.4967065,67.58443991343181,-17.18014139,0.18356034188878304,0.002787114,0.030004978,0.9821586094650567,-0.005580523,-0.059879702,-0.370114495,0,1.5,1.087048053741455,28.701000213623047,1.815749565139413E-4,0,154.6999969482422,-86.9097785,40.4260621,9.657537722120098,0.4955606061015643,0.27396059753921104,-50.93329094,23.920295486450197,11.09736385345459,-0.523772417,-0.115908519,0.21485694892266216,-0.399323072,0.26487864039838316,-0.079642266,-86.7,Campus
1,10.217044881246622,0.22370568724367226,0.03323236,0.044863173,0.007499188,0.055051867,-111.9911179,72.19593834,-15.18241167,0.2057078913288209,0.009386796,0.012619831138154835,0.9778224212452046,0.013761422740589675,-0.028256742,-0.414040446,0,1.5,1.087048053741455,28.701000213623047,1.815749565139413E-4,0,154.6999969482422,-86.9097785,40.4260621,10.217044881246622,0.22370568724367226,0.03323236,-50.43150494,28.575815448760988,13.136959781646729,0.2940811231298354,-0.055653016,0.1679903468099034,0.023330806912763895,0.023855661146017244,0.055120069,-21.375,Campus
2,9.639845504210545,1.390367999350509,-0.44463074,-0.068434167,-0.027111535,0.088725564,-111.6969762,68.27168678283691,-15.02881367,0.1792636121650344,0.036149871,0.066041133,0.9804117633301077,0.047861698,-0.143168052,-0.358508789,0,1.5,1.087048053741455,28.701000213623047,1.815749565139413E-4,0,154.6999969482422,-86.9097785,40.4260621,9.639845504210545,1.390367999350509,-0.44463074,-50.13711899,24.65131962,13.291411733627319,-0.172465565,-0.011806236,0.024735369,-0.089966534,-0.010752098,0.088787835,-29.33333333,Campus
3,9.796729921137246,1.1797690115941382,-0.985468326,0.00652806,-0.02149678,-0.009009997,-107.8320156,68.90047508239746,-16.79378774,0.1450634552437125,0.04807343,0.062411169313545366,0.9855727640170495,0.07757149,-0.136700452,-0.287230316,45,1.5,1.1170765161514282,39.54600143432617,0.7968113422393799,223.96298217773438,154.6999969482422,-86.9098332,40.4260189,9.796729921137246,1.1797690115941382,-0.985468326,-46.27191483,25.279985485076903,11.525583820343018,0.028411509,-0.174569422,-0.221162945,-0.015004306,-0.005132898,-0.008974413,-13.25,Campus
4,9.793977001338328,1.1130516540114452,-0.458379444,0.086958258,-0.010375506,-0.019317301,-106.6825317,67.98754894256592,-16.81062375,0.1697253662984348,0.021355301937431966,0.055352342,0.983205209,0.023644389739221647,-0.116102429,-0.340457785,45,0.5071533918380737,1.1271092891693115,41.96500015258789,1.1377618312835693,322.04949951171875,154.6999969482422,-86.9099572,40.425946,9.793977001338328,1.1130516540114452,-0.458379444,-45.12230911,24.367669525146486,11.509113817214965,-0.057380815,-0.025182101,-0.240144044,0.065425892,0.005980966,-0.019278753,-8.888888889,Campus
5,9.909210010639672,0.6702458857404954,-0.342205583,0.051434229,-0.00847773,-0.014240748,-106.0996159,67.21785079956055,-15.34845369,0.21515959096186368,0.013229580310772928,0.037041443933561014,0.9753139036373027,0.010353250328301072,-0.077634,-0.433693379,45,0.2365000993013382,1.1371028423309326,37.30099868774414,1.1282622814178467,313.6746520996094,154.6999969482422,-86.910066,40.4258714,9.909210010639672,0.6702458857404954,-0.342205583,-44.53963703,23.59711763381958,12.972625741958618,0.049002282,-0.101021202,-0.248173527,0.029901862709593136,0.00787133,-0.014203682,-15.75,Campus
6,9.975848901619031,0.8473089522528416,-0.015896007,0.12509173352397907,-0.046694233,0.016313477,-106.3331239,65.56938671,-15.01649173,0.24330820562770067,0.00737549,0.040873014,0.9681532122556445,-0.006122293,-0.081480898,-0.492978171,45,0.2549630403518677,1.147064447402954,33.176998138427734,1.1711541414260864,306.7197266,154.6999969482422,-86.9101267,40.4258381,9.975848901619031,0.8473089522528416,-0.015896007,-44.77277908,21.949019565582276,13.303123722076416,0.088957245,0.040510367,-0.079043478,0.10355936750335601,-0.030346655,0.016350543813653362,-16.11111111,Campus
7,9.656235787474994,0.617205952,0.092149804,0.12260409308454165,0.015423894,-0.008751561,-106.8917621,63.01165718078613,-13.07608174,0.3112769559598886,0.003494745,0.038150816,0.9486638617057067,-0.016601607,-0.074003816,-0.634548882,45,0.24271433055400848,1.1570698022842407,28.785999298095703,1.1907470226287842,311.8603820800781,154.6999969482422,-86.9101791,40.4258101,9.656235787474994,0.617205952,0.092149804,-45.33178318,19.39263159751892,15.243411712646484,-0.208307706,-0.12281209,-0.055809144,0.10107172851432832,0.031790489,-0.008711915,-13.44444444,Campus
8,9.592863731013919,0.5138180078938603,-0.047960993,0.1951790426143454,0.050626191,-0.039457471,-107.3715876,60.89886074066162,-9.270291834,0.35461968096714575,0.024641315,0.026963160228599042,0.9328210498522786,0.027112521766910997,-0.067721722,-0.725860753,45,0.21309849619865417,1.1671215295791626,23.709999084472656,1.191219687461853,300.9528503417969,154.6999969482422,-86.9102113,40.4257797,9.592863731013919,0.5138180078938603,-0.047960993,-45.81160912,17.279103689193725,19.049933614730836,-0.269735438,-0.155657602,0.21944575221503823,0.1736466765846804,0.066988594,-0.039435232,-32.75,Campus
9,10.016338181727141,0.44845097021027963,-0.501098875,0.21893684910519898,0.057398885289586865,-0.08296403,-108.6355077,55.25941089630127,-4.506313914,0.4517076449486816,0.034647153,0.013623331198740063,0.8888525841305557,0.051452576924223926,-0.055966412,-0.938902498,45,0.1966303139925003,1.7232108116149902,17.298999786376953,1.1644729375839233,290.57171630859375,154.79998779296875,-86.910234,40.4257492,10.016338181727141,0.44845097021027963,-0.501098875,-47.07504112,11.63928780555725,23.813667488098144,0.15192314722005604,-0.10434451,0.006883183,0.19740448471212996,0.073770184,-0.082913621,-35.22222222,Campus
