seconds_elapsed,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,microphone_dBFS,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,accelerometer_z,accelerometer_y,accelerometer_x,gyroscope_z,gyroscope_y,gyroscope_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,magnetometer_z,magnetometer_y,magnetometer_x,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,class
0,-103.3702039,45.584512156824914,-36.16217693,-124.3333333,9.910591053240227,-0.247942651,0.12531049041585487,-0.004219427,-0.005240668,-0.006624166,6.884973638264809E-4,-0.002282912,5.746105571387936E-4,-0.01418955,-0.006447139,-0.012312703,0.9989174250829018,-0.013249589,0.024454257435212703,0.028757065,-43.30828333,15.646309047937393,-0.574924992,45,1.5,2.4009294509887695,12.428000450134277,0,0,167.39999389648438,-86.9131327,40.4275065,9.910544441,-0.248815574,0.12475436653882738,-0.02099658,0.012224710246516486,0.001032746,Classroom
1,-103.2636039,45.58127334594727,-36.1712912,-110.25,9.883338984,-0.249684074,0.12044841984232653,-0.014859777,-0.004536413,-0.011518509,6.695826025231957E-4,-0.001820795,3.6415894282981753E-4,-0.005522399,-0.006587712,-0.012431397,0.999885591,-0.013315654,0.024789705084493525,0.011210995484501697,-43.20349312,15.641863670349121,-0.591699995,45,1.5,2.4009294509887695,12.428000450134277,0,0,167.39999389648438,-86.9131327,40.4275065,9.883338984,-0.249684074,0.12044841984232653,-0.021015495,0.012686827793144263,8.222943808784924E-4,Classroom
2,-103.3409516,45.58346916,-36.0735693,-114.5555556,9.873718326531568,-0.246910838,0.1258148470694579,-0.00489247,-6.68E-04,-0.010084715,6.790486937479197E-4,-0.002671716,4.952014186555176E-4,-0.002566936,-0.006843871,-0.012478489,0.9998950987186247,-0.013755057,0.024921921018547226,0.00530581,-43.28132919,15.642473678588868,-0.49385599,45,1.5,2.4009294509887695,12.428000450134277,0,0,167.39999389648438,-86.9131327,40.4275065,9.873718326531568,-0.246910838,0.1258148470694579,-0.021006029,0.011835907043400899,9.533368521234364E-4,Classroom
3,-103.2481099,45.64642101287842,-36.14225525,-108.5,9.896508300188676,-0.248897113,0.12138057471189684,0.011620595617201721,-0.002411163,-0.013614916,7.264931308720441E-4,-0.001841438,3.2914585311833805E-4,-0.001233617,-0.006811346,-0.012474355,0.9998981975814671,-0.013656744,0.024931980676732017,0.002637746,-43.18787701,15.706523694992065,-0.562419991,45,1.5,2.4009294509887695,12.428000450134277,0,0,167.39999389648438,-86.9131327,40.4275065,9.896508300188676,-0.248897113,0.12138057471189684,-0.020958584,0.012666184934380563,7.87281292802609E-4,Classroom
4,-103.3042291,45.638247108459474,-36.17299961,-119.8888889,9.927222798171552,-0.241146574,0.12418865701816614,0.015051406564064396,0.002044755,-0.009071324,4.536875351829436E-4,-0.001912604,3.172847412942538E-4,-0.001466651,-0.006701462,-0.012275973,0.9999010910108251,-0.013442074,0.024532335,0.003098482,-43.24411877,15.698715705871582,-0.593285992,45,1.5,2.4009294509887695,12.428000450134277,0,0,167.39999389648438,-86.9131327,40.4275065,9.927222798171552,-0.241146574,0.12418865701816614,-0.02123139,0.012595018254394092,7.754201798482789E-4,Classroom
5,-103.2970316,45.612627296447755,-36.07625332,-119.75,9.930012556222769,-0.245100389,0.12303767467920597,0.003381859,-0.002514718,-0.010045022,4.655486447465362E-4,-0.001841438,2.8170140582200104E-4,-9.89E-04,-0.006688065,-0.012200696,0.9999026835543438,-0.013403349,0.024388218732568825,0.002140811,-43.23704319,15.67346173286438,-0.497149985,45,1.5,2.464730978012085,12.852999687194824,0.13965614140033722,112.85787200927734,167.39999389648438,-86.9131202,40.4275025,9.930012556222769,-0.245100389,0.12303767467920597,-0.021219528,0.012666184898212697,7.39836845506272E-4,Classroom
6,-103.268484,45.60518505096436,-36.0857695,-143,9.899783893696313,-0.245017488,0.12307065081538505,-0.015773477,-0.002508111,-0.010676078,3.469375231149561E-4,-0.001817715,2.6984029399791676E-4,-3.44E-04,-0.006733901,-0.012267539,0.9999019960755283,-0.013479372,0.024530516,8.527414655104931E-4,-43.2086171,15.665165624618531,-0.506665989,45,1.5,2.464730978012085,12.852999687194824,0.13965614140033722,112.85787200927734,167.39999389648438,-86.9131202,40.4275025,9.899783893696313,-0.245017488,0.12307065081538505,-0.02133814,0.012689907112818899,7.279757348124336E-4,Classroom
7,-103.2693378,45.60250118255615,-36.06319935,-137.5,9.882081448453144,-0.248557356,0.12454003008823951,-0.009045879,-0.001765492,-0.009118647,3.8252085971745474E-4,-0.001983771,2.5797918217383253E-4,1.1701106164914607E-4,-0.006769353,-0.012430112,0.9998997866528706,-0.013539025,0.024861897,-6.57E-05,-43.21008102,15.662603693008423,-0.483729991,45,1.5,2.464730978012085,12.852999687194824,0.13965614140033722,112.85787200927734,167.39999389648438,-86.9131202,40.4275025,9.882081448453144,-0.248557356,0.12454003008823951,-0.021302556,0.012523851547281719,7.161146235534722E-4,Classroom
8,-103.3054501,45.57334331512451,-36.10833931,-129.7777778,9.883080426929066,-0.247976574,0.12475201574344079,-7.47E-04,-0.002028032,-0.01040391,4.536875351829436E-4,-0.001936327,2.105347348774955E-4,6.228135036896842E-4,-0.006824405,-0.012477634,0.9998986530072481,-0.013636561,0.024963843,-0.001075533,-43.2457053,15.633689699172974,-0.528259991,45,1.5,2.464730978012085,12.852999687194824,0.13965614140033722,112.85787200927734,167.39999389648438,-86.9131202,40.4275025,9.883080426929066,-0.247976574,0.12475201574344079,-0.02123139,0.012571295949368223,6.686701762571352E-4,Classroom
9,-103.278,45.59542514801026,-36.14908718,-124.75,9.888632839165846,-0.246007723,0.12655244087709963,0.002883058,0.001289123,-0.008566247,3.0542363282830384E-4,-0.001785554,1.1747062671929598E-4,7.000074334567986E-4,-0.00684667,-0.012485022,0.9998983631913478,-0.013679169,0.024979697,-0.001229296,-43.21825493,15.655039701461792,-0.568519989,45,1.5,2.464730978012085,12.852999687194824,0.13965614140033722,112.85787200927734,167.39999389648438,-86.9131202,40.4275025,9.888632839165846,-0.246007723,0.12655244087709963,-0.021379653,0.012722069,5.756060698051722E-4,Classroom
10,-103.2949579,45.580785217285154,-36.08125534,-130.5555556,9.894185196,-0.250070293,0.12431352487900882,0.00404881,-0.003672326,-0.010849578,3.350764203328386E-4,-0.002043077,1.2750695210890574E-4,8.622679923823808E-4,-0.006842051,-0.012448412,0.9998987166626939,-0.013665918,0.024908697431527294,-0.001554501,-43.23509109,15.641131677627563,-0.501541988,45,1.5,2.464730978012085,12.852999687194824,0.13965614140033722,112.85787200927734,167.39999389648438,-86.9131202,40.4275025,9.894185196,-0.250070293,0.12431352487900882,-0.021350001,0.012464546001724247,5.856423940536683E-4,Classroom
11,-103.2595776,45.58908111572266,-36.11651325,-124.4444444,9.934572840199888,-0.239680101,0.12347139067296843,0.020523015735218825,0.004978425,-0.011592474,4.1810419971069084E-4,-0.00175841,2.105347348774955E-4,9.561682787375724E-4,-0.006821978,-0.012330226,0.9999002189312166,-0.013623577,0.024673570092152625,-0.001744442,-43.19946701,15.649549655914306,-0.536067989,45,1.5,2.464730978012085,12.852999687194824,0.13965614140033722,112.85787200927734,167.39999389648438,-86.9131202,40.4275025,9.934572840199888,-0.239680101,0.12347139067296843,-0.021266973,0.012749212757838004,6.686701739966435E-4,Classroom
12,-103.2342015,45.61287094116211,-36.13591145,-130.5,9.946786778644451,-0.243893675,0.12462714755708731,0.007757418,-0.00198687,-0.009164575,4.1810419858044504E-4,-0.001663521,1.0378472846073723E-4,6.810097553364896E-4,-0.006736617,-0.012163726,0.9999030730099354,-0.013459751,0.024336695,-0.001198357,-43.17384701,15.673339710235595,-0.557051987,45,1.5,2.464730978012085,12.852999687194824,0.13965614140033722,112.85787200927734,167.39999389648438,-86.9131202,40.4275025,9.946786778644451,-0.243893675,0.12462714755708731,-0.021266973,0.012844101598178878,5.619201709706228E-4,Classroom
13,-103.2472559,45.63727123260498,-36.10358135,-131.5555556,9.946322514460636,-0.241025115,0.12410754309250759,6.263047746084269E-4,-3.84E-04,-0.010320627,3.232152994667876E-4,-0.001829577,2.5797918217383253E-4,8.876365846818657E-4,-0.006774025,-0.012109792,0.999903314,-0.013529626,0.024231659266555194,-0.00161151,-43.18751102,15.697739686965942,-0.522769988,45,1.5,2.464730978012085,12.852999687194824,0.13965614140033722,112.85787200927734,167.39999389648438,-86.9131202,40.4275025,9.946322514460636,-0.241025115,0.12410754309250759,-0.021361862,0.012678046041683665,7.161146201627348E-4,Classroom
14,-103.2645802,45.565413093566896,-36.12395531,-138,9.943551757960643,-0.23946521,0.12655534450579614,-9.14E-04,9.085929509505485E-4,-0.007763397,3.706597535445997E-4,-0.001817715,2.3425695852566402E-4,8.756682232646181E-4,-0.006755829,-0.012058132,0.9999040689283204,-0.013493584,0.024128147265286122,-0.001588707,-43.20520119,15.625393705368042,-0.543753989,45,1.5,2.464730978012085,12.852999687194824,0.13965614140033722,112.85787200927734,167.39999389648438,-86.9131202,40.4275025,9.943551757960643,-0.23946521,0.12655534450579614,-0.021314417,0.012689907158028733,6.92392397644812E-4,Classroom
15,-103.29996,45.613237113952636,-36.09784729,-144,9.939477559432243,-0.243614899,0.12448775985287232,-0.002030947,-0.00384006,-0.010480451,5.485764263848801E-4,-0.001722827,2.4611807034974825E-4,0.001074461,-0.006793975,-0.012040124,0.9999038478703175,-0.013565125,0.02409487,-0.001985694,-43.23997108,15.673705739974976,-0.518377986,45,1.5,2.6224944591522217,13.411999702453613,0.142011359,130.89451599121094,167.59999084472656,-86.9131075,40.427494,9.939477559432243,-0.243614899,0.12448775985287232,-0.021136501,0.012784796,7.04253511729388E-4,Classroom
16,-103.28166,45.590545196533206,-36.16714333,-142.125,9.905661444062169,-0.244483168,0.1245806855194777,-0.018273702,-0.002019341,-0.010727956,5.403648896250301E-4,-0.001973507,2.9367656679823995E-4,0.00115742,-0.006832455,-0.01221482,0.9999013726527874,-0.013639793,0.024445492057846144,-0.002148343,-43.22167103,15.650525674819946,-0.586697985,45,1.5,2.6224944591522217,13.411999702453613,0.142011359,130.89451599121094,167.59999084472656,-86.9131075,40.427494,9.905661444062169,-0.244483168,0.1245806855194777,-0.021144712,0.012534116,7.5181200764536E-4,Classroom
17,-103.2870275,45.582005157470704,-36.18178337,-143.7777778,9.884474337679668,-0.24958534,0.12468232171049395,-0.010898127,-0.003197701,-0.009769384,3.11354189903195E-4,-0.001746549,1.86812511229327E-4,0.001017458,-0.006803417,-0.012439,0.9998989631828753,-0.01358478,0.024891906806710853,-0.001866034,-43.22728317,15.64210768699646,-0.60292399,45,1.5,2.6224944591522217,13.411999702453613,0.142011359,130.89451599121094,167.59999084472656,-86.9131075,40.427494,9.884474337679668,-0.24958534,0.12468232171049395,-0.021373723,0.012761073801847338,6.449479548694584E-4,Classroom
18,-103.312038,45.59481510162354,-36.09138142,-137.3333333,9.886077279026068,-0.248580588,0.12430481258237246,-5.81E-04,-7.16E-04,-0.0108073,3.70659751284108E-4,-0.001734688,1.86812511229327E-4,0.001181615,-0.006845195,-0.01252484,0.9998974163555404,-0.013664109,0.025065926093499637,-0.00219221,-43.25253719,15.654917640686035,-0.511301988,45,1.5,2.6224944591522217,13.411999702453613,0.142011359,130.89451599121094,167.59999084472656,-86.9131075,40.427494,9.886077279026068,-0.248580588,0.12430481258237246,-0.021314417,0.012772934909150439,6.44947950913598E-4,Classroom
19,-103.2989837,45.60274513244629,-36.0413612,-138.5,9.891443882173705,-0.245824775,0.12426415888719189,0.002618419,6.907967109124637E-4,-0.008306201,2.7577085330069643E-4,-0.001734688,1.7495139940524275E-4,8.834976639634776E-4,-0.006711164,-0.012456789,0.999899492,-0.013403536,0.024925518943702134,-0.001600117,-43.23911694,15.66284767150879,-0.460671985,45,1.5,2.6224944591522217,13.411999702453613,0.142011359,130.89451599121094,167.59999084472656,-86.9131075,40.427494,9.891443882173705,-0.245824775,0.12426415888719189,-0.021409306,0.012772934909150439,6.330868402197596E-4,Classroom
20,-103.315576,45.58273712158203,-36.1078516,-141.3333333,9.897842012918913,-0.248957091,0.12314408666525896,0.003741311,-0.002940392,-0.009911978,4.5368753066196026E-4,-0.001912604,2.9356251764608526E-4,0.001038554,-0.006735392,-0.012405363,0.9998998126937347,-0.01344823,0.024824793640415645,-0.001910383,-43.25595322,15.643693656921387,-0.528015989,45,1.5,2.6224944591522217,13.411999702453613,0.142011359,130.89451599121094,167.59999084472656,-86.9131075,40.427494,9.897842012918913,-0.248957091,0.12314408666525896,-0.02123139,0.012595018227268192,7.516979578954791E-4,Classroom
21,-103.2505499,45.596889114379884,-36.21594334,-140.125,9.923320094358575,-0.241242404,0.12533570196732735,0.014517645234043159,0.002742684,-0.009335928,3.4693752424520195E-4,-0.001782132,2.3425695852566402E-4,0.00118855,-0.00679931,-0.012312087,0.9999003676534857,-0.013572525,0.024640379,-0.002210106,-43.19056091,15.656991701126099,-0.63659599,45,1.5,2.6224944591522217,13.411999702453613,0.142011359,130.89451599121094,167.59999084472656,-86.9131075,40.427494,9.923320094358575,-0.241242404,0.12533570196732735,-0.02133814,0.012725490488980001,6.923923987750579E-4,Classroom
22,-103.2445717,45.58847114562988,-36.07564323,-142,9.95032954,-0.241817379,0.12415381000169272,0.013041515,-4.70E-04,-0.009375728,4.062430844958691E-4,-0.001699104,1.630902875811585E-4,9.5700429361404E-4,-0.006727211,-0.012107104,0.9999036025075079,-0.013434299,0.024227132821835362,-0.001751444,-43.18446133,15.648207693099975,-0.496539986,45,1.5,2.6224944591522217,13.411999702453613,0.142011359,130.89451599121094,167.59999084472656,-86.9131075,40.427494,9.95032954,-0.241817379,0.12415381000169272,-0.021278834,0.012808518258185641,6.212257289607982E-4,Classroom
23,-103.3049618,45.585909042358395,-36.17214516,-131.125,9.947596967,-0.240914262,0.12272218159101542,0.001141122,-0.001524536,-0.010454931,1.9274308070431925E-4,-0.001746549,1.86812511229327E-4,9.795986375889009E-4,-0.006727643,-0.012089573,0.9999037830574998,-0.013434643,0.024192383820281445,-0.001796868,-43.24497311,15.646133670806885,-0.593163988,45,1.5,2.6224944591522217,13.411999702453613,0.142011359,130.89451599121094,167.59999084472656,-86.9131075,40.427494,9.947596967,-0.240914262,0.12272218159101542,-0.021492334,0.012761074,6.449479526089667E-4,Classroom
24,-103.2762917,45.61958122253418,-36.12249115,-128.8888889,9.945146023648457,-0.238727618,0.12483042131349878,-9.33E-04,0.001770582,-0.008266699,4.1114720918882924E-4,-0.001632842,1.5271181473508477E-4,8.220622957406493E-4,-0.006683814,-0.012061559,0.9999045551969454,-0.013350816,0.024134171750539772,-0.001483169,-43.21630291,15.678951683044433,-0.542411987,45,1.5,2.6224944591522217,13.411999702453613,0.142011359,130.89451599121094,167.59999084472656,-86.9131075,40.427494,9.945146023648457,-0.238727618,0.12483042131349878,-0.02127393,0.012874780831715235,6.108472572612719E-4,Classroom
25,-103.3261903,45.56541313171387,-36.13078751,-123.8888889,9.942544066790239,-0.243321603,0.1233174839934099,-0.001759409,-0.003196044,-0.009731452,6.909097807065955E-4,-0.00186516,2.4611807034974825E-4,8.679219624434498E-4,-0.006698299,-0.012066065,0.9999043715810313,-0.01337867,0.024143812364166222,-0.001574493,-43.26632328,15.625637626647949,-0.550219987,45,1.5,2.6224944591522217,13.411999702453613,0.142011359,130.89451599121094,167.59999084472656,-86.9131075,40.427494,9.942544066790239,-0.243321603,0.1233174839934099,-0.020994167,0.012642462683606494,7.042535122945109E-4,Classroom
26,-103.3064257,45.55858112335205,-36.08906349,-115.25,9.907775471511396,-0.245763794,0.12311711382952709,-0.019214204,-0.002887229,-0.010723016,3.350764259840678E-4,-0.001782132,1.86812511229327E-4,0.001096965,-0.006752196,-0.012223897,0.9999018699220084,-0.013480698,0.024462660141650914,-0.002029249,-43.24631504,15.618805618286133,-0.508251988,45,1.5,2.6224944591522217,13.411999702453613,0.142011359,130.89451599121094,167.59999084472656,-86.9131075,40.427494,9.907775471511396,-0.245763794,0.12311711382952709,-0.021350001,0.012725490507063935,6.449479520438438E-4,Classroom
27,-103.3017896,45.61348129272461,-36.10150745,-144.7777778,9.885891469936926,-0.246684333,0.1241334828647595,-0.010610312,-6.25E-04,-0.008842186,4.655486424860445E-4,-0.001699104,6.820139298848447E-5,0.001074707,-0.006729533,-0.012422836,0.9998996003160199,-0.013435566,0.024860211837928272,-0.001982613,-43.24167904,15.67407166481018,-0.522159985,45,1.5,2.6224944591522217,13.411999702453613,0.142011359,130.89451599121094,167.59999084472656,-86.9131075,40.427494,9.885891469936926,-0.246684333,0.1241334828647595,-0.021219528,0.012808518240101707,5.263368343681241E-4,Classroom
28,-103.2944698,45.57358741760254,-36.10809536,-131.5,9.886222738,-0.249540916,0.12430598593961734,-0.001222555,-0.002130311,-0.008690017,1.8088196096851408E-4,-0.001734688,1.630902875811585E-4,0.00112397,-0.006741646,-0.012491792,0.9998985974534044,-0.013458461,0.02499883,-0.002079935,-43.23472515,15.633811683654786,-0.52691799,45,1.5,2.6224944591522217,13.411999702453613,0.142011359,130.89451599121094,167.59999084472656,-86.9131075,40.427494,9.886222738,-0.249540916,0.12430598593961734,-0.021504195,0.012772934909150439,6.212257272654294E-4,Classroom
29,-103.3069136,45.57907699584961,-36.03831131,-124.7777778,9.890049999200025,-0.248452815,0.12526891185241995,0.00139492,-0.001920094,-0.009305657,3.113541887729492E-4,-0.001770271,2.105347348774955E-4,0.001381922,-0.00680327,-0.012476615,0.9998980598542296,-0.013575324,0.024972091184802425,-0.002594612,-43.24680313,15.639911613464356,-0.457743986,45,1.5,2.6224944591522217,13.411999702453613,0.142011359,130.89451599121094,167.59999084472656,-86.9131075,40.427494,9.890049999200025,-0.248452815,0.12526891185241995,-0.021373723,0.012737351587241135,6.686701756920123E-4,Classroom
30,-103.3316795,45.571269035339355,-36.10663116,-123.75,9.894719605306976,-0.244857774,0.125759673,0.002713861,0.002102542,-0.009037796,3.9438197154153897E-4,-0.001770271,2.4611807034974825E-4,0.001511994,-0.006832547,-0.012465748,0.9998978006029592,-0.013630664,0.024952206471301978,-0.002854225,-43.27132496,15.630883674621582,-0.52606398,45,1.5,2.6224944591522217,36.16400146484375,0,0,167.59999084472656,-86.9131075,40.427494,9.894719605306976,-0.244857774,0.125759673,-0.021290695,0.012737351578199168,7.042535105991421E-4,Classroom
31,-103.2671413,45.58224918365479,-36.09662731,-128.5555556,9.903895952169178,-0.248859363,0.12527471918214872,0.006201679,-0.002734791,-0.01011015,4.6554864700702785E-4,-0.001877021,3.2914585311833805E-4,0.001623392,-0.006861832,-0.012396704,0.9998982826482903,-0.013686652,0.024815725,-0.003077275,-43.20751934,15.642351703643799,-0.516669983,45,1.5,2.6224944591522217,36.16400146484375,0,0,167.59999084472656,-86.9131075,40.427494,9.903895952169178,-0.248859363,0.12527471918214872,-0.021219528,0.012630602,7.872812916723632E-4,Classroom
32,-103.2210267,45.60335533,-36.13542351,-136.25,9.934805055266445,-0.242912152,0.12418575288311949,0.01485455,9.711118271717658E-4,-0.00990988,2.3494125679672623E-4,-0.001691577,2.4668831611052155E-4,0.001414151,-0.006776623,-0.012298445,0.9999003971998508,-0.013521624,0.024616101738781884,-0.002662147,-43.1612812,15.66333571434021,-0.55583199,45,1.5,2.6224944591522217,36.16400146484375,0,0,167.59999084472656,-86.9131075,40.427494,9.934805055266445,-0.242912152,0.12418575288311949,-0.021450136,0.012816045513878075,7.048237552785744E-4,Classroom
33,-103.2152919,45.55504299163818,-36.06197922,-140.6666667,9.949609432405639,-0.241132055,0.12721162831899033,0.009265289,1.1184290774817606E-4,-0.008393059,3.469375231149561E-4,-0.00175841,2.5797918217383253E-4,0.001565505,-0.006836191,-0.012122514,0.9999019127447628,-0.013637535,0.024266446045446165,-0.00296584,-43.15542515,15.615023641586303,-0.480679989,45,1.5,2.6224944591522217,36.16400146484375,0,0,167.59999084472656,-86.9131075,40.427494,9.949609432405639,-0.241132055,0.12721162831899033,-0.02133814,0.012749212694544237,7.161146207278576E-4,Classroom
