seconds_elapsed,accelerometer_z,accelerometer_y,accelerometer_x,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,microphone_dBFS,gyroscope_z,gyroscope_y,gyroscope_x,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,magnetometer_z,magnetometer_y,magnetometer_x,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,class
0,-0.009077951,1.808471585574903E-4,5.200777791048351E-4,9.929535551768977,-0.254376014,-0.199910119,0.9748455411509463,-0.011968597,-0.010438739,0.047661526,0.020164124765678457,0.025570759,-2.993301944,-123.75,2.330864510057788E-4,5.626223987507585E-5,8.198213212094025E-4,45,1.5,1,15.664999961853027,0,0,160.1999969482422,-86.9155033,40.3848435,-104.9706996,-12.39979445,-31.05771374,-0.021299279,0.012884054872158327,9.725331167972303E-4,-44.8908143,-42.33171158,4.5240648806095125,9.928680126483624,-0.25401883,-0.199716329,Drive
1,-0.022511005,-0.006907832,6.219916618787326E-5,9.884474504341199,-0.260103305,-0.200953544,0.9990067780017853,-0.012343677,-0.010654822,0.041467144,0.02027278,0.025549253860775094,-3.058882544,-110.7777778,2.2319418461008283E-4,9.397648122663108E-5,0.001292177,45,1.5,1,15.664999961853027,0,0,160.1999969482422,-86.9155033,40.3848435,-104.8269121,-12.35469575,-30.98653547,-0.021309171,0.012921769136133103,0.001444889,-44.76692303,-42.29459301,4.593787899017334,9.884474504341199,-0.260103305,-0.200953544,Drive
2,-0.007328682,-0.005217684,-0.001746033,9.874136443277008,-0.256859636,-0.205088713,0.9990023744916453,-0.012289562,-0.010806193,0.041550235,0.020577685708559834,0.025455345209796452,-3.058719042,-127.375,2.817013154023336E-5,2.817012362851246E-5,7.057361535330131E-4,45,1.5,1,15.664999961853027,0,0,160.1999969482422,-86.9155033,40.3848435,-104.8435041,-12.31223971,-30.98812132,-0.021504195,0.012855962759733778,8.584479439678123E-4,-44.7836372,-42.25201504,4.591469902992248,9.874136443277008,-0.256859636,-0.205088713,Drive
3,0.009538076,-0.002849758,3.675649177680895E-4,9.893467884619259,-0.25689158,-0.202788815,0.9989875016860592,-0.0124041,-0.010802993,0.041873280392977795,0.020553543,0.025690609082868954,-3.058074317,-125.8888889,6.375347492420703E-5,-1.02E-04,5.278194761717493E-4,76.98498535,2.6084861755371094,1.0340080261230469,10.968999862670898,1.1930426359176636,16.53521156311035,160.1999969482422,-86.9154848,40.3848148,-104.9124342,-12.32419576,-30.91504337,-0.021468612,0.012725490488980001,6.805312666065484E-4,-44.85268906,-42.26445911,4.665157909393311,9.893467884619259,-0.25689158,-0.202788815,Drive
4,0.016595516390013464,-0.001043706,5.895774630666937E-4,9.924783660370169,-0.252593792,-0.206389665,0.9989867094651009,-0.012240964,-0.010964356,0.041898406,0.020888984167170756,0.025378612313166404,-3.058025057,-125.375,-7.86E-05,6.33086829482424E-4,6.227083775458984E-4,94.15352630615234,2.8376927375793457,1.0440080165863037,10.13700008392334,0.5654586553573608,21.111373901367188,160.1999969482422,-86.9155049,40.3847863,-104.8330123,-12.34420368,-30.97897142,-0.021610945,0.013460879422073226,7.75420179283156E-4,-44.77290112,-42.28397923,4.600131927,9.924783660370169,-0.252593792,-0.206389665,Drive
5,0.005643678,-0.002228524,0.002590065,9.937231467,-0.249609939,-0.205667708,0.9989875630267615,-0.01199885,-0.010991251,0.04194118,0.020961790155727886,0.024897945,-3.057935543,-140.7777778,-7.41E-06,1.58642362735406E-4,7.650417126534344E-4,98.07551574707031,2.993008613586426,1.0540080070495605,7.268000126,0.28506213426589966,112.5768051147461,160.1999969482422,-86.9155211,40.3847553,-104.8953541,-12.39580967,-30.9356613,-0.021539778,0.012986435,9.177535166511836E-4,-44.83560917,-42.33582935,4.644417934417724,9.937231467,-0.249609939,-0.205667708,Drive
6,-0.019940839,-0.00686546,6.391854540815632E-4,9.895407722991648,-0.257077431,-0.203485754,0.9989753400237815,-0.012191898,-0.010840299,0.042214576661297416,0.0206371,0.025276720107903758,-3.057388021,-113.125,4.003124505968638E-5,-1.50E-04,6.22708373024915E-4,96.40906524658203,3.1532998085021973,1.0640079975128174,7.228000164031982,0.42869648337364197,135.95657348632812,160.1999969482422,-86.9155361,40.3847416,-104.9934424,-12.43911972,-30.90442942,-0.021492334,0.012678046028120714,7.754201685458205E-4,-44.93320927,-42.37840736,4.674673914909363,9.895407722991648,-0.257077431,-0.203485754,Drive
7,-0.010457131,-0.005251972,0.001500587,9.876648421426422,-0.259522524,-0.201185856,0.9989682273957335,-0.012430432,-0.010774809,0.042330296258035215,0.020483245783783858,0.025750254615417963,-3.057159044,-112,9.933680304986181E-5,-1.73E-04,6.820139321453363E-4,94.90242767333984,1.583445668,1.0740079879760742,6.988999843597412,0.2340855896472931,11.533625602722168,160.1999969482422,-86.915508,40.3847224,-104.9747762,-12.46425175,-30.97213934,-0.021433029,0.012654324,8.347257225801354E-4,-44.91466515,-42.40390514,4.6089159107208255,9.876648421426422,-0.259522524,-0.201185856,Drive
8,-0.004016265,-0.003692665,7.453239658503857E-4,9.871319761554014,-0.261288102,-0.201511094,0.9989648565505315,-0.012548031,-0.010773542,0.042375380227577336,0.020469674786317695,0.025986063,-3.057070896,-94.77777778,1.6309020281272026E-5,1.1119791543906898E-4,6.582917062366761E-4,45,2.0120139122009277,1.084007978439331,6.914000034332275,0.18863849341869354,13.637367248535156,160.1999969482422,-86.9155141,40.3847133,-104.9143862,-12.44082775,-30.95017935,-0.021516056,0.012938990533460402,8.110034944109835E-4,-44.85451893,-42.38072514,4.629045920372009,9.871319761554014,-0.261288102,-0.201511094,Drive
9,7.156631321582979E-4,-0.003489772,-7.13E-04,9.873512221771536,-0.260681185,-0.202091877,0.998963412,-0.012576988,-0.010749051,0.042407107,0.020417451062827434,0.026042509697450016,-3.057007262,-91.375,-1.02E-04,-4.30E-05,6.227083707644233E-4,95.56501007080078,2.3152105808258057,1.094007968902588,7.053999900817871,0.37090614438056946,22.28680992126465,160.1999969482422,-86.9155186,40.3847188,-104.9404938,-12.41886776,-30.95139938,-0.021634667,0.012784796088789274,7.754201679806976E-4,-44.880261,-42.35925339,4.629289927482605,9.873512221771536,-0.260681185,-0.202091877,Drive
