seconds_elapsed,magnetometer_z,magnetometer_y,magnetometer_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,accelerometer_z,accelerometer_y,accelerometer_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,microphone_dBFS,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,gyroscope_z,gyroscope_y,gyroscope_x,class
0,3.273015947341919,-31.678682,-1.543543978,-0.99027321,-0.03874576,0.020540031,0.041705813077795834,0.03833534,-0.079658153,3.054969562424554,0.005427917,0.010947064,-0.007720033,-0.023806075,0.017154627363197505,0.009979293,-81.88888889,45,1.5,2.7176899909973145,27.815000534057617,0,0,154.79998779296875,-86.909846,40.4260851,9.877808794,0.7994513712920152,-0.38580769,9.876457371,0.8003786908437128,-0.385986056,-56.79567839,-1.717860233,-37.14716088,-0.002426421,0.003868699,0.009366324,Garage
1,2.5395519590377806,-31.22028732,-1.92503794,-0.997850111,-0.054677572,0.022199402,0.024844269196574505,0.041850398,-0.110470408,3.0941359882171335,-0.052562475,0.44259485086569417,-0.005569376,-0.020616095,0.014554610848091006,0.008187703,-44.25,45,1.5,2.7176899909973145,27.815000534057617,0,0,154.79998779296875,-86.909846,40.4260851,9.780769978,1.5409603604992617,-0.417811806,9.780769978,1.5409603604992617,-0.417811806,-57.51994884,-1.280390005,-37.50401939,7.635590602428868E-4,0.001268683,0.007576855,Garage
2,4.000867929458618,-32.27753939,-1.79388795,-0.99425473,-0.100623019,0.023725403436613314,0.02695568,0.042642488,-0.202763721,3.091721583338617,-0.025240093,0.21381040684227803,-0.011406486,0.001743583,0.012025685,-8.73E-04,-31.55555556,45,1.5,2.7176899909973145,27.815000534057617,0,0,154.79998779296875,-86.909846,40.4260851,9.710411145849136,2.2173596331216756,-0.426808125,9.710411145849136,2.2173596331216756,-0.426808125,-56.05875504,-2.33739796,-37.37323544,0.023123237521396677,-0.001260243,-0.001484122,Garage
3,3.945479919910431,-31.50308338,-2.000555942,-0.994224348,-0.10050506,0.024009936082276327,0.028663638,0.042871768034777595,-0.20261247,3.0883010938329605,0.0359318,-0.133048876,-0.026852405,-0.009050028,0.022000879950107084,0.022172865915017256,-28.875,45,1.5,2.7176899909973145,27.815000534057617,0,0,154.79998779296875,-86.909846,40.4260851,9.798117933921443,1.8743409520214043,-0.445628372,9.798117933921443,1.8743409520214043,-0.445628372,-56.11475319,-1.563551977,-37.58124531,0.012329626,0.008714952,0.021562018592218027,Garage
4,3.8299459290504454,-32.95793341,-1.219755986,-0.994303416,-0.097700533,0.027992493843714012,0.03148697,0.050548425541051385,-0.197332592,3.083293882388513,0.034505844,-0.293547256,-0.082682465,0.007804612,0.002667268,0.009694976,-21.77777778,45,1.620493769645691,2.7568302154541016,21.708999633789062,4.035489082336426,197.7525634765625,154.79998779296875,-86.9100297,40.4256483,9.785114582,1.6503027442556162,-0.577334612,9.785114582,1.6503027442556162,-0.577334612,-56.23004307,-3.018279948,-36.79837128,0.029184266,-0.01061866,0.009084129,Garage
5,3.6151039361953736,-36.73700535,-2.659599955,-0.994708674,-0.071948543,0.037991039816615654,0.059487899,0.067900477,-0.148506134,3.0271481171395016,0.039592594776338745,-0.18344062,-0.386422984,0.11612028456790355,0.017007351903249375,0.001617559,-29,45,0.4313930869102478,2.766746997833252,17.965999603271484,3.750671148300171,202.78501892089844,154.79998779296875,-86.9100586,40.425633,9.843921309535943,1.285750142000254,-1.065282323,9.843921309535943,1.285750142000254,-1.065282323,-56.44488491,-6.796497836,-38.23906937,0.13749993968646504,0.003721424,0.001006712,Garage
6,5.174263892173767,-42.71622536,-5.836723871,-0.97660961,-0.073264687,0.075736477,0.1790857019933682,0.1229322381968637,-0.172547498,2.789582125,-0.053417669,0.60765752,-0.869403052,0.38119241074450966,0.050775937185039546,0.005247059,-16.875,45,0.5375872254371643,2.776829957962036,11.302000045776367,1.509379267692566,240.68060302734375,154.79998779296875,-86.910068,40.4257212,9.657333457354204,2.3278824970560166,-2.073595709,9.657333457354204,2.3278824970560166,-2.073595709,-54.88499306,-12.77644974,-41.41704723,0.40257206559181213,0.037490009,0.004636212,Garage
7,8.875865817070007,-55.10886307,-9.759145851,-0.917726877,-0.091413556,0.1302896049416181,0.3598299660150287,0.18027850855322716,-0.265858155,2.4183489813387973,0.080394699,-0.387641818,-0.61194476,0.47480030632713466,0.068650633,0.046879561651877844,-13.44444444,45,0.5277310013771057,2.78678298,10.199000358581543,7.021587371826172,337.7697448730469,154.79998779296875,-86.9101153,40.4258455,9.695174319072834,2.2744389054844683,-2.35909082,9.695174319072834,2.2744389054844683,-2.35909082,-51.18473312,-25.16823351,-45.34056702,0.49617995799166487,0.055364705,0.046268715,Garage
8,10.856535787582397,-61.01878693,-15.32673772,-0.853466974,-0.081781009,0.14411744002539378,0.4932350997741406,0.1733835404022382,-0.285561337,2.1185756600820103,0.053078633,-0.432125118,0.13171697694521683,0.31162607942063075,0.079974003,0.010560609337587196,-13,2.7093489170074463,0.6760177612304688,2.7967913150787354,9.265000343322754,8.002707481384277,206.1209259033203,154.79998779296875,-86.9101941,40.4258041,9.631053091252891,2.426415080005683,-1.5429205,9.631053091252891,2.426415080005683,-1.5429205,-49.20320904,-31.0787674,-50.90645123,0.3330057326417703,0.066688075,0.009949762,Garage
9,12.17071969985962,-61.84472664,-18.9850297,-0.831552817,-0.087086197,0.12508014090431546,0.5340510085948462,0.12003892435900217,-0.282176614,2.0168722786949678,-0.017349975,-0.377153809,0.8506019005497683,0.1048047840956924,0.018276491030616668,-0.00712408,-18.44444444,8.038885116577148,1.318218469619751,1.8808847665786743,8.659999847,6.566976547241211,178.4908447265625,154.79998779296875,-86.9102949,40.4257539,9.572327243471609,2.423583771418599,-0.306359704,9.572327243471609,2.423583771418599,-0.306359704,-47.88890301,-31.9048295,-54.56584095,0.12618443814730182,0.004990563,-0.007734927,Garage
