seconds_elapsed,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,gyroscope_z,gyroscope_y,gyroscope_x,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,magnetometer_z,magnetometer_y,magnetometer_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,accelerometer_z,accelerometer_y,accelerometer_x,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,microphone_dBFS,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,class
0,-0.926066646,0.013102189897076238,-0.007402141,0.3770577443551414,-0.00383169,0.029853663772721833,2.368321298043939,-0.001196565,0.002068375,-0.007585331,9.898326065961053,-0.292751292,0.03462907,-60.38702313,-15.47584847,-17.35345817,-103.6277131,42.713114213943484,-49.98446641,0.015129536013059977,0.001796724,-0.003847053,0,1.5,1,12.97700023651123,0.008368417,0,149.39999389648438,-86.9110093,40.4279901,-80.75,9.899542985,-0.293294325,0.033695226098284306,-0.022423507,0.017797692,-0.007432619,Classroom
1,-0.925626186,0.014716371134357545,-0.00714707,0.3780848346288922,-0.002104228,0.032653942,2.3660641156353996,-1.35E-04,-8.33E-04,7.76902828998502E-4,9.919530525948238,-0.325089931,0.013848751260349708,-60.35559486,-15.34918568,-17.33375977,-103.615574,42.850303115844724,-49.97424892,0.011567328740092158,-8.58E-04,-0.007100777,0,1.5,1,12.97700023651123,0.008368417,0,149.39999389648438,-86.9110093,40.4279901,-68.33333333,9.919530525948238,-0.325089931,0.013848751260349708,-0.021361862,0.014896073930182503,9.296146742502246E-4,Classroom
2,-0.925043147,0.014468294803450988,-0.007087744,0.3795200554491247,-0.002132066,0.032153,2.362965410195508,-2.06E-04,-8.69E-04,3.14319454296266E-4,9.922324069,-0.316691819,0.017522199,-60.33863663,-15.31575769,-17.34046967,-103.5986161,42.884341163635256,-49.97998314,0.004311728,0.001581128,-0.002842899,0,1.5,1,12.97700023651123,0.008368417,0,149.39999389648438,-86.9110093,40.4279901,-71.875,9.922324069,-0.316691819,0.017522199,-0.021433029,0.014860490671566967,4.6703134645319103E-4,Classroom
3,-0.924533559,0.013752646020893912,-0.007108398,0.3807849285093326,-0.002671629,0.030847610019653745,2.360244468577857,-0.001368476,-0.001556771,0.001049708,9.939248066504025,-0.308340173,0.019703036083758455,-60.27019489,-15.38078367,-17.34181177,-103.529442,42.819559020996095,-49.98193501,0.007224287,-0.00118083,-0.007464757,0,1.5,1,12.97700023651123,0.008368417,0,149.39999389648438,-86.9110093,40.4279901,-95.44444444,9.939248066504025,-0.308340173,0.019703036083758455,-0.022595418,0.014172546,0.00120242,Classroom
4,-0.924372293,0.012442991719581187,-0.007494573,0.3812130199602017,-0.004371127,0.028722253198233936,2.3593506515026093,-0.00967958,-0.003312672,0.004569607,9.940366087607966,-0.286618918,0.03993168,-60.1805249,-15.57781371,-17.55653162,-103.4403817,42.62216335296631,-50.19665512,-1.91E-04,-0.001157646,-0.003633509,0,1.5,1,12.97700023651123,0.008368417,0,149.39999389648438,-86.9110093,40.4279901,-85.25,9.940366087607966,-0.286618918,0.03993168,-0.030906522,0.012416645405420031,0.004722319,Classroom
5,-0.924441096,0.011180356696465062,-0.007949793,0.38107776497174234,-0.006179422,0.026733297,2.359674083376394,-9.06E-04,4.4775692727959274E-4,-2.19E-04,9.932060853,-0.265969206,0.062225004264777437,-60.12952896,-15.88549768,-17.50626776,-103.390118,42.31533317565918,-50.14578117,-0.004821759,-2.36E-04,9.217106565399077E-4,0,1.5,1,12.97700023651123,0.008368417,0,149.39999389648438,-86.9110093,40.4279901,-80.22222222,9.932060853,-0.265969206,0.062225004264777437,-0.022132835,0.016177073998141635,-6.67E-05,Classroom
6,-0.924644327,0.011202405469076148,-0.007985244,0.3805826456801405,-0.006242573,0.026797558624044204,2.3607457147061246,-6.38E-05,-0.001426299,5.396805902563252E-4,9.897942857834899,-0.268446243,0.060195170645262974,-60.11061874,-15.90501776,-17.51468571,-103.3702319,42.29532524108887,-50.15517506,-0.016507047,-0.002639227,-0.00160868,0,1.5,1,12.97700023651123,0.008368417,0,149.39999389648438,-86.9110093,40.4279901,-83.25,9.897942857834899,-0.268446243,0.060195170645262974,-0.021290696,0.014303018384188125,6.923923716491576E-4,Classroom
7,-0.925111793,0.011161176,-0.008324871,0.3794392538302153,-0.006935484,0.026971401592481483,2.3632263003043756,7.857987374627909E-5,6.731180383742435E-4,-5.93E-06,9.888871017011624,-0.26785094,0.066856743,-60.13660496,-15.92209767,-17.52273766,-103.3969501,42.27873344421387,-50.16200714,-0.005564912,-8.71E-04,-0.00169567,0,1.5,1,12.97700023651123,0.008368417,0,149.39999389648438,-86.9110093,40.4279901,-82.55555556,9.888871017011624,-0.26785094,0.066856743,-0.021148362,0.016402435,1.4678123791349456E-4,Classroom
8,-0.925523497,0.012682712356587059,-0.007949827,0.37838992621134787,-0.005121995,0.029497993,2.365461203658465,-0.001119392,0.003709563,-0.00511807,9.892759351,-0.293001713,0.053908203068433455,-60.24835705,-15.81339568,-17.51675972,-103.507238,42.387069091796874,-50.15688305,0.002669223,-0.001106804,0.003303369,0,1.5,1,12.97700023651123,0.008368417,0,149.39999389648438,-86.9110093,40.4279901,-69.625,9.892759351,-0.293001713,0.053908203068433455,-0.022346334,0.01943888,-0.004965358,Classroom
9,-0.924980707,0.012110110064878048,-0.007161382,0.37975231709989526,-0.004052533,0.027845905442695017,2.3625098895100716,0.004004608,-0.00250566,0.005639959,9.900562543135424,-0.275421939,0.037313078,-60.18857704,-15.89391573,-17.46100573,-103.4484336,42.30581729888916,-50.100397,0.003040554,-5.00E-06,-0.001981962,0,1.5,1,12.97700023651123,0.008368417,0,149.39999389648438,-86.9110093,40.4279901,-86.77777778,9.900562543135424,-0.275421939,0.037313078,-0.017222334,0.013223657194633507,0.00579267,Classroom
10,-0.922061596,0.010878261449990921,-0.006940017,0.38680311545584967,-0.004385067,0.025434478339784353,2.347245991808697,0.018261664395008093,-0.002019354,-8.01E-04,9.905588853706433,-0.244576094,0.044996100846051865,-60.17161869,-15.36797371,-17.50529167,-103.4309878,42.83310108184814,-50.14553692,0.002549366,0.007219325,6.550861142792748E-4,0,1.5,1,12.97700023651123,0.008368417,0,149.39999389648438,-86.9110093,40.4279901,-103,9.905588853706433,-0.244576094,0.044996100846051865,-0.002965278,0.013709962666396376,-6.48E-04,Classroom
11,-0.921933117,0.010684128082131298,-0.007507416,0.3871044099909588,-0.005577463,0.02551266,2.346606611048134,0.002284747,1.0378467307869092E-4,6.93875025885487E-4,9.937915246463517,-0.250299703,0.053591677,-60.10793503,-15.38920171,-17.44990355,-103.3682803,42.81138526916504,-50.091003,0.014989436251445882,0.003422609,-0.001372698,0,1.5,1,12.97700023651123,0.008368417,0,149.39999389648438,-86.9110093,40.4279901,-89.5,9.937915246463517,-0.250299703,0.053591677,-0.018942196,0.015833102,8.4658687509307E-4,Classroom
12,-0.920574684,0.010485850835164774,-0.007680053,0.3903498238730199,-0.005955959,0.025304421800577525,2.3395732097255375,-0.001249865,2.3425690201337186E-4,-4.80E-04,9.963277918621174,-0.25369728,0.057590362292350476,-60.18528324,-15.16032979,-17.55714163,-103.4455059,43.040379219055175,-50.19641098,0.014650530028111727,-0.001804574,-0.001853873,0,1.5,1,12.97700023651123,0.008368417,0,149.39999389648438,-86.9110093,40.4279901,-101.2222222,9.963277918621174,-0.25369728,0.057590362292350476,-0.022476807,0.015963573985308118,-3.28E-04,Classroom
13,-0.920434046,0.010436897524274312,-0.007494973,0.3906865999675714,-0.005643974,0.025071932128272377,2.338838611657803,-5.87E-04,2.1144710570717088E-4,4.4775123779590316E-12,9.957510864850386,-0.247355135,0.055101711,-60.14221703,-15.20473768,-17.4456336,-103.4017077,42.99609329223633,-50.0849033,-9.99E-04,0.00182236,-8.98E-04,0,1.5,1,12.97700023651123,0.008368417,0,149.39999389648438,-86.9110093,40.4279901,-100.5,9.957510864850386,-0.247355135,0.055101711,-0.021814295,0.015940764,1.5271179570565716E-4,Classroom
14,-0.920532527,0.010353918702712336,-0.007593616,0.3904547798402101,-0.005896751,0.024994726265663084,2.339345323229299,-3.37E-04,-5.49E-04,-8.90E-05,9.955791741898917,-0.246028049,0.058447016348827235,-59.85527287,-15.19778372,-17.61435963,-103.1151302,43.00133937835693,-50.25387321,-7.74E-04,0.002837914,-1.73E-04,0,1.5,1,12.97700023651123,0.008368417,0,149.39999389648438,-86.9110093,40.4279901,-84,9.955791741898917,-0.246028049,0.058447016348827235,-0.021563501,0.015180740623002491,6.375346362174859E-5,Classroom
15,-0.920597565,0.010342849463730762,-0.007651713,0.3903005073950129,-0.006016605,0.025018689376347273,2.3396817573065896,-5.86E-04,1.5122910116084862E-4,-2.43E-04,9.952251813944104,-0.249594053,0.058731599,-59.98081078,-15.26585972,-17.5595817,-103.240912,42.93350727081299,-50.20068115,-0.002616225,-4.97E-04,-0.001100676,0,1.5,1,12.97700023651123,0.008368417,0,149.39999389648438,-86.9110093,40.4279901,-102.875,9.952251813944104,-0.249594053,0.058731599,-0.021812585,0.015880546225144447,-9.04E-05,Classroom
