seconds_elapsed,accelerometer_z,accelerometer_y,accelerometer_x,magnetometer_z,magnetometer_y,magnetometer_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,microphone_dBFS,gyroscope_z,gyroscope_y,gyroscope_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,class
0,-0.005182549,-0.011128229,0.001577629,33.05671862701872,-42.30887091,-4.771292487,-0.996991044,0.011352800167514943,-0.022042512,0.073443053,-0.04231155,0.025877945,2.9950765259563923,9.929056637529014,-0.268884774,0.42274066935414856,45,1.5,1.717834711074829,20.645000457763672,0,0,160.89999389648438,-86.9151767,40.3840295,-89.875,0.001927987,-7.06E-04,0.001145339,-0.020062514,0.012274212,0.001450762,-30.07431333,-16.51842437,-31.8260457,9.928552862314078,-0.269022288,0.4226921191582313,Drive
1,-0.021647342,-0.014497988,-0.001866992,32.499091167449954,-42.03302505,-5.301265931,-0.996897647,0.011846304663176675,-0.02232676,0.074533043,-0.0427771,0.026950618,2.9929169080789806,9.889695658267122,-0.281969755,0.42236223614331586,45,1.5,1.717834711074829,20.645000457763672,0,0,160.89999389648438,-86.9151767,40.3840295,-63,0.001767306,-4.21E-04,7.190799246795331E-4,-0.020223195,0.012559434977694623,0.001024504,-30.62077948,-16.23344179,-32.36123146,9.889695658267122,-0.281969755,0.42236223614331586,Drive
2,0.010046764484886984,0.23585541502943316,0.002214825,31.46770336151123,-41.20037506,-6.425373907,-0.996664396,0.002999119,-0.021850026,0.078259355,-0.043111723,0.009398936,2.985072478507329,9.908658222087379,0.14283176655180355,0.4292154660430348,45,1.5,1.717834711074829,20.645000457763672,0,0,160.89999389648438,-86.9151767,40.3840295,-41.88888889,0.007448778,-5.99E-04,0.001952636,-0.014541723,0.012381518232518608,0.002258059,-31.65228933,-15.40066978,-33.48497334,9.908658222087379,0.14283176655180355,0.4292154660430348,Drive
3,0.040695033,0.38381415113662054,-0.049576804,31.832361240386962,-41.27223301,-6.636189876,-0.996069424,-0.029249297,-0.019336577,0.080452812,-0.043374,-0.055194851,2.9792049440365393,9.973583872501667,0.9337041303515434,0.3791588540188968,45,1.5,1.7511672973632812,18.969999313354492,0.6019713282585144,165.7829132080078,160.89999389648438,-86.9153108,40.384137,-51.375,0.044206364,-0.002069764,0.006092163,0.022215862,0.010910740305864008,0.006397587,-31.28763136,-15.47203964,-33.69627754,9.973583872501667,0.9337041303515434,0.3791588540188968,Drive
4,-0.001916302,-0.010155253,-0.193601005,32.810801315307614,-40.85169933,-7.596695862,-0.99241385,-0.050229638,-0.007472425,0.11096179948269742,-0.026194932,-0.098337826,2.917635797296913,9.958495158593632,0.9705248012126071,0.066145285,13.235919952392578,0.8683893084526062,1.7613009214401245,15.388999938964844,2.4157183170318604,163.92149353027344,160.89999389648438,-86.9155792,40.3842971,-28.77777778,0.12201525704953277,0.001785097,0.019056358932431572,0.10002475600798154,0.014765601804100194,0.019361782405927813,-30.30882536,-15.05113969,-34.65702732,9.958495158593632,0.9705248012126071,0.066145285,Drive
5,-0.009448885,-0.240170004,-0.219376159,32.37672527313232,-39.44186737,-9.211975813,-0.98395415,-0.042122478,2.771694932553411E-4,0.17199747799669654,-0.013738869,-0.08321352,2.7948927208057883,9.952068866,0.591108503,-0.079633949,5.477977752685547,0.5491812229156494,1.7710700035095215,10.288999557495117,3.3814234733581543,154.78074645996094,160.89999389648438,-86.915645,40.3843075,-35.25,0.18049053804388324,-0.014571376,5.485770943601733E-5,0.1585000374363464,-0.001590871,3.6028130838954914E-4,-30.74326738,-13.64155177,-36.27194134,9.952068866,0.591108503,-0.079633949,Drive
6,0.037982894378958396,-0.19426088,-0.241531627,32.413081378936766,-37.90527729,-11.85168977,-0.967807428,-0.021337935,0.006398741,0.24930170438822033,0.002030537,-0.044697295,2.637387104404783,9.981319955251749,0.24621389909462044,-0.271788644,1.5707249641418457,0.313209206,1.781076192855835,8.982000350952148,3.8000733852386475,137.95338439941406,160.89999389648438,-86.9156298,40.3843188,-42.44444444,0.21247995811180004,-0.005568792,0.00979283,0.19048945649156293,0.007411712,0.010098254052103831,-30.70593544,-12.10483981,-38.91153328,9.981319955251749,0.24621389909462044,-0.271788644,Drive
7,-0.072034734,-0.161690075,-0.150535363,32.940243339538576,-34.92274342,-14.72064168,-0.941514645,-0.012598644,0.017233037823829258,0.33508300462972773,0.024193510964729832,-0.035533111,2.458157712973437,9.877505080213824,0.19139677172106265,-0.389492866,0.48251160979270935,0.076157734,1.790655255317688,8.413999557495117,3.998620033,132.0301971435547,160.89999389648438,-86.9156613,40.3843472,-35.625,0.23282176502121305,0.005343431,0.004170664,0.21083126238827565,0.018323935,0.004476087,-30.17962736,-9.122427783,-41.7806073,9.877505080213824,0.19139677172106265,-0.389492866,Drive
8,0.001261931,-0.179508818,-0.170185365,32.42247543334961,-29.14506746,-16.62323171,-0.902051629,0.005016179,0.026860364,0.42956284462259364,0.053023819,-0.014277027,2.253079959979424,9.901369437430668,-0.040166897,-0.697638477,15.340686798095703,1.1988744735717773,1.801112174987793,7.445000171661377,4.068573474884033,128.2727508544922,160.89999389648438,-86.9156624,40.3843353,-32.88888889,0.25109346540501487,-6.11E-04,0.001256936,0.22910296257871848,0.012369657213499662,0.001562359,-30.69727335,-3.345483921,-43.68319725,9.901369437430668,-0.040166897,-0.697638477,Drive
9,0.032800693,-0.108738964,0.071600338,32.35305725097656,-24.02143356,-17.72489159,-0.846870039,0.018470747,0.02415084,0.5301161032278561,0.060617931874342335,0.005753301,2.0228230675447336,9.952771483115779,-0.166004975,-0.530492265,14.391457557678223,1.125077724456787,1.2057251930236816,5.531000137329102,4.112774848937988,116.86692810058594,160.39999389648438,-86.9156317,40.3843212,-22.44444444,0.21899170696156697,0.004702931,0.002379636,0.19700120606468718,0.017683435219014516,0.002685059,-30.76644739,1.7779059614427388,-44.78497902,9.952771483115779,-0.166004975,-0.530492265,Drive
