seconds_elapsed,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,magnetometer_z,magnetometer_y,magnetometer_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,accelerometer_z,accelerometer_y,accelerometer_x,gyroscope_z,gyroscope_y,gyroscope_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,microphone_dBFS,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,class
0,9.927293272579417,0.099800645,0.17860544370669945,45,1.5,2.690147638320923,53.92900085449219,0,0,155.1999969482422,-86.9101266,40.4246817,9.927448540403132,0.1003883552917263,0.17871656543330142,-54.42245606,-28.89962087,13.728921055793762,-0.020837959,0.012392707942229396,0.001247627,-0.00234936,-0.002880456,-7.33E-04,-1.94E-04,-7.01E-04,4.1413373487480615E-4,0.9715523596467643,0.002921832,0.010004719622947019,0.2365953267134469,-0.018059608,-0.010411753,-2.663939846,-98.88888889,-117.488935,-3.106255483,-13.30703677,Garage
1,9.892535718899328,0.097864704,0.17685398647507417,45,1.5,2.690147638320923,53.92900085449219,0,0,155.1999969482422,-86.9101266,40.4246817,9.892535718899328,0.097864704,0.17685398647507417,-54.44554901,-28.91704948,13.646309719085693,-0.020828112,0.012618740405706525,9.177535177814295E-4,-0.019067311,-0.002198439,-0.002977041,-2.12E-04,-5.14E-04,1.541944537130953E-4,0.9716024259919102,0.002762979,0.010000718847929854,0.23639173386166396,-0.018129061,-0.01009738,-2.664356685,-80.875,-117.5662736,-3.116123934,-13.4136557,Garage
2,9.893581131129588,0.09635467,0.17520456594749562,45,1.5,2.690147638320923,53.92900085449219,0,0,155.1999969482422,-86.9101266,40.4246817,9.893581131129588,0.09635467,0.17520456594749562,-54.36014896,-28.92046558,13.614711771011352,-0.020816251,0.012749212676460304,9.05892407652714E-4,0.003148264,-0.001368092,-0.00327242,-2.00E-04,-3.84E-04,1.4233334188901105E-4,0.9716951534586046,0.002673994,0.009926604,0.23601444181308007,-0.018030919,-0.00988243,-2.66513133,-83.66666667,-117.4800192,-3.120759933,-13.44525377,Garage
3,9.926903623801012,0.10003839246928692,0.17736797837110665,45,1.5,2.690147638320923,53.92900085449219,0,0,155.1999969482422,-86.9101266,40.4246817,9.926903623801012,0.10003839246928692,0.17736797837110665,-54.33660263,-28.92241753,13.631303749084474,-0.020982306,0.013033879414490126,7.991424034964474E-4,0.013749446683717005,0.001146627,-8.04E-04,-3.66E-04,-9.93E-05,3.558333547225276E-5,0.9717530422997707,0.002727844,0.009903656,0.23577638303191917,-0.017963354,-0.009971846,-2.665621834,-89.25,-117.4567182,-3.122345939,-13.42866173,Garage
4,9.934398484461516,0.10181402270365687,0.1760408914494283,45,1.5,2.690147638320923,53.92900085449219,0,0,155.1999969482422,-86.9101266,40.4246817,9.934398484461516,0.10181402270365687,0.1760408914494283,-54.29902691,-28.97280355,13.545537700653076,-0.020994167,0.013010157217967857,7.991424034964474E-4,0.005432666,8.68934957147802E-4,-6.95E-04,-3.78E-04,-1.23E-04,3.558333547225276E-5,0.9718142435388658,0.002848769,0.0098379,0.23552529267894412,-0.01778117,-0.010171274,-2.666139603,-92.22222222,-117.4184095,-3.173707974,-13.51418373,Garage
5,9.936172846451546,0.10202310386213284,0.1759711977058244,0,1.5,7.976938247680664,53.03200149536133,0.032553281635046005,0,155.1999969482422,-86.9101158,40.4246796,9.936172846451546,0.10202310386213284,0.1759711977058244,-54.41712299,-28.9381555,13.576159772872925,-0.020946723,0.013081323916038263,8.58447960356377E-4,0.001159594,-8.33E-06,-2.16E-05,-3.31E-04,-5.19E-05,9.488889459267403E-5,0.9718800748436196,0.002909773,0.009815495,0.23525371322932753,-0.017711759,-0.010274345,-2.666699081,-95.5,-117.5372379,-3.138449953,-13.48368375,Garage
6,9.905940194731777,0.099026268,0.1766913674988793,0,1.5,7.976938247680664,53.03200149536133,0.032553281635046005,0,155.1999969482422,-86.9101158,40.4246796,9.905940194731777,0.099026268,0.1766913674988793,-54.37442303,-28.96523941,13.769529733657837,-0.020982306,0.013176213,6.805312818648673E-4,-0.016181668,-0.001251253,2.1744208428466205E-4,-3.66E-04,4.299654166476385E-5,-8.30E-05,0.9718739951698525,0.002824797,0.009821845,0.23527957209684316,-0.017763808,-0.01011263,-2.666644768,-94.22222222,-117.4950259,-3.16504595,-13.29080174,Garage
7,9.882276192452144,0.094496167,0.17691787238259918,0,1.5,7.976938247680664,53.03200149536133,0.032553281635046005,0,155.1999969482422,-86.9101158,40.4246796,9.882276192452144,0.094496167,0.17691787238259918,-54.37295891,-29.06003355,13.69657374382019,-0.021085977,0.012827792616847616,7.753061245938835E-4,-0.0120726,-0.001933817,-2.85E-04,-4.70E-04,-3.05E-04,1.1747062671929598E-5,0.9718543623502438,0.002632575,0.009841541,0.23536206695895928,-0.017891673,-0.009749766,-2.666472563,-72,-117.492464,-3.260571978,-13.36339172,Garage
8,9.884117284,0.09472848,0.17933973366195716,0,1.5,7.976938247680664,53.03200149536133,0.032553281635046005,0,155.1999969482422,-86.9101158,40.4246796,9.884117284,0.09472848,0.17933973366195716,-54.3267207,-29.4253014,13.83516571044922,-0.021065334,0.013318546134436015,0.001000781,-4.14E-04,6.73782044244044E-5,7.17852879496454E-4,-4.49E-04,1.853298914654958E-4,2.3722223648168508E-4,0.9718381993978926,0.002529323,0.009901703,0.23542739928347392,-0.018056574,-0.009578604,-2.666337217,-85.66666667,-117.4465918,-3.624863906,-13.22479975,Garage
9,9.920543957682488,0.09923535,0.17709501037030545,0,1.5,7.976938247680664,53.03200149536133,0.032553281635046005,0,155.1999969482422,-86.9101158,40.4246796,9.920543957682488,0.09923535,0.17709501037030545,-54.23278088,-29.27304544,13.742933712005616,-0.021100917,0.013045740548919127,8.703090682246008E-4,0.020259885,4.7470224135130355E-4,-0.001721706,-4.85E-04,-8.75E-05,1.0675000641675828E-4,0.971842637,0.002723633,0.00994711,0.23540441257861053,-0.018053554,-0.009977436,-2.666387574,-87.33333333,-117.3521639,-3.472119944,-13.31764171,Garage
