seconds_elapsed,microphone_dBFS,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,gyroscope_z,gyroscope_y,gyroscope_x,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,magnetometer_z,magnetometer_y,magnetometer_x,accelerometer_z,accelerometer_y,accelerometer_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,class
0,-138.5454545,9.932324763706752,-0.251237833,-0.19071651,4.320626953480447E-4,-0.00238007,8.790241043287806E-4,45,1.5,1,11.755999565124512,0,0,160.1999969482422,-86.9154903,40.3848655,-103.9245441,-10.01751871,-33.4903183,-40.77584076,-35.81481992,-6.461620441,-0.003413129,-0.004906436,-0.00299468,-0.020966919,0.013558332984511917,9.286529085649228E-4,9.934002607296675,-0.248324374,-0.190267746,-0.995070499,0.013134718732908368,0.008170721,0.097955395,0.018840855220332742,0.024541660910472274,2.945112383365631,Home
1,-131.625,9.893674044933134,-0.256917715,-0.191382252,2.5501390421781147E-4,-0.002219511,7.531806008293501E-4,45,1.5,1,11.755999565124512,0,0,160.1999969482422,-86.9154903,40.3848655,-103.8121163,-10.01412577,-33.66138546,-40.69212326,-35.81468525,-6.601419864,-0.02198448,-0.006611841,-0.008952599,-0.02112464,0.013662518454191176,9.058924031317306E-4,9.893674044933134,-0.256917715,-0.191382252,-0.995091046,0.013455122202924155,0.007919273,0.097724275,0.018397466270524323,0.025233004,2.9455756122626147,Home
2,-132,9.874508237375796,-0.254556837,-0.195401266,3.143194633382327E-4,-0.001887399,0.001310653,45,1.5,1,11.755999565124512,0,0,160.1999969482422,-86.9154903,40.3848655,-103.8487161,-9.972401829,-33.48241146,-40.72921131,-35.77186306,-6.422445898,-0.010528824,-0.004766726,-0.011991598,-0.021065334,0.013994629422510133,0.001463365,9.874508237375796,-0.254556837,-0.195401266,-0.995111322,0.013474477,0.00799875,0.097508338,0.018554040890874215,0.025260003826137887,2.9460071892414277,Home
3,-136.625,9.877525843106783,-0.255235375,-0.19508407,2.3129168056964296E-4,-0.002219511,7.413195003077243E-4,45,1.5,1,11.755999565124512,0,0,160.1999969482422,-86.9154903,40.3848655,-103.826634,-9.991311808,-33.57366726,-40.70554329,-35.79101727,-6.513701882,0.001263026,-0.004157742,-0.012994057,-0.021148362,0.013662518363771508,8.940312890471547E-4,9.877525843106783,-0.255235375,-0.19508407,-0.995139635,0.013552371168382538,0.007930965,0.097213747,0.018426784,0.025433731889261783,2.9465991709996198,Home
4,-134.2222222,9.913821424095376,-0.250047063,-0.19512249,1.3640278597696893E-4,-0.002029733,4.922361406994965E-4,45,0.4140048325061798,1.0408086776733398,13.461999893188477,0.3569032847881317,10.264213562011719,160.1999969482422,-86.9154847,40.3848889,-103.846276,-9.941291819,-33.51718155,-40.72640526,-35.74160732,-6.457337899,0.018928009329490292,-0.001428519,-0.010817499,-0.021243251,0.013852296,6.44947936220402E-4,9.913821424095376,-0.250047063,-0.19512249,-0.995135868,0.013409269440159636,0.008058101,0.097261774,0.018653197,0.025123238346530397,2.946502838319945,Home
5,-146.375,9.944588411,-0.248214694,-0.195772967,4.151389138429489E-5,-0.002361844,6.52361150324634E-5,45,0.4060788154602051,1.0507307052612305,11.788000106811523,0.29977545142173767,143.6884307861328,160.1999969482422,-86.9154819,40.3848836,-103.8145565,-9.931653786,-33.50205338,-40.69492939,-35.73135941,-6.441599894,0.014782961132456956,-0.001385057,-0.012648844,-0.02133814,0.013520185021882496,2.1794791224873762E-4,9.944588411,-0.248214694,-0.195772967,-0.995156652,0.013227458,0.007956494,0.09708214,0.018410915472698443,0.024784441802252845,2.9468706556894246,Home
6,-146.2222222,9.913458426021835,-0.250648172,-0.195238646,-5.93E-06,-0.001519705,8.599306072461084E-4,45,0.39204591512680054,1.060716152191162,10.013999938964844,0.9102346301078796,282.4812927246094,160.1999969482422,-86.9154995,40.3848876,-103.8395661,-10.02766779,-33.59953148,-40.72006123,-35.82810501,-6.53944387,-0.015993266,-0.004578561,-0.0107828,-0.021385584,0.014362323965913462,0.001012642,9.913458426021835,-0.250648172,-0.195238646,-0.995152104,0.013255153728413929,0.008046732,0.097117444,0.018596871511884105,0.024821351616851336,2.9467968130574644,Home
7,-152.3333333,9.888702494426838,-0.251905563,-0.193868001,-7.71E-05,-0.002385566,-2.97E-05,45,0.40804412961006165,1.070717453956604,9.454000473022461,1.1665456295013428,138.43031311035156,160.1999969482422,-86.9154774,40.3848734,-103.8106524,-9.976915741,-33.66638718,-40.6905373,-35.77747524,-6.606665883,-0.011766628,-0.001334002,-0.009963002,-0.021456751,0.013496462843444162,1.23059028958522E-4,9.888702494426838,-0.251905563,-0.193868001,-0.995143111,0.013486120533378958,0.008006285,0.097181236,0.018562991,0.025287807457944723,2.9466641990883837,Home
8,-144.5,9.886332900778761,-0.25700193,-0.195052796,-7.05E-05,-0.00207923,4.111471935175359E-4,45,0.40804412961006165,1.080712914466858,8.928000450134277,0.44094568490982056,228.1717529296875,160.1999969482422,-86.9154912,40.3848747,-103.8994682,-9.956053782,-33.49644119,-40.7794754,-35.75575928,-6.436719904,-0.002574563,-0.00388769,-0.012162867,-0.021450136,0.013802798894735483,5.638589937007055E-4,9.886332900778761,-0.25700193,-0.195052796,-0.995144223,0.013632585,0.007960539,0.097153226,0.018499784243221466,0.025588777453566972,2.946718163215197,Home
9,-119.3333333,9.890958924895351,-0.255976847,-0.192845824,4.151389138429489E-5,-0.002100899,4.8037502887541227E-4,45,0.5603570342063904,1.090716004371643,8.437999725341797,0.3670503497123718,333.5969543457031,160.1999969482422,-86.9154917,40.3848817,-103.914962,-10.0097338,-33.48485149,-40.79533527,-35.80992737,-6.4251299,0.001079828,-0.001930691,-0.010860281,-0.02133814,0.013781129463928418,6.330868334382845E-4,9.890958924895351,-0.255976847,-0.192845824,-0.995162431,0.013670457056859165,0.007909566,0.09696538,0.018400834222297067,0.025677559,2.947096134852437,Home
