seconds_elapsed,gyroscope_z,gyroscope_y,gyroscope_x,accelerometer_z,accelerometer_y,accelerometer_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,magnetometer_z,magnetometer_y,magnetometer_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,microphone_dBFS,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,class
0,4.661729081386798E-4,-2.57E-04,-2.89E-04,-0.001548002,-5.97E-04,0.001098104,-0.938108613,0.012663146260341531,-0.003734669,0.3460893478048475,0.001758695,0.026346876,2.434705878558912,9.916160056,-0.262006209,-0.016419171,9.915678291786008,-0.261572721,-0.01700509,-103.7863362,39.24442736,-50.16718111,-60.53654956,-18.95563672,-17.53094774,-0.020913481,0.014861270956891147,-1.37E-04,-100.375,45,1.5,1,12.347999572753906,0,0,149.39999389648438,-86.9109997,40.4279878,Classroom
1,0.004738514,5.367153575101379E-4,0.003860792,-0.012541715,-0.002862163,-4.81E-04,-0.937259856,0.011915115160343139,-0.003142008,0.3484108395946836,0.00241213,0.024526694843780648,2.429755696972597,9.891943357523205,-0.24579864,-0.024439315,9.891943357523205,-0.24579864,-0.024439315,-103.7082943,39.23861518859863,-50.18140511,-60.448437,-18.9612397,-17.54152557,-0.01664114,0.015655185032672096,0.004013504,-89.25,45,1.5,1,12.347999572753906,0,0,149.39999389648438,-86.9109997,40.4279878,Classroom
2,0.003006792,9.755765074339596E-4,0.003896375,-0.002088047,-7.62E-04,-0.001619947,-0.936243115,0.010892962467250893,-0.002267663,0.3511708095235732,0.003402109,0.021990309,2.4238653020951353,9.889774708,-0.218037336,-0.035245242,9.889774708,-0.218037336,-0.035245242,-103.7921078,39.22104728698731,-50.16225101,-60.53212894,-18.97880756,-17.5222497,-0.018372862,0.016094046210852062,0.004049087,-83.88888889,45,1.5,1,12.347999572753906,0,0,149.39999389648438,-86.9109997,40.4279878,Classroom
3,-0.001393681,-0.001289896,-0.003125403,0.023167286104368932,0.001383618,-8.25E-04,-0.936084282,0.010321691,-0.00217144,0.3516145782563293,0.003192456,0.020851787812646152,2.422926564818447,9.935115777173088,-0.205396528,-0.032596401,9.935115777173088,-0.205396528,-0.032596401,-103.7367203,39.17615135192871,-50.11991714,-60.47722866,-19.02455761,-17.4799156,-0.022773335,0.013828573902182787,-0.002972691,-90.5,45,1.5,1,12.347999572753906,0,0,149.39999389648438,-86.9109997,40.4279878,Classroom
4,-5.52E-04,-2.34E-04,-0.001097153,0.011486821961634367,0.001445298,0.001776656,-0.936808924,0.011010162514245626,-0.002979424,0.34965540656765687,0.002117747,0.022714316899191987,2.4271135075578414,9.955539129312756,-0.224446183,-0.019401029,9.955539129312756,-0.224446183,-0.019401029,-103.7112218,39.299371337890626,-50.26729305,-60.45136509,-18.89975174,-17.62643772,-0.021931195,0.014884213,-9.44E-04,-83.66666667,45,1.5,1,12.347999572753906,0,0,149.39999389648438,-86.9109997,40.4279878,Classroom
5,-1.96E-04,2.0460419139815765E-4,-3.14E-04,-0.006251326,4.0763414021834587E-4,8.102986346749426E-4,-0.936930264,0.011250256,-0.003190538,0.3493206153795557,0.001881754,0.023312559405576836,2.427827825824034,9.941498682,-0.231366202,-0.017867764,9.941498682,-0.231366202,-0.017867764,-103.6599816,39.29009922027588,-50.18713905,-60.40036877,-18.91134169,-17.54738163,-0.021575362,0.015323074010101337,-1.62E-04,-95,45,1.5,1,12.262999534606934,0.14606671035289764,255.85928344726562,149.39999389648438,-86.9110134,40.4279852,Classroom
6,-5.87E-05,1.7620595798899347E-4,-1.53E-04,-0.017230795,-0.002472898,3.497411425297077E-4,-0.937022984,0.011504033365501808,-0.003329544,0.349062269,0.001792014,0.023885785816953733,2.428377330303192,9.906451308611528,-0.239616214,-0.01742637,9.906451308611528,-0.239616214,-0.01742637,-103.6421699,39.278387298583986,-50.29193703,-60.38231281,-18.92146772,-17.65169153,-0.021438389,0.015294675715267658,-1.85E-11,-94.44444444,45,1.5,1,12.262999534606934,0.14606671035289764,255.85928344726562,149.39999389648438,-86.9110134,40.4279852,Classroom
7,-5.93E-06,2.757708600821715E-4,-5.34E-05,-0.006343175,-3.70E-04,0.002378384,-0.936995988,0.011667548091087526,-0.003373411,0.34912890340518027,0.001825741,0.024222763399910002,2.4282328665835187,9.896345703347215,-0.240170861,-0.015776948,9.896345703347215,-0.240170861,-0.015776948,-103.6665701,39.30412929534912,-50.253629,-60.40695694,-18.89682362,-17.61362747,-0.021385584,0.015394241,9.933678948691169E-5,-88.66666667,45,1.5,1,12.262999534606934,0.14606671035289764,255.85928344726562,149.39999389648438,-86.9110134,40.4279852,Classroom
8,8.89583386806319E-5,-4.45E-05,-1.01E-04,0.001446779,8.626027593334901E-4,-6.22E-04,-0.937050219,0.011697962,-0.003491455,0.3489811518817272,0.001621876,0.024362459977708972,2.428550025791798,9.900782890690182,-0.240234747,-0.016752663,9.900782890690182,-0.240234747,-0.016752663,-103.6452199,39.284731254577636,-50.25899689,-60.38536301,-18.91487976,-17.61862978,-0.021290695,0.015073990621106717,5.189234501618928E-5,-91.125,45,1.5,1,12.262999534606934,0.14606671035289764,255.85928344726562,149.39999389648438,-86.9110134,40.4279852,Classroom
9,-8.90E-05,4.062431093612776E-4,-7.71E-05,0.002106046,1.147033520115232E-4,4.991772177728634E-4,-0.937007389,0.011717314452149914,-0.00348145,0.3490955401392816,0.001657111,0.024391539,2.4283052787040043,9.904711918,-0.241396311,-0.01598603,9.904711918,-0.241396311,-0.01598603,-103.6676678,39.30425132751465,-50.22947311,-60.40720078,-18.8962137,-17.58910566,-0.021468612,0.015524712825212086,7.561457544583284E-5,-93.33333333,45,1.5,1,12.262999534606934,0.14606671035289764,255.85928344726562,149.39999389648438,-86.9110134,40.4279852,Classroom
