seconds_elapsed,accelerometer_z,accelerometer_y,accelerometer_x,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,gyroscope_z,gyroscope_y,gyroscope_x,microphone_dBFS,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,magnetometer_z,magnetometer_y,magnetometer_x,class
0,-0.002530639,-0.001548459,-7.12E-04,9.920328633,0.3120141014456749,0.44219362586736677,6.198303171378724E-4,-0.00135644,6.108472418204389E-4,-59.125,-60.82919881,63.45490979391431,-71.73871007,-0.445628669,-0.026989496,0.004198917,0.8947746486806157,-0.044595537,-0.031579506,0.9234428645959541,9.922265081694633,0.31231773667263263,0.44287159181002417,-0.020616095,0.012026056,0.001088072,45,1.5,1,12.357999801635742,0,0,160.39999389648438,-86.9156284,40.3848219,-2.759264565,29.900885655329777,-40.03120211,Drive
1,-0.019998162,-0.005667574,-0.006572958,9.883870485916878,0.30738768835090896,0.4435491709454546,5.767465737485553E-4,-0.001567149,5.663680681253521E-4,-38.25,-60.8345665,63.410840873718264,-71.63632446,-0.44642464,-0.027360011,0.003986701,0.8943939625638203,-0.045419964,-0.031564961,0.925196061,9.883870485916878,0.30738768835090896,0.4435491709454546,-0.020650195,0.011871490415041019,0.001024504,45,1.5,1,12.357999801635742,0,0,160.39999389648438,-86.9156284,40.3848219,-2.755247931,29.87108943939209,-39.95585335,Drive
2,0.006865427,-0.001695194,-0.008892878,9.893179884323708,0.3088409294589208,0.4419129290259801,4.937187887194738E-4,-0.001448538,5.307847292623618E-4,-34.11111111,-60.7758847,63.52417888641357,-71.6199762,-0.446201035,-0.027380786,0.003897423,0.8945052965173443,-0.045544655,-0.031412377,0.9246978053768862,9.893179884323708,0.3088409294589208,0.4419129290259801,-0.020733223,0.011990101551365795,9.889201706420015E-4,45,1.5,1.0152682065963745,11.621000289916992,0.6088259220123291,196.25238037109375,160.39999389648438,-86.9156412,40.3847886,-2.695711956,29.984549503326416,-39.9404813,Drive
3,0.013612562012903898,7.646870844572494E-5,-0.007900157,9.924391635,0.31429318953486324,0.43885644923136075,2.802187741905885E-4,-9.39E-04,1.2750692837374303E-4,-31.5,-60.76185482,63.516370887756345,-71.64620667,-0.446089366,-0.027204601,0.004078653,0.8945655614426993,-0.045071427,-0.031573863,0.924447847,9.924391635,0.31429318953486324,0.43885644923136075,-0.020946723,0.012500129314591584,5.856423782302266E-4,45,0.19416487216949463,1.0252783298492432,9.513999938964844,2.8195033073425293,202.10362243652344,160.39999389648438,-86.9156801,40.3847192,-2.681559963,29.976375408172608,-39.96585701,Drive
4,0.004818537,-0.003509379,-0.003470638,9.931009672,0.30789006465268365,0.44320070049137744,4.344132307292984E-4,-6.66E-04,9.1923580468786E-5,-25.55555556,-43.68453903,47.212901191711424,-61.53875072,-0.452462546,-0.027182954,0.003838282,0.8913481970435208,-0.045024742,-0.031447023,0.9387354202640866,9.931009672,0.30789006465268365,0.44320070049137744,-0.020792529,0.012772934918192405,5.50059041062605E-4,45,0.1063014566898346,1.0352706909179688,8.170000076293945,2.324845314025879,200.74501037597656,160.39999389648438,-86.9156844,40.3847073,14.395755771398544,13.673149757385254,-29.85986538,Drive
5,5.296781225111878E-4,0.001668479,-0.006872093,9.930844112507348,0.31606167085577275,0.4376019606891188,5.411632467531463E-4,-0.001057122,1.1564584141506732E-4,-22,-41.59028709,45.10779098510742,-60.32777882,-0.465640411,-0.027177629,0.003551141,0.8845410856228431,-0.044810799,-0.031598158,0.9684114768667128,9.930844112507348,0.31606167085577275,0.4376019606891188,-0.020685779,0.012381518338196595,5.737813133113447E-4,45,0.098994948,1.0453487634658813,7.315999984741211,1.6209794282913208,201.7785645,160.39999389648438,-86.9156852,40.3847082,16.489763717651368,11.567795743942261,-28.64816137,Drive
6,-0.017698224,-0.003893767,-0.005293366,9.894673041927005,0.3069666208862101,0.44285223090532916,3.6415897361271514E-4,-0.001245189,2.9367648060612666E-4,-24.22222222,-41.62408119,44.994087295532225,-60.29093494,-0.476282828,-0.027243529,0.003016179,0.8788590969947668,-0.045051416,-0.031258411,0.9925531326578214,9.894673041927005,0.3069666208862101,0.44285223090532916,-0.020862783,0.012193451246555643,7.518120781661799E-4,45,0.098994948,1.055290699005127,5.603000164031982,1.3227858543395996,201.59095764160156,160.39999389648438,-86.915683,40.3847117,16.45462770462036,11.454213752746583,-28.61204948,Drive
7,-0.009550891,-0.003831553,-0.00940569,9.876616496484257,0.30174248643870494,0.4362545444548709,1.7346878924850122E-4,-0.001329927,2.105346693232366E-4,-22,-41.70862751,44.991769027709964,-60.24445271,-0.484970082,-0.027176956,0.00257498,0.8741007267850117,-0.045050392,-0.030866621,1.0123797099567153,9.876616496484257,0.30174248643870494,0.4362545444548709,-0.021053473,0.012108712692776677,6.68670250288238E-4,45,0.086023256,1.0652995109558105,4.205999851226807,0.39547014236450195,220.02027893066406,160.39999389648438,-86.9156835,40.3847168,16.371423683166505,11.452261762619019,-28.56361542,Drive
8,-6.73E-04,-0.003590713,-0.006845782,9.878919296,0.29930029592467744,0.4383685921581046,4.6999658202499296E-4,-0.00125876,1.3936798368553512E-4,-23,-41.71692329,44.950167198181155,-60.23200901,-0.492083636,-0.02712914,0.002247983,0.8701195022434864,-0.045035434,-0.030616325,1.0286954305704357,9.878919296,0.29930029592467744,0.4383685921581046,-0.020756945,0.012179879359200198,5.975035765181178E-4,45,0.086023256,1.0752158164978027,4.15500021,0.23230868577957153,340.49383544921875,160.39999389648438,-86.9156829,40.3847219,16.36227367401123,11.410537767410279,-28.55239147,Drive
9,0.022663857,0.004871137,-0.003614945,9.919799988086407,0.31104681296990466,0.4419618223149043,3.6324656487089914E-4,-9.03E-04,2.9356243965912213E-4,-21.625,-41.81098511,45.05252540588379,-60.26116673,-0.49805227,-0.027244939,0.002217136,0.866714147,-0.045055498,-0.030986931,1.0424354238417541,9.919799988086407,0.31104681296990466,0.4419618223149043,-0.020863696,0.012535712707141251,7.51697995193592E-4,45,0.092195444,1.0349231958389282,3.878000020980835,0.3283783495426178,340.9084473,160.39999389648438,-86.9156845,40.3847253,16.26906560897827,11.511919708251954,-28.58191538,Drive
10,0.013395642771304232,0.001078266,-0.007552062,9.941800561923426,0.3128383283331556,0.43878675519841387,2.920799142708188E-4,-0.001187594,3.1728465087458636E-4,-20.88888889,-42.25689518,45.841011123657225,-60.84225292,-0.502954234,-0.027276099,0.002243894,0.8638784879619635,-0.04490649,-0.031319288,1.0537607021702147,9.941800561923426,0.3128383283331556,0.43878675519841387,-0.020934862,0.012251046102480439,7.754202307093418E-4,45,0.092195444,1.0449564456939697,3.881000042,0.13266324996948242,316.4405517578125,160.39999389648438,-86.9156854,40.3847249,15.823155660629272,12.301381797790528,-29.16178146,Drive
11,-0.014670502,-0.003740977,-0.008594564,9.911933861889885,0.30730347407674324,0.43990476111185206,5.530243540562473E-4,-0.001163871,2.105346693232366E-4,-29.125,-42.45429119,45.95947299957275,-61.43456276,-0.506874024,-0.027303119,0.002054454,0.8615843358549099,-0.045002492,-0.031223774,1.0628483607931045,9.911933861889885,0.30730347407674324,0.43990476111185206,-0.020673918,0.012274768366817457,6.686702107296334E-4,45,0.092195444,1.0549215078353882,3.9000000953674316,0.255239338,337.81903076171875,160.39999389648438,-86.9156866,40.3847279,15.626247673034667,12.419111757278442,-29.75531136,Drive
12,-0.012984424,-0.003417386,-0.004580069,9.882424308258352,0.30354000541191656,0.4408979007377497,4.34413255029584E-4,-0.001282483,3.172846553955697E-4,-26.77777778,-42.69975517,46.275087394714355,-61.54119083,-0.510252178,-0.027246411,0.00181438,0.8595906131475874,-0.045026802,-0.030929372,1.0707027796402717,9.882424308258352,0.30354000541191656,0.4408979007377497,-0.020792529,0.012156157263269811,7.754202403164315E-4,45,0.092195444,1.0648502111434937,3.9000000953674316,0.19051934778690338,350.0842285,160.39999389648438,-86.9156865,40.3847292,15.380173740386963,12.735335855484008,-29.8621833,Drive
