seconds_elapsed,microphone_dBFS,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,gyroscope_z,gyroscope_y,gyroscope_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,magnetometer_z,magnetometer_y,magnetometer_x,accelerometer_z,accelerometer_y,accelerometer_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,class
0,-120.7777778,9.908472767123929,-0.2389482,0.16899698392137305,9.908282537718076,-0.239035705,0.16906585403390834,-0.618190459,7.010066433900243E-4,-0.014622932,0.7858916810817189,-0.01698344,0.023853040093349084,1.333248519235187,-5.43E-04,2.5451969769265916E-4,8.993028968689032E-4,-114.6788279,54.24370559274334,-32.55026773,-49.46140157,6.599223843,-18.84834907,-0.004085951,-0.002602332,8.037168946531084E-4,-0.020700934,0.012929600508262714,8.993028968689032E-4,45,1.5,1.5620851516723633,13.380000114440918,0,0,167.59999084472656,-86.9131295,40.4274956,Garage
1,-89.625,9.883318660328689,-0.241335329,0.17030276303875794,9.883318660328689,-0.241335329,0.17030276303875794,-0.616844212,7.437163177262811E-4,-0.014625626,0.7869488585342481,-0.016878565,0.023939048690558636,1.3298241629183871,-8.48E-04,6.316042215861741E-4,6.686701751268893E-4,-114.5176159,54.33501693725586,-32.62865517,-48.87661491,6.154899854660034,-20.44927366,-0.013057774,-0.004454119,0.00304838,-0.021006029,0.013306685045216848,6.686701751268893E-4,45,1.5,1.5620851516723633,13.380000114440918,0,0,167.59999084472656,-86.9131295,40.4274956,Garage
2,-86.88888889,9.874833458835639,-0.242720495,0.16856622406579916,9.874833458835639,-0.242720495,0.16856622406579916,-0.616267907,8.299856082744245E-4,-0.014645695,0.7873999025057821,-0.016749973,0.024089363955178307,1.3283600807189941,-0.001156458,8.33243125986344E-4,6.805312875160966E-4,-114.4929714,54.29256092071533,-32.6705014,-48.85197105,6.112321868,-20.49063158,-0.00523907,-0.004695291,0.0028362,-0.021314418,0.013508324,6.805312875160966E-4,45,1.5,1.5620851516723633,13.380000114440918,0,0,167.59999084472656,-86.9131295,40.4274956,Garage
3,-87.75,9.894280998452196,-0.240272498,0.17169954439679397,9.894280998452196,-0.240272498,0.17169954439679397,-0.615718741,8.176867804915002E-4,-0.014613364,0.7878299801095018,-0.01671268,0.024034962,1.326963961703106,-6.23E-04,0.001129771,7.398368409852886E-4,-114.5128575,54.391625022888185,-32.57497528,-48.87319878,6.211141862869263,-20.3941297,0.01128443,-0.003038143,0.006635597,-0.020780668,0.013804852,7.398368409852886E-4,45,1.5,1.5620851516723633,13.380000114440918,0,0,167.59999084472656,-86.9131295,40.4274956,Garage
4,-93.88888889,9.936675266154761,-0.2383443,0.16999494841376556,9.936675266154761,-0.2383443,0.16999494841376556,-0.614880535,7.75239541746067E-4,-0.014432022,0.7884877679439691,-0.016530844,0.023714515,1.3248279289557383,-0.001327418,0.001151212,6.108472555822048E-4,-114.4538098,54.40858273,-32.71002937,-48.81341904,6.228709864616394,-20.53076958,0.019611569551321175,-0.002986968,0.005778777,-0.021485377,0.013826293002169292,6.108472555822048E-4,45,1.5,1.5620851516723633,13.380000114440918,0,0,167.59999084472656,-86.9131295,40.4274956,Garage
5,-97.25,9.941042761,-0.232219953,0.17215255470675173,9.941042761,-0.232219953,0.17215255470675173,-0.614064741,5.968513892052551E-4,-0.014196044,0.7891276947502951,-0.016497811,0.023140060416992427,1.3227489318662478,-8.48E-04,0.001082326,5.975035053126297E-4,-114.5440897,54.35319480895996,-32.56021339,-48.90430885,6.173687849,-20.37997761,0.003187411,-0.002282394,0.008092261,-0.021006029,0.013757407303574016,5.975035053126297E-4,45,1.5,1.5620851516723633,13.380000114440918,0,0,167.59999084472656,-86.9131295,40.4274956,Garage
6,-98.22222222,9.903608396215347,-0.235376504,0.16914410328546775,9.903608396215347,-0.235376504,0.16914410328546775,-0.614093956,6.454703013765291E-4,-0.014312774,0.7891028054709573,-0.016565455,0.023383400755599866,1.322828413213341,-8.01E-04,0.001153493,4.6703127750819456E-4,-114.4845541,54.382353134155274,-32.70795544,-48.84416286,6.202113867,-20.52771963,-0.018284288,-0.003350742,0.004661225,-0.020958584,0.013828573983560489,4.6703127750819456E-4,45,1.5,1.5620851516723633,13.380000114440918,0,0,167.59999084472656,-86.9131295,40.4274956,Garage
7,-86.375,9.886254542,-0.239349054,0.17062800182300863,9.886254542,-0.239349054,0.17062800182300863,-0.614346472,7.675111879260071E-4,-0.014487171,0.7889029904476648,-0.016594771,0.023803228819833218,1.323476308757819,-9.07E-04,9.399931391845774E-4,5.619201709706228E-4,-114.5181033,54.35551280975342,-32.62853344,-48.87759075,6.175883841514588,-20.44805363,-0.009892158,-0.003791481,0.006262792,-0.021065334,0.013615073952643037,5.619201709706228E-4,45,1.5,1.5620851516723633,13.380000114440918,0,0,167.59999084472656,-86.9131295,40.4274956,Garage
8,-92.33333333,9.887097101945143,-0.240055906,0.16894420737830493,9.887097101945143,-0.240055906,0.16894420737830493,-0.614332685,8.087771598846444E-4,-0.014489345,0.7889136498414197,-0.016531907,0.023857664642403426,1.323441148961632,-8.36E-04,0.001141632,6.449479537392126E-4,-114.52884,54.33025894165039,-32.56094536,-48.889669,6.148921828269959,-20.38229574,-4.04E-04,-0.004432916,0.005143483,-0.020994167,0.013816712849131487,6.449479537392126E-4,45,1.5,1.5620851516723633,13.380000114440918,0,0,167.59999084472656,-86.9131295,40.4274956,Garage
9,-114.6666667,9.890770199229417,-0.238062622,0.16784024701535122,9.890770199229417,-0.238062622,0.16784024701535122,-0.614263097,8.676758135479052E-4,-0.014447872,0.7889685277799958,-0.016385858,0.023866063743395713,1.323262221604875,-0.001037847,0.001094188,5.500590580162927E-4,-114.4873595,54.372593002319334,-32.48384121,-48.84818916,6.1930858469009396,-20.30360565,0.001164881,-0.00170244,0.005767023,-0.021195806,0.013769268447044984,5.500590580162927E-4,45,1.5,1.5620851516723633,13.380000114440918,0,0,167.59999084472656,-86.9131295,40.4274956,Garage
