seconds_elapsed,magnetometer_z,magnetometer_y,magnetometer_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,gyroscope_z,gyroscope_y,gyroscope_x,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,microphone_dBFS,accelerometer_z,accelerometer_y,accelerometer_x,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,class
0,-52.77859323,12.304571233476912,19.70648536682129,-114.3346999,55.94845939405037,-8.580666455,9.162708884105086E-5,0.001924169,-4.28E-04,9.933880179268973,0.4072926001889365,-0.076066123,-141.6363636,2.0384788513183594E-4,-3.07E-05,6.565389533837636E-5,45,1.5,1,11.505000114440918,0,0,160.1999969482422,-86.9155121,40.3848606,9.934777783,0.40751313682525386,-0.076425597,0.4431012065874206,0.012508473540138867,0.016671262526263792,0.896229206,0.007653336,-0.04097912,-0.918168166,-0.020997874,0.015576605,3.8177953683771193E-4,Home
1,-52.74523502,12.429481735229492,19.710319652557374,-114.3050916,56.05033691,-8.60978385,8.89583386806319E-6,0.001862195,-4.63E-04,9.898529404575385,0.4043521802980923,-0.074064249,-144.5,-0.019065635,3.734549272407606E-4,0.008097359,45,1.5,1,11.505000114440918,0,0,160.1999969482422,-86.9155121,40.3848606,9.898529404575385,0.4043521802980923,-0.074064249,0.4439111392474869,0.012741967,0.016395672830273805,0.8958301208551648,0.008279819,-0.04069936,-0.919962711,-0.021065334,0.015453546,3.0097571253613793E-4,Home
2,-52.78573898,12.458273735046387,19.71800563812256,-114.3462053,56.07839698791504,-8.602219868,-2.97E-06,0.001897778,-5.10E-04,9.876007199287415,0.40187916360222375,-0.074430589,-150,-0.011686186,0.001590322,0.010161653595063293,45,1.5,1,11.505000114440918,0,0,160.1999969482422,-86.9155121,40.3848606,9.876007199287415,0.40187916360222375,-0.074430589,0.44434903171455975,0.012815796290931193,0.016216951992037227,0.8956152478468071,0.008551181,-0.040448705,-0.920934004,-0.021077195,0.01548913,2.535312652398009E-4,Home
3,-52.75414097,12.421673698425293,19.702877674102783,-114.3148518,56.04179702758789,-8.616249886,-1.69E-04,0.001838472,-5.93E-04,9.883312873469974,0.40286537715532245,-0.074482413,-150.625,0.003334999,0.003772666,0.010259340037998645,90.15825653076172,1.2676355838775635,1.0289479494094849,9.173000336,0.2938733994960785,180.99783325195312,160.1999969482422,-86.9155051,40.3848835,9.883312873469974,0.40286537715532245,-0.074482413,0.4447329492823591,0.012816349478456581,0.016172074541015533,0.895425486,0.008574756,-0.040372449,-0.92179054,-0.021243251,0.015429823984871211,1.7050348247121117E-4,Home
4,-52.67813499,12.434971723556519,19.655053596496582,-114.2384799,56.05570495605469,-8.664683838,-2.05E-04,0.00224175,-8.42E-04,9.924745948569289,0.40686116027600555,-0.074761188,-147.7777778,0.021146589112513273,0.006562285,0.011815898879928496,45,0.10000000149011612,1.0390169620513916,8.046999931,0.3008135259151459,181.2782745361328,160.1999969482422,-86.9155109,40.3848782,9.924745948569289,0.40686116027600555,-0.074761188,0.4446878942471106,0.012889436165829308,0.016138433,0.8954474260506121,0.008737728,-0.040376758,-0.921686998,-0.021278834,0.015833101868267776,-7.86E-05,Home
5,-52.73535297,12.440583753585816,19.742283630371094,-114.295332,56.06156070709228,-8.576843805,-2.28E-04,0.002194306,-7.83E-04,9.946261155952527,0.4092307516093393,-0.074459181,-140.625,0.011540672,0.005996084,0.013050820208290249,45,0.26627054810523987,1.049046277999878,7.379000186920166,0.9451764822006226,156.39903259277344,160.1999969482422,-86.9155015,40.384865,9.946261155952527,0.4092307516093393,-0.074459181,0.4446359218902958,0.012958205078990714,0.016200096463983498,0.895471125,0.008808462,-0.040547913,-0.921570604,-0.021302556,0.015785657,-1.93E-05,Home
6,-52.71449097,12.45888376235962,19.726057567596435,-114.2752019,56.079860877990725,-8.593191833,-3.41E-04,0.002090977,-7.40E-04,9.917262595834083,0.4058389843088909,-0.073948093,-124.6666667,-0.015182935,0.003380013,0.012674515099766163,45,0.23021729290485382,1.0589056015014648,5.822000026702881,1.5859670639038086,25.047061920166016,160.1999969482422,-86.9154913,40.3848923,9.917262595834083,0.4058389843088909,-0.073948093,0.4448675733919327,0.012904773,0.016192399466840122,0.8953569720570858,0.008709063,-0.040488846,-0.922089485,-0.021414895,0.015682328877469096,2.3494123105103008E-5,Home
7,-52.73071686,12.46473973274231,19.65639565,-114.2908181,56.085473136901854,-8.663219852,-1.33E-04,0.002182445,-7.59E-04,9.888981300650292,0.4029815341662435,-0.074017787,-125.5555556,-0.013290155,0.002922748,0.012416765491649943,45,0.092195444,1.0689140558242798,5.701000213623047,1.2241759300231934,150.82789611816406,160.1999969482422,-86.9154848,40.3848675,9.888981300650292,0.4029815341662435,-0.074017787,0.4448909455711402,0.012884763593884926,0.016134167,0.8953466988304286,0.008723993,-0.040366938,-0.922140732,-0.021207667,0.015773796295584404,4.447915238662831E-6,Home
8,-52.72803299,12.433141775131226,19.76558568954468,-114.288134,56.05338699,-8.55378583,-5.04E-05,0.002146861,-7.35E-04,9.885171261,0.40328353961694585,-0.0742501,-136.5,-0.003244641,0.004935688,0.012400795389147639,45,0.092195444,1.0789706707000732,5.256000042,0.7300031185150146,75.36166381835938,160.1999969482422,-86.9154755,40.3848767,9.885171261,0.40328353961694585,-0.0742501,0.44499182382833613,0.012875992,0.016073133,0.8952977911939899,0.008758075,-0.040250769,-0.922364803,-0.02112464,0.015738213000801003,2.8170137191462576E-5,Home
9,-52.71534504,12.418257761001588,19.714345664978026,-114.2756895,56.03752712249756,-8.60587986,-7.41E-05,0.001968945,-5.93E-04,9.890723682144314,0.4027492204337444,-0.074784419,-147.6666667,0.0020339,0.004023579,0.011816020874143804,45,0.092195444,1.088918924331665,5.144000053405762,1.0569134950637817,42.77891540527344,160.1999969482422,-86.915467,40.3848871,9.890723682144314,0.4027492204337444,-0.074784419,0.44505059082531234,0.012882899,0.016090024949856174,0.8952681746297669,0.008752763,-0.040287753,-0.922496389,-0.021148362,0.015560296264666956,1.705034813409653E-4,Home
